"DATES" "FL144090005.Q" "FL103091003.Q" "FL143020005.Q" "FL143030005.Q" "FL123034005.Q" "FL102050003.Q" "FL124004005.Q" "FL103069100.Q" "FL143061105.Q" "FL103061703.Q" "FL143062005.Q" "FL123065005.Q" "FL123066005.Q" "FL103064203.Q" "FL143070005.Q" "FL143090005.Q" "FL144190005.Q" "FL144104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL143168005.Q" "FL143169005.Q" "FL143165005.Q" "FL143170005.Q" "FL143178005.Q" "FL143190005.Q"
"195201" 138829 84 42559 900 0 0 26812 138 17862 0 825 27 7960 0 50863 17611 169483 105309 328 0 40873 26521 7782 29806 40120 18812 5242
"195202" 138734 102 43742 900 0 0 26321 432 16635 0 488 28 8738 0 49483 18186 167771 107455 304 0 42343 26432 8004 30372 38081 16610 5626
"195203" 144368 98 44088 900 0 0 26888 411 17018 0 578 29 8852 0 53690 18704 173701 109761 346 0 43470 26920 8156 30869 40798 17238 5904
"195204" 146531 75 44205 900 0 0 28684 195 17647 0 813 30 9999 0 53426 19241 178694 112593 331 0 44497 27923 8508 31333 42770 17381 5950
"195301" 145725 102 41076 900 0 0 28377 212 18164 0 865 31 9105 0 55443 19827 177935 114169 370 0 45257 27901 8848 31793 41950 16007 5809
"195302" 146304 74 43125 900 0 0 27221 194 16454 0 933 32 9608 0 54566 20418 179577 115903 297 0 46270 27704 9232 32400 42373 15201 6100
"195303" 150423 85 43237 900 0 0 28971 214 18232 0 1021 32 9472 0 56156 21074 184635 117363 347 0 46800 28130 9286 32799 43491 17399 6382
"195304" 150165 114 43921 900 0 0 30835 204 19240 0 1005 32 10354 0 53007 21388 184854 117668 402 0 48012 26851 9054 33349 42854 17986 6346
"195401" 146574 115 41140 950 0 0 28325 312 17887 0 963 32 9131 0 54155 21889 181140 119045 525 0 48789 26615 9294 33822 41573 14340 6183
"195402" 145989 128 42914 1000 0 0 25872 338 14874 0 922 32 9706 0 53736 22339 180084 120128 484 0 49724 26209 9212 34499 41978 11324 6654
"195403" 151829 150 44460 1050 0 0 27237 300 16366 0 997 32 9542 0 56236 22696 186498 122107 584 0 50999 26302 9142 35080 44156 13163 7072
"195404" 156305 158 46132 1100 0 0 29531 291 17523 0 972 33 10712 0 56321 23063 192374 123851 531 0 51547 26422 9446 35905 46630 14767 7126
"195501" 157657 147 44704 1075 0 0 28726 281 17543 150 1065 36 9651 0 59409 23596 192272 125422 500 0 52055 26770 9419 36679 46827 12936 7087
"195502" 160475 127 45722 1050 0 0 28801 352 16788 200 1059 40 10362 0 60474 24301 197458 128925 380 0 52779 28158 9711 37897 48881 12026 7626
"195503" 167992 123 46338 1025 0 0 30774 245 18619 250 1209 44 10407 0 64914 24818 208175 131539 371 0 53253 29479 9662 38774 53396 15248 7992
"195504" 174076 129 47377 1000 0 0 34657 217 21281 300 1219 47 11593 0 65566 25347 219797 136353 362 0 54564 31399 10008 40020 57110 18430 7904
"195601" 170862 95 44282 1000 0 0 31340 171 18878 325 1494 49 10423 0 67707 26438 218257 139280 362 0 54986 32877 10368 40688 56278 15133 7566
"195602" 171036 141 45140 1000 0 0 28765 325 15667 350 1333 50 11040 0 68832 27158 221493 143110 289 0 55946 34824 10402 41648 58265 12175 7943
"195603" 176239 119 45473 1000 0 0 28703 371 15575 375 1295 51 11036 0 72873 28071 228757 145790 401 0 57013 35896 10212 42268 60470 14259 8238
"195604" 180794 138 47263 1000 0 0 30890 305 16718 400 1342 54 12071 0 72497 29006 236097 149076 378 0 58040 37026 10605 43028 62156 16754 8111
"195701" 179674 198 44792 1000 0 0 29234 355 16166 500 1419 58 10736 0 74506 29944 235457 152019 353 0 59510 37091 11275 43790 61440 14218 7780
