"DATES" "FL114090005.Q" "FL113020003.Q" "FL113030003.Q" "FL113034003.Q" "FL113061003.Q" "FL113062003.Q" "FL113065005.Q" "FL113066003.Q" "FL113070003.Q" "FL113090003.Q" "FL113076003.Q" "FL113092403.Q" "FL113093005.Q" "FL114190005.Q" "FL114104005.Q" "FL113168003.Q" "FL113169005.Q" "FL113165003.Q" "FL113170003.Q" "FL113178003.Q" "FL113190005.Q"
"195201" 22185 10794 0 0 0 0 0 2098 7702 1591 1574 17 0 21297 14511 1480 3359 9672 6707 0 80
"195202" 22139 10672 0 0 0 0 0 2284 7539 1644 1626 18 0 21447 14953 1418 3374 10161 6413 0 81
"195203" 22508 10516 0 0 0 0 0 2349 7945 1698 1680 18 0 22334 15552 1542 3440 10570 6699 0 82
"195204" 22685 10429 0 0 0 0 0 2670 7838 1748 1730 18 0 22705 16077 1721 3624 10732 6544 0 84
"195301" 23522 10385 0 0 0 0 0 2449 8891 1797 1778 19 0 23767 16076 1724 3609 10743 7605 0 85
"195302" 23495 10350 0 0 0 0 0 2560 8743 1842 1825 17 0 24048 16478 1679 3606 11193 7483 0 87
"195303" 23635 10343 0 0 0 0 0 2552 8850 1890 1872 18 0 24682 16893 1733 3654 11506 7700 0 89
"195304" 23346 10377 0 0 0 0 0 2798 8233 1938 1919 19 0 24462 17102 1782 3738 11582 7269 0 91
"195401" 24041 10468 0 0 0 0 0 2489 9097 1987 1968 19 0 25628 17066 1698 3777 11591 8470 0 93
"195402" 23997 10621 0 0 0 0 0 2562 8777 2037 2019 18 0 26319 17649 1696 3737 12216 8575 0 95
"195403" 24299 10784 0 0 0 0 0 2512 8916 2087 2068 19 0 27631 18329 1745 3772 12812 9205 0 97
"195404" 24013 10907 0 0 0 0 0 2799 8174 2133 2113 20 0 27898 18922 1866 3933 13123 8877 0 99
"195501" 24627 10998 0 0 0 0 0 2501 8955 2173 2154 19 0 29366 19190 1844 3968 13378 10075 0 101
"195502" 24369 11065 0 0 0 0 0 2619 8476 2209 2191 18 0 30144 20018 1968 4000 14050 10023 0 104
"195503" 24506 11126 0 0 0 0 0 2613 8521 2246 2226 20 0 31478 20943 2195 4139 14609 10429 0 106
"195504" 24295 11200 0 0 0 0 0 2905 7907 2283 2262 21 0 31624 21455 2388 4339 14728 10060 0 109
"195601" 25134 11276 0 0 0 0 0 2631 8912 2315 2295 20 0 33056 21813 2499 4324 14990 11132 0 111
"195602" 25414 11343 0 0 0 0 0 2732 8993 2346 2325 21 0 33721 22519 2643 4309 15567 11089 0 113
"195603" 26049 11426 0 0 0 0 0 2772 9474 2377 2356 21 0 34767 23228 2815 4382 16031 11424 0 115
"195604" 26074 11549 0 0 0 0 0 3061 9051 2413 2392 21 0 34839 23734 2993 4601 16140 10988 0 118
"195701" 26837 11708 0 0 0 0 0 2748 9927 2454 2432 22 0 35788 23686 2914 4610 16162 11983 0 118
"195702" 26425 11895 0 0 0 0 0 2869 9159 2502 2477 25 0 35762 24216 3031 4568 16617 11426 0 120
"195703" 26498 12111 0 0 0 0 0 2843 8997 2547 2522 25 0 36464 24855 3086 4622 17147 11488 0 121
"195704" 26422 12356 0 0 0 0 0 3102 8378 2586 2560 26 0 36286 25176 3078 4727 17371 10987 0 123
"195801" 27612 12675 0 0 0 0 0 2702 9617 2618 2592 26 0 37674 25336 2984 4748 17604 12213 0 125
"195802" 28040 13108 0 0 0 0 0 2774 9516 2642 2618 24 0 37952 25900 3035 4705 18160 11925 0 127
"195803" 28843 13486 0 0 0 0 0 2808 9874 2675 2644 31 0 39095 26775 3070 4756 18949 12191 0 129
"195804" 28830 13641 0 0 0 0 0 3103 9377 2709 2677 32 0 39438 27681 3239 4916 19526 11626 0 131
"195901" 29238 13572 0 0 0 0 0 2836 10079 2751 2718 33 0 41020 28547 3221 4994 20332 12340 0 134
"195902" 28596 13275 0 0 0 0 0 2969 9556 2796 2766 30 0 41958 29902 3364 5086 21452 11920 0 137
"195903" 28373 12928 0 0 0 0 0 2944 9648 2853 2814 39 0 43349 31133 3480 5104 22549 12076 0 139
"195904" 27262 12707 0 0 0 0 0 3425 8234 2896 2856 40 0 42823 31931 3632 5215 23084 10750 0 142
"196001" 28132 12579 0 0 0 0 0 2864 9755 2934 2892 42 0 45212 32750 3708 5268 23774 12319 0 144
"196002" 27495 12499 0 0 0 0 0 3025 9010 2961 2923 38 0 45598 33773 3782 5274 24717 11680 0 145
"196003" 27624 12451 0 0 0 0 0 2927 9246 3000 2953 47 0 46975 34864 3849 5302 25713 11964 0 147
"196004" 27206 12415 0 0 0 0 0 3202 8554 3035 2987 48 0 47139 35762 3969 5450 26343 11228 0 149
"196101" 27811 12412 0 0 0 0 0 2594 9731 3074 3025 49 0 49493 37100 4030 5461 27609 12242 0 151
"196102" 27744 12448 0 0 0 0 0 2763 9421 3112 3067 45 0 49940 38141 4007 5402 28732 11645 0 154
"196103" 28111 12493 0 0 0 0 0 2798 9655 3165 3108 57 0 51351 39645 4124 5448 30073 11549 0 157
"196104" 27750 12515 0 0 0 0 0 3130 8904 3201 3144 57 0 51738 40959 4345 5551 31063 10619 0 160
"196201" 28257 12523 0 0 0 0 0 2777 9724 3233 3175 58 0 53597 42063 4362 5616 32085 11374 0 161
"196202" 27864 12522 0 0 0 0 0 3020 9068 3254 3199 55 0 54317 43421 4461 5594 33366 10735 0 161
"196203" 27983 12518 0 0 0 0 0 3019 9153 3293 3225 68 0 55882 44888 4553 5676 34659 10831 0 163
"196204" 27621 12515 0 0 0 0 0 3315 8462 3329 3260 69 0 56627 46414 4716 5826 35872 10049 0 164
"196301" 28007 12515 0 0 0 0 0 2966 9149 3377 3307 70 0 58182 47504 4686 5957 36861 10512 0 166
"196302" 27828 12515 0 0 0 0 0 3178 8702 3433 3367 66 0 58880 49045 4812 5883 38350 9668 0 167
"196303" 27942 12515 0 0 0 0 0 3224 8697 3506 3425 81 0 60039 50602 4873 5976 39753 9268 0 169
"196304" 27574 12515 0 0 0 0 0 3553 7961 3545 3463 82 0 61035 52632 5308 6300 41024 8232 0 172
"196401" 27958 12515 0 0 0 0 0 3266 8574 3603 3520 83 0 62339 53563 5276 6513 41774 8602 0 174
"196402" 28030 12515 0 0 0 0 0 3404 8454 3657 3579 78 0 63441 55004 5374 6488 43142 8261 0 176
"196403" 28347 12515 0 0 0 0 0 3437 8661 3734 3641 93 0 65135 56694 5522 6609 44563 8263 0 178
"196404" 28199 12515 0 0 0 0 0 3779 8106 3799 3704 95 0 66179 58504 5806 6971 45727 7495 0 180
"196501" 28501 12515 0 0 0 0 0 3495 8627 3864 3768 96 0 67595 59563 6001 7130 46432 7850 0 183
"196502" 28373 12515 0 0 0 0 0 3662 8266 3930 3833 97 0 68918 61340 6246 7129 47965 7394 0 185
"196503" 28680 12515 0 0 0 0 0 3670 8487 4008 3901 107 0 70668 63013 6415 7140 49458 7468 0 188
"196504" 28568 12515 0 0 0 0 0 4040 7930 4083 3975 108 0 71531 64710 6708 7427 50575 6630 0 191
"196601" 29009 12515 0 0 0 0 0 3701 8627 4166 4056 110 0 73946 66859 7019 7651 52189 6896 0 191
"196602" 28852 12515 0 0 0 0 0 3830 8260 4247 4143 104 0 74802 68759 7491 7682 53586 5850 0 193
"196603" 29504 12515 0 0 0 0 0 3725 8915 4349 4234 115 0 75904 69796 7425 7739 54632 5914 0 194
"196604" 29436 12515 0 0 0 0 0 3988 8491 4442 4325 117 0 76735 71454 8079 8039 55336 5086 0 196
"196701" 29859 12515 0 0 0 0 0 3654 9150 4540 4420 120 0 77919 72238 7993 8195 56050 5481 0 200
"196702" 29868 12515 0 0 0 0 0 3730 8982 4641 4517 124 0 79757 74354 8365 8116 57873 5198 0 205
"196703" 30357 12515 0 0 50 0 0 3627 9422 4743 4618 125 0 82042 76233 8331 8168 59734 5599 0 210
"196704" 30353 12515 0 0 100 0 0 3872 9022 4844 4716 128 0 84084 78685 8784 8593 61308 5183 0 215
"196801" 29105 12515 0 0 150 0 0 3592 7893 4955 4825 130 0 83966 79670 8752 8891 62027 4076 0 220
"196802" 29198 12515 0 0 200 0 0 3677 7736 5070 4935 135 0 86400 82150 9240 8899 64011 4026 0 224
"196803" 29751 12515 0 0 250 0 0 3532 8263 5191 5054 137 0 89125 84225 9284 8972 65969 4671 0 229
"196804" 29648 12515 0 0 300 0 0 3852 7655 5326 5187 139 0 91503 87090 9866 9216 68008 4179 0 234
"196901" 30130 12515 0 0 350 0 0 3530 8257 5478 5336 142 0 94142 89002 10372 9441 69189 4901 0 239
"196902" 30575 12515 0 0 400 0 100 3567 8345 5648 5502 146 0 97985 92621 10978 9587 72056 5119 0 245
"196903" 31178 12515 0 0 450 0 200 3485 8705 5823 5675 148 0 101879 96004 11527 9729 74748 5625 0 250
"196904" 31135 12515 0 0 500 0 300 3712 8110 5998 5846 152 0 105088 99612 12054 10220 77338 5219 0 256
"197001" 31580 12515 200 0 550 0 400 3414 8331 6170 6013 157 0 105109 91505 11754 10511 69240 5717 0 7887
"197002" 31897 12515 600 0 600 0 500 3478 7860 6344 6181 163 0 108820 95127 11771 10686 72670 5658 0 8035
"197003" 32277 12515 1000 0 650 0 600 3580 7418 6514 6349 165 0 113507 99568 11692 10902 76974 5554 0 8385
"197004" 32449 12515 1400 0 700 0 700 3829 6623 6682 6515 167 0 117277 103606 11696 11224 80686 4802 0 8869
"197101" 35698 12515 1800 0 750 0 975 3456 8333 7869 6698 171 1000 122579 106716 11923 11607 83186 6236 0 9626
"197102" 37546 12515 2200 0 800 0 1275 3541 8152 9063 6886 177 2000 128094 112321 12183 11734 88404 5428 311 10034
"197103" 39849 12515 2600 0 860 0 1575 3507 8530 10262 7083 179 3000 133741 117193 12032 11592 93569 5151 674 10723
"197104" 41601 12515 3000 0 900 0 1875 3712 8123 11476 7296 180 4000 139778 122586 12604 11807 98175 4377 1037 11778
"197201" 43756 12515 3400 0 950 0 2175 3371 8636 12709 7526 183 5000 144984 126139 12744 12105 101290 4742 1400 12703
"197202" 46161 12515 3800 0 1000 0 2450 3407 8824 14165 7775 190 6200 153877 134163 13345 12094 108724 4958 1763 12993
"197203" 48869 12515 4200 0 1050 0 2725 3371 9386 15622 8030 192 7400 161761 140509 13176 12263 115070 5624 2126 13502
"197204" 50685 12515 4600 0 1100 0 3000 3630 8770 17070 8278 192 8600 171057 149004 13667 12520 122817 5080 2489 14483
"197301" 54493 13580 5006 0 1133 0 3170 3291 9240 19073 8520 197 10356 183423 157050 16444 13972 126634 8044 2853 15477
"197302" 57439 14659 5411 0 1161 0 3299 3374 9753 19782 8760 205 10817 195901 165952 20765 14247 130940 11079 3222 15649
"197303" 60170 15771 5813 0 1176 0 3330 3268 10376 20436 9000 210 11226 203507 169308 25282 14387 129639 14293 3599 16307
"197304" 63000 16914 6213 0 1183 0 3285 3437 11086 20882 9243 212 11427 208005 168482 28647 14590 125245 17653 3985 17885
"197401" 65479 17388 6735 0 1199 0 3354 3121 12540 21142 9490 219 11433 218666 175756 31167 15258 129331 19491 4419 19000
"197402" 67571 17707 7205 0 1214 0 3406 3166 13632 21241 9742 241 11258 229862 184288 33148 15200 135940 20842 4836 19896
"197403" 67931 17639 7546 0 1226 0 3418 3040 13821 21241 9991 245 11005 240238 192514 34713 15750 142051 20979 5208 21538
"197404" 67300 17263 7784 0 1238 0 3393 3083 13288 21251 10229 246 10776 247656 198352 35988 16606 145758 20145 5545 23613
"197501" 67228 17237 7877 0 1228 0 3278 2645 13693 21270 10514 246 10510 252306 201744 36837 16946 147961 20326 5847 24389
"197502" 67582 17275 7964 0 1226 0 3196 2659 14062 21200 10815 248 10137 256144 205149 37126 17181 150842 20476 6134 24385
"197503" 68011 17473 8033 0 1243 0 3190 2532 14341 21199 11129 250 9820 259963 208258 37269 18013 152976 20547 6383 24775
"197504" 69100 17800 8088 0 1274 0 3252 2668 14551 21467 11461 287 9719 264512 210729 37680 18936 154113 20559 6602 26622
"197601" 69777 18083 8206 0 1249 0 3326 2339 14542 22032 11909 300 9823 271344 217243 38219 19834 159190 20872 6894 26336
"197602" 71498 18449 8417 0 1258 0 3462 2378 14666 22868 12431 325 10112 276419 221537 38745 20682 162110 21231 7187 26464
"197603" 74168 19022 8859 0 1352 0 3741 2256 15123 23815 12982 340 10493 282093 225980 39407 21528 165045 21703 7484 26926
"197604" 78000 19763 9490 0 1515 0 4151 2481 15849 24751 13518 360 10873 289163 231227 40354 22772 168101 22267 7785 27884
"197701" 80083 20295 9951 0 1686 0 4320 2162 15878 25791 14105 390 11296 297298 238411 41488 24395 172528 22654 8065 28169
"197702" 83608 20876 10491 0 1878 0 4557 2058 16826 26922 14723 397 11802 304264 245675 42712 24954 178009 23042 8341 27206
"197703" 88041 21579 11229 0 2123 0 4959 1846 18221 28084 15367 400 12317 311817 252367 44267 25222 182878 23432 8609 27408
"197704" 93600 22379 12127 0 2412 0 5509 1997 19976 29200 16032 404 12764 321855 261290 46393 26675 188222 23823 8871 27871
"197801" 97896 23161 12665 0 2732 0 6006 1483 21559 30290 16724 415 13151 332576 270382 49145 28577 192660 23794 8965 29435
"197802" 102717 23949 13327 0 3001 0 6563 1347 23113 31417 17451 481 13485 343468 280317 52576 29416 198325 23950 9130 30072
"197803" 107778 24752 14299 0 3143 0 7273 1203 24594 32514 18190 510 13814 356533 292198 56230 30869 205099 24568 9470 30297
"197804" 113500 25570 15522 0 3184 0 8114 1458 26018 33634 18917 531 14186 371664 304822 59649 32682 212491 25555 9951 31336
"197901" 118626 26301 17001 0 3192 0 8970 952 27421 34789 19635 550 14604 383935 313185 63052 34001 216132 26802 10517 33432
"197902" 123926 27016 18463 0 3159 0 9771 851 28676 35990 20346 571 15073 403178 329920 66656 36113 227151 28168 11141 33949
"197903" 128510 27689 19882 0 3024 0 10437 721 29563 37194 21065 600 15529 422054 345449 70048 37288 238113 29833 11910 34862
"197904" 132800 28332 21269 0 2805 0 11001 883 30154 38356 21805 643 15908 440818 357532 72815 39349 245368 31737 12795 38754
"198001" 133717 29086 21537 0 2635 0 10779 409 30642 38629 22462 660 15507 457152 369898 73831 40787 255280 33021 13870 40363
"198002" 133876 29816 21994 0 2509 0 10767 225 31168 37397 23094 680 13623 471876 379764 73976 40562 265226 34262 14768 43082
"198003" 136641 30484 22923 0 2493 0 11278 150 31791 37522 23700 690 13132 487940 392654 74153 42161 276340 35397 15225 44665
"198004" 144700 31106 24231 0 2564 0 12217 150 32492 41940 24279 755 16906 506052 406403 75267 45441 285695 36446 15328 47875
"198101" 151992 31565 24670 0 2728 0 13906 75 33031 46017 24826 770 20421 519589 420224 77394 47597 295233 37819 15036 46510
"198102" 159455 32055 24981 0 2900 0 15731 50 33808 49930 25334 785 23811 530649 431322 80613 49126 301583 39154 14703 45470
"198103" 167321 32621 25276 0 3091 0 17898 50 35180 53205 25829 800 26576 543023 441963 83709 50652 307602 40394 14266 46401
"198104" 175777 33251 25700 0 3298 0 20339 25 37028 56136 26334 836 28966 559978 456848 85467 52360 319021 41560 13744 47826
"198201" 177085 33530 26211 0 3080 0 21868 25 38721 53650 26946 870 25834 579274 467909 83894 54225 329790 42964 13774 54627
"198202" 179027 34052 26769 0 2945 0 23247 0 40591 51423 27760 836 22827 600599 480683 81003 54414 345266 44182 13941 61793
"198203" 182203 35179 27392 0 3014 0 24252 0 42703 49663 28368 850 20445 623985 495458 77966 55071 362421 44937 14450 69141
"198204" 185773 36794 28100 0 3244 0 24961 0 45009 47665 28362 865 18438 647205 509531 75958 57071 376502 45322 15235 77117
"198301" 191972 38722 28909 0 3987 0 25509 0 46965 47880 27602 875 19403 669794 528891 75117 59594 394180 45244 15738 79921
"198302" 197686 40701 29837 0 4711 0 26274 0 48878 47285 25951 841 20493 687188 542103 74584 59907 407612 45244 16224 83617
"198303" 204662 42807 30796 0 5386 0 27574 0 50683 47416 24367 841 22208 707746 558674 74625 61406 422643 45438 16668 86966
"198304" 213387 45014 31700 0 6023 0 29305 0 52404 48941 23801 841 24299 733727 580326 75504 64897 439925 45786 17081 90534
"198401" 226339 45892 32533 0 6139 0 31772 0 54394 55609 32320 840 22449 765118 607656 78875 67798 460983 46719 17188 93555
"198402" 231302 46900 33281 0 6155 0 34252 0 56277 54437 33123 839 20475 798128 638665 83389 69401 485875 47849 17359 94255
"198403" 235587 48233 34089 0 5920 0 36765 0 57892 52688 33968 845 17875 831828 666999 88172 70143 508684 49470 17690 97669
"198404" 239611 49826 35100 0 5481 0 39311 0 59293 50600 34838 861 14901 869236 698825 92352 73135 533338 51483 18151 100777
"198501" 246923 52028 36370 0 5468 0 41009 0 60657 51391 36252 870 14269 905955 727033 94052 75742 557239 52858 18775 107289
"198502" 254374 54496 37956 0 5488 0 42493 0 61926 52015 37409 843 13763 940709 755520 95401 76214 583905 54220 19494 111475
"198503" 262347 57629 39489 0 5588 0 43447 0 62957 53237 38524 832 13881 974726 772840 96764 76953 599123 55551 20450 125885
"198504" 270265 61297 40600 0 5754 0 43983 0 63798 54833 39625 833 14375 1007265 798035 98510 78818 620707 56858 21596 130777
"198601" 286420 62597 41380 3122 9425 0 43818 0 69046 57032 41097 826 15109 1022018 822611 99680 81555 641376 44195 21836 133376
"198602" 294331 63077 41918 3182 10008 0 45091 0 71303 59752 42977 806 15969 1047977 846898 100508 83045 663345 44445 22148 134486
"198603" 301568 63219 42224 3208 10530 0 46259 0 73364 62764 44521 790 17453 1070786 867260 101479 83157 682624 44819 22637 136070
"198604" 304380 63505 42308 3227 10771 0 44676 0 74822 65071 44987 771 19313 1094244 886036 103078 85548 697410 45531 23269 139408
"198701" 303880 63690 42014 3220 10720 0 42950 0 75513 65773 44292 757 20724 1108231 908028 105316 86751 715961 46631 23459 130113
"198702" 299608 63828 41183 3166 10365 0 40438 0 75274 65354 42351 742 22261 1123755 922373 108200 87090 727083 48170 23480 129732
"198703" 296418 63971 40436 3117 9971 0 38352 0 75167 65404 40242 740 24422 1141286 940324 111210 89764 739350 49732 23542 127688
"198704" 298371 64170 40390 3118 9799 0 37909 0 76252 66733 39041 733 26959 1158998 956302 113825 89790 752687 50899 23851 127946
"198801" 311057 65670 42658 3875 9796 0 40185 0 78516 70357 38512 725 31120 1189124 978154 116091 90967 771096 51681 24369 134921
"198802" 326127 67023 44704 4558 9897 0 43716 0 81939 74290 38408 726 35156 1218786 1002208 118052 92213 791943 52088 25051 139440
"198803" 339222 67797 45875 4948 10079 0 47078 0 85529 77916 38623 726 38567 1250660 1028367 120049 95780 812538 52498 25860 143935
"198804" 348626 68513 46957 5310 10318 0 47846 0 88294 81388 39052 733 41603 1282958 1054199 122423 99050 832726 53288 26761 148710
"198901" 353930 69023 47728 5567 10655 0 46631 0 90464 83862 39932 725 43205 1302901 1065080 125194 99446 840440 54479 27852 155490
"198902" 355016 68802 47395 5455 11129 0 43064 0 92268 86903 41496 725 44682 1325593 1079045 128385 101496 849164 56089 29234 161225
"198903" 354628 68581 47061 5344 11605 0 39090 0 93781 89166 42911 720 45535 1345914 1091183 131568 100659 858956 57663 30543 166525
"198904" 355886 69434 48351 5775 11946 0 35146 0 95080 90154 43342 800 46012 1371429 1109431 134316 108978 866137 58747 31417 171833
"199001" 356937 70248 49581 6185 12183 0 33520 0 96140 89080 42724 650 45706 1368971 1111965 135654 107961 868350 59413 31781 165812
"199002" 356248 70630 50159 6378 12347 0 32654 0 96941 87139 40988 625 45526 1368071 1111173 136178 107483 867512 59733 31863 165302
"199003" 357500 71483 51449 6808 12452 0 32004 0 97495 85809 39238 600 45971 1363798 1107440 136286 104458 866696 59873 31919 164566
"199004" 356203 71199 51019 6665 12512 0 31052 0 97817 85939 38574 575 46790 1357492 1101818 136371 102844 862603 59997 32000 163676
"199101" 355843 71831 50085 6353 12497 0 29581 0 97716 87780 38960 550 48270 1350378 1094700 136225 100065 858410 59929 32143 163605
"199102" 360012 72934 51375 6784 12373 0 28256 0 97500 90790 40351 563 49876 1349476 1093801 135624 99384 858793 59489 32226 163961
"199103" 358942 72013 52250 7076 12254 0 26934 0 96420 91995 41813 576 49606 1332341 1074403 135043 96673 842687 59226 32372 166341
"199104" 362282 72660 53228 7402 12249 0 26024 0 96724 93995 42415 618 50962 1326004 1066428 134952 95834 835642 59686 32479 167412
"199201" 370017 74748 56386 8456 12356 0 25359 0 97908 94804 42240 600 51964 1326559 1061525 135269 97007 829249 60918 32641 171475
"199202" 374869 75718 57853 8946 12560 0 24769 0 99961 95062 41370 600 53092 1323948 1053185 135898 95499 821788 62964 32794 175005
"199203" 383241 77400 59755 9163 13040 0 24858 0 102668 96357 40405 608 55344 1318061 1043509 136730 93990 812789 64350 32956 177246
"199204" 386667 77267 60195 9727 12976 0 25169 0 103812 97521 39942 608 56971 1316811 1035400 137651 92432 805317 66602 33121 181688
"199301" 393131 78395 61900 9449 13288 0 23509 0 106272 100318 39889 650 59779 1308481 1025216 134873 91636 798707 66714 32710 183840
"199302" 398131 78748 62434 10019 13386 0 22990 0 107041 103513 40142 660 62711 1305821 1021631 137657 90962 793012 66875 32276 185039
"199303" 403137 78993 62271 10727 13453 0 22629 0 107576 107488 40498 721 66269 1300071 1014864 136369 90859 787636 67000 31850 186357
"199304" 411390 79522 63605 10865 13600 1484 21850 0 108731 111733 40751 780 70202 1298920 1012657 140186 89590 782881 67301 31387 187575
"199401" 422470 83232 64735 11153 11124 1516 20829 0 112710 117171 41135 840 75196 1301311 1012536 143216 90562 778758 68726 31496 188553
"199402" 441918 85615 65545 13097 15507 1549 22635 0 116549 121421 41468 888 79065 1311405 1015244 146585 90198 778461 70670 32000 193490
"199403" 457575 89688 66512 13326 16126 1581 22891 0 121182 126269 41800 910 83559 1322503 1019882 150213 90523 779146 71901 32320 198400
"199404" 472888 91536 67176 15108 18330 1614 23800 0 125024 130300 42179 943 87178 1334436 1024593 153947 93384 777262 73780 32807 203256
"199501" 495745 96533 68800 15123 20338 1763 23022 0 130824 139342 43035 960 95347 1350821 1036171 158020 96495 781656 77015 32898 204737
"199502" 512213 98786 69532 16149 21244 1913 22669 0 133440 148480 43879 960 103641 1365914 1046045 160910 96774 788361 78758 33006 208105
"199503" 531191 102412 70711 16374 22701 2062 22104 0 137647 157180 43661 960 112559 1384368 1057348 162716 97645 796987 82367 33156 211497
"199504" 548081 104714 71459 17035 23626 2212 21747 0 140320 166968 44155 960 121853 1404312 1069885 164682 100171 805032 86225 33358 214844
"199601" 568485 109074 71990 16764 25057 2315 21349 0 146401 175535 44412 960 130163 1434798 1084975 170260 102464 812251 92952 33834 223037
"199602" 597083 115803 72955 17816 27092 2419 20789 0 156103 184106 44549 960 138597 1469998 1101899 175663 102062 824174 103347 34412 230340
"199603" 619027 119729 73947 18095 27775 2523 20600 0 162696 193662 45044 960 147658 1503133 1121621 188379 99753 833489 108545 35249 237719
"199604" 643184 124016 75005 19237 28550 2627 20386 0 169841 203522 44779 1651 157092 1537111 1139157 193551 102386 843220 116800 35675 245479
"199701" 672879 128452 78302 20334 30114 2764 19688 0 177235 215990 45009 1660 169321 1584332 1161349 207927 104307 849115 125889 36794 260301
"199702" 707632 134622 81320 20951 30723 2901 19416 0 188027 229672 45137 1610 182925 1631548 1183552 218051 103082 862419 135604 38074 274318
"199703" 737252 139759 83795 22014 31574 3039 19037 0 193636 244398 45661 1583 197154 1677957 1207932 225020 108862 874050 142499 38974 288552
"199704" 773837 146243 85715 22906 32235 3176 18743 0 204925 259894 45234 1651 213009 1726214 1237138 237336 108923 890879 147826 39941 301309
"199801" 824576 146167 95401 24672 34170 3088 20632 0 212329 288117 45612 1607 240898 1801097 1277648 239962 110758 926928 155896 41243 326309
"199802" 877603 146590 104587 27531 35854 3001 22521 0 216784 320735 45721 1777 273237 1873914 1324341 248572 112792 962977 160752 40730 348091
"199803" 939665 148514 115272 29656 37039 2913 24411 0 227918 353942 46042 1699 306201 1951213 1366479 255410 112042 999027 172888 43306 368540
"199804" 992294 150937 126458 32573 37974 2825 26299 0 233142 382086 45640 1581 334865 2028291 1412700 262094 115530 1035076 178582 44061 392948
"199901" 1037886 149611 139221 34513 37275 2793 25863 0 241091 407519 45683 1621 360215 2099171 1460507 275556 118178 1066773 185585 43949 409129
"199902" 1077359 149534 152233 34727 36826 2762 25271 0 251419 424587 45964 1557 377066 2171744 1497415 281247 119702 1096466 194684 49595 430050
"199903" 1126898 151958 165996 36037 36878 2730 24679 0 263327 445293 46346 1531 397416 2251623 1547682 295305 120227 1132150 205175 50261 448505
"199904" 1176129 155632 179509 40708 37179 2698 24087 0 272556 463760 45879 1615 416266 2341722 1608620 312776 125716 1170128 213305 52989 466808
"200001" 1240199 162740 197527 41187 37675 2635 23924 0 288726 485785 45970 1706 438109 2428187 1656488 323066 131025 1202397 224106 58902 488692
"200002" 1310343 167348 216045 41462 37921 2572 23760 0 310127 511108 46309 1622 463177 2525115 1717345 344384 133514 1239447 238559 61712 507499
"200003" 1368714 166956 232063 44994 38917 2509 23597 0 327177 532501 46485 1597 484419 2596017 1755387 349841 134454 1271092 249948 60513 530169
"200004" 1422907 164064 247580 49393 40162 2446 23434 0 342148 553680 45802 1641 506237 2683071 1806049 361234 137199 1307616 259948 64640 552434
"200101" 1463916 169182 250115 52366 41329 2711 24276 0 342111 581826 45999 1623 534204 2735678 1844093 375003 136326 1332764 260051 64763 566771
"200102" 1506882 173050 252399 53986 42246 2976 25115 0 342653 614457 46637 1800 566020 2792644 1888433 385984 140266 1362183 258539 65078 580595
"200103" 1539441 170668 253683 55664 42412 3240 25956 0 343626 644192 48228 1777 594187 2840516 1923213 395465 132981 1394767 255824 67078 594401
