"DATES" "FL214090005.Q" "FL213020005.Q" "FL213030005.Q" "FL213034003.Q" "FL212050003.Q" "FL214004005.Q" "FL213069103.Q" "FL213061105.Q" "FL213061703.Q" "FL213062003.Q" "FL213063003.Q" "FL213065005.Q" "FL213064103.Q" "FL213064203.Q" "FL213070003.Q" "FL213078005.Q" "FL213093005.Q" "FL214190005.Q" "FL214104005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL213169203.Q" "FL213170003.Q"
"195201" 21964 7200 1637 0 80 10461 0 7680 354 2093 0 334 0 0 2057 779 -250 27057 25787 25016 1787 23229 771 1270
"195202" 22731 7174 1631 0 167 11163 0 8140 559 2105 0 359 0 0 1964 632 0 29719 28324 27480 1700 25780 844 1395
"195203" 23197 6718 1624 0 679 11340 0 8218 624 2113 0 385 0 0 2092 744 0 31190 29675 28695 1863 26832 980 1515
"195204" 23796 7193 1628 0 247 11658 0 8538 600 2111 0 409 0 0 2199 871 0 32432 30795 29657 1779 27878 1138 1637
"195301" 23967 7226 1658 0 256 11908 0 8826 538 2114 0 430 0 0 2169 750 0 33898 32134 31221 1906 29315 913 1764
"195302" 24163 7522 1742 0 0 12078 0 8988 495 2144 0 451 0 0 2181 640 0 35106 33218 32379 1778 30601 839 1888
"195303" 24734 6939 1696 0 815 12281 0 9114 493 2203 0 471 0 0 2234 769 0 36655 34637 33795 1992 31803 842 2018
"195304" 25409 7577 1957 0 175 12643 0 9342 516 2293 0 492 0 0 2203 854 0 37937 35786 35012 1948 33064 774 2151
"195401" 25693 7913 2283 0 -216 12847 0 9402 547 2384 0 514 0 0 2155 711 0 39476 37186 36516 2137 34379 670 2290
"195402" 25952 7864 2335 0 0 13013 0 9466 568 2441 0 538 0 0 2161 579 0 40775 38343 37866 2033 35833 477 2432
"195403" 26595 6936 2438 0 1006 13267 0 9638 600 2468 0 561 0 0 2259 689 0 42408 39829 39376 2192 37184 453 2579
"195404" 27227 7943 2419 0 172 13497 0 9789 659 2467 0 582 0 0 2378 818 0 43829 41102 40663 2058 38605 439 2727
