"DATES" "FL264090005.Q" "FL313111303.Q" "FL764116005.Q" "FL263020005.Q" "FL263030005.Q" "FL263034003.Q" "FL262050003.Q" "FL264004005.Q" "FL263069103.Q" "FL263061105.Q" "FL263061110.Q" "FL263061120.Q" "FL263061705.Q" "FL263061713.Q" "FL263061723.Q" "FL263062003.Q" "FL263063005.Q" "FL263069500.Q" "FL263064105.Q" "FL263064203.Q" "FL263070005.Q" "FL263067003.Q" "FL263090005.Q" "FL263092001.Q" "FL263093005.Q" "FL264190005.Q" "FL263111005.Q" "FL263191003.Q" "FL264102005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL263169205.Q" "FL263169705.Q" "FL263170003.Q" "FL263167003.Q" "FL263190005.Q" "FL313092803.Q" "FL263191103.Q" "FL263192005.Q" "FL263193005.Q" "FL263164103.Q"
"195201" 18725 0 1838 1695 1660 0 0 4797 281 4186 4186 0 0 0 0 0 330 0 3454 0 373 84 4824 3716 1108 32533 1466 84 14879 0 3438 840 248 327 265 10412 189 427 35 15642 635 334 13357 1316 363
"195202" 19365 0 1948 1818 1697 0 0 4907 268 4303 4303 0 0 0 0 0 336 0 3539 0 375 84 4997 3794 1203 33565 1446 102 15044 0 3487 846 288 287 271 10549 162 434 35 16504 635 334 13953 1582 789
"195203" 20076 0 1726 2302 1656 0 0 5305 288 4668 4668 0 0 0 0 0 349 0 3434 0 407 84 5162 3849 1313 34132 1456 98 15119 0 3404 855 294 301 260 10721 139 427 35 16997 635 326 14264 1772 1128
"195204" 20490 0 1758 1950 1807 0 0 5136 309 4468 4468 0 0 0 0 0 359 0 3705 0 417 82 5635 3945 1690 34825 1462 75 15140 0 3426 855 279 279 297 10702 157 482 36 17630 635 337 14721 1937 1459
"195301" 20472 0 1742 1781 1852 0 0 5257 306 4609 4609 0 0 0 0 0 342 0 3569 0 415 81 5775 4040 1735 35401 1460 102 15309 0 3477 811 244 283 284 10879 142 457 36 18037 635 348 15108 1946 1492
"195302" 20688 0 1783 1734 1969 0 0 5488 305 4823 4823 0 0 0 0 0 360 0 3476 0 391 79 5768 4079 1689 35910 1418 74 15483 0 3352 705 212 225 268 11279 147 493 36 18406 635 320 15545 1906 1399
"195303" 21136 0 1798 1679 2050 0 0 5787 356 5056 5056 0 0 0 0 0 375 0 3430 0 393 78 5921 4173 1748 36674 1439 85 15892 0 3307 610 186 187 237 11802 173 482 36 18740 635 310 15926 1869 1290
"195304" 21546 0 1682 1498 2408 0 0 5810 401 5035 5035 0 0 0 0 0 374 0 3650 0 367 76 6055 4251 1804 37215 1367 114 16268 0 3314 727 223 266 238 12030 197 463 36 18967 635 305 16253 1774 1329
"195401" 22396 0 1602 1508 2683 0 0 6055 382 5306 5306 0 0 0 0 0 367 0 3996 0 362 80 6110 4334 1776 37622 1323 115 16400 0 3485 721 220 257 244 12016 178 455 42 19287 635 280 16564 1808 1439
"195402" 23041 0 1606 1622 2964 0 0 5920 369 5192 5192 0 0 0 0 0 359 0 4353 0 328 89 6159 4438 1721 38099 1303 128 16265 0 3422 701 205 269 227 11956 186 469 51 19883 635 339 16990 1919 1554
