"DATES" "FL714090005.Q" "FL713011005.Q" "FL713014003.Q" "FL713012003.Q" "FL713022003.Q" "FL713068705.Q" "FL713068703.Q" "FL723069143.Q" "FL712050000.Q" "FL714004005.Q" "FL713069603.Q" "FL713061100.Q" "FL713061705.Q" "FL713068005.Q" "FL713068303.Q" "FL713068473.Q" "FL663168005.Q" "FL713068513.Q" "FL713068523.Q" "FL713068533.Q" "FL713068543.Q" "FL713068553.Q" "FL713064103.Q" "FL713090005.Q" "FL713091103.Q" "FL713093005.Q" "FL714190005.Q" "FL713113003.Q" "FL723025000.Q" "FL713120005.Q" "FL713123005.Q" "FL713123023.Q" "FL713123030.Q" "FL713123043.Q" "FL713122605.Q" "FL713124003.Q" "FL713125005.Q" "FL712150003.Q" "FL713190005.Q" "FL713164003.Q" "FL713193005.Q"
"195201" 51454 23260 0 4575 710 157 157 0 300 22246 0 22228 0 18 0 18 0 0 0 0 0 0 0 206 0 206 50700 20276 2420 27746 1289 1282 7 0 548 0 25909 0 258 242 16
"195202" 51698 23316 0 4598 581 44 44 0 400 22526 0 22506 0 20 0 20 0 0 0 0 0 0 0 233 0 233 50938 19381 2396 28800 1616 1283 333 0 554 0 26630 0 361 245 116
"195203" 53100 23311 0 4625 738 355 355 0 500 23264 0 23215 0 49 0 49 0 0 0 0 0 0 0 307 0 307 52326 20581 2530 28995 1538 1274 264 0 740 0 26717 0 220 247 -27
"195204" 53846 23157 0 4656 967 127 127 0 664 24068 0 24034 0 34 0 34 0 0 0 0 0 0 0 207 0 207 53126 19950 2753 29899 1659 1270 389 0 560 0 27680 0 524 253 271
"195301" 52816 22531 0 4670 810 690 690 0 600 23291 0 23269 0 22 0 22 0 0 0 0 0 0 0 224 0 224 52005 20148 2550 28876 1313 1306 7 0 513 0 27050 0 431 257 174
"195302" 52693 22433 0 4698 601 54 54 0 600 24159 0 24146 0 13 0 13 0 0 0 0 0 0 0 148 0 148 51890 19561 2590 29458 1391 1259 132 0 532 0 27535 0 281 260 21
"195303" 53310 22098 0 4716 685 329 329 0 600 24638 0 24635 0 3 0 3 0 0 0 0 0 0 0 244 0 244 52469 19309 2650 30067 1925 1283 642 0 517 0 27625 0 443 262 181
"195304" 53810 21987 0 4738 935 13 13 0 598 25334 0 25317 0 17 0 17 0 0 0 0 0 0 0 205 0 205 53050 20160 2512 29806 1107 761 346 0 430 0 28269 0 572 265 307
"195401" 52242 21929 0 4779 535 132 132 0 400 24248 0 24232 0 16 0 16 0 0 0 0 0 0 0 219 0 219 51395 19194 2630 29113 1541 819 722 0 495 0 27077 0 458 270 188
"195402" 52486 21891 0 4803 567 22 22 0 300 24753 0 24737 0 16 0 16 0 0 0 0 0 0 0 150 0 150 51637 19011 2660 29501 1686 811 875 0 553 0 27262 0 465 272 193
"195403" 51658 21774 0 4815 511 174 174 0 100 24052 0 23946 0 106 0 106 0 0 0 0 0 0 0 232 0 232 50807 18331 2830 29169 1565 796 769 0 512 0 27092 0 477 276 201
"195404" 52581 21676 0 4829 808 10 10 0 44 25022 0 24888 0 134 0 134 0 0 0 0 0 0 0 192 0 192 51784 18876 2469 29893 1359 796 563 0 494 0 28040 0 546 288 258
"195501" 51572 21683 0 4841 552 598 598 0 100 23599 0 23505 0 94 0 94 0 0 0 0 0 0 0 199 0 199 50721 18388 2830 28974 1680 829 851 0 386 0 26908 0 529 294 235
"195502" 51261 21616 0 4846 850 75 75 0 200 23477 16 23407 0 54 0 54 0 0 0 0 0 0 0 197 0 197 50398 18066 2681 29123 1192 812 380 0 383 0 27548 0 528 295 233
"195503" 51885 21655 0 4850 788 649 649 0 300 23435 19 23402 0 14 0 14 0 0 0 0 0 0 0 208 0 208 51000 18475 2960 29065 1303 791 512 0 384 0 27378 0 500 298 202
"195504" 53209 21629 0 4852 1585 107 107 0 398 24417 24 24391 0 2 0 2 0 0 0 0 0 0 0 221 0 221 52379 19005 2682 30046 1161 767 394 0 409 0 28476 0 646 303 343
"195601" 51845 21686 0 4859 793 706 706 0 300 23319 15 23303 0 1 0 1 0 0 0 0 0 0 0 182 0 182 50917 18582 2890 28996 1299 787 512 0 349 0 27348 0 449 310 139
"195602" 52153 21771 0 4876 1206 232 232 0 300 23476 18 23457 0 1 0 1 0 0 0 0 0 0 0 292 0 292 51205 18443 2273 30038 1290 768 522 0 306 0 28442 0 451 316 135
"195603" 52340 21853 0 4890 1060 573 573 0 300 23311 17 23293 0 1 0 1 0 0 0 0 0 0 0 353 0 353 51368 18656 3100 29258 1363 780 583 0 334 0 27561 0 354 320 34
"195604" 53825 21890 0 4910 1665 25 25 0 340 24670 34 24610 0 26 0 26 0 0 0 0 0 0 0 325 0 325 52941 19059 3261 30070 1216 775 441 0 325 0 28529 0 551 326 225
"195701" 51939 22276 0 4929 807 592 592 0 400 22715 23 22666 0 26 0 26 0 0 0 0 0 0 0 220 0 220 50921 18350 2910 29212 1301 811 490 0 352 0 27559 0 449 331 118
"195702" 52665 22590 0 4951 1029 824 824 0 400 22659 23 22635 0 1 0 1 0 0 0 0 0 0 0 212 0 212 51627 18628 2950 29850 1256 758 498 0 462 0 28132 0 199 333 -134
"195703" 52729 22612 0 4970 985 776 776 0 400 22776 17 22752 0 7 0 7 0 0 0 0 0 0 0 210 0 210 51751 18594 3040 29702 1385 780 605 0 380 0 27937 0 415 338 77
