"DATES" "FL724090005.Q" "FL723020005.Q" "FL724005005.Q" "FL723069175.Q" "FL723061100.Q" "FL723061705.Q" "FL723061753.Q" "FL723061763.Q" "FL723061795.Q" "FL723062000.Q" "FL723063005.Q" "FL723065773.Q" "FL723063663.Q" "FL723063095.Q" "FL723068005.Q" "FL723065005.Q" "FL723066000.Q" "FL723067003.Q" "FL723064105.Q" "FL723064203.Q" "FL293169723.Q" "FL723090005.Q" "FL724190005.Q" "FL724110005.Q" "FL713022003.Q" "FL713068705.Q" "FL724112005.Q" "FL724116005.Q" "FL723127005.Q" "FL723123005.Q" "FL723122605.Q" "FL723129205.Q" "FL723131005.Q" "FL723135005.Q" "FL722150005.Q" "FL723169175.Q" "FL723163003.Q" "FL723169305.Q" "FL723178003.Q" "FL723190005.Q" "FL723194733.Q" "FL723193005.Q" "FL724004005.Q" "FL723066303.Q"
"195201" 156710 22696 132830 461 61120 1653 0 0 1653 9475 2408 0 0 2408 30488 14715 10210 2300 0 0 366 818 145593 2163 710 157 614 682 101580 5560 1034 94986 34753 4515 100 370 0 0 713 1399 0 1399 130896 0
"195202" 158080 21777 135004 400 61178 1509 0 0 1509 9846 2479 0 0 2479 30495 15031 10988 3078 0 0 333 966 146725 1909 581 44 606 678 102076 5837 1140 95099 35594 4612 32 336 0 0 684 1482 0 1482 132259 0
"195203" 161468 23111 137178 493 61610 1888 0 0 1888 10196 2350 0 0 2350 31182 15443 11516 2500 0 0 363 816 150019 2754 738 355 1048 613 103807 6180 1452 96175 36170 4523 2 367 0 0 791 1605 0 1605 135041 0
"195204" 166212 22703 142223 472 63318 2110 0 0 2110 10189 2217 0 0 2217 32779 15720 12255 3163 0 0 394 892 154622 2494 967 127 815 585 107542 4941 1275 101326 37011 4714 22 398 0 0 793 1648 0 1648 139454 0
"195301" 163784 22698 139966 425 60470 2034 0 0 2034 10527 2220 0 0 2220 32597 15932 13061 2700 0 0 364 756 152128 2864 810 690 706 658 104072 5530 1156 97386 37521 4752 173 368 0 0 713 1665 0 1665 137630 0
"195302" 161964 22151 138555 331 58644 1594 0 0 1594 10529 2187 0 0 2187 32579 16237 13661 2793 0 0 342 916 150038 2068 601 54 774 639 101818 3634 1088 97096 38434 4964 9 346 0 0 628 1771 0 1771 136104 0
"195303" 166724 21959 143567 431 62200 1781 0 0 1781 10679 2233 0 0 2233 32924 16489 13930 2900 0 0 412 786 154577 2686 685 329 994 678 104799 5870 1049 97880 39019 4978 9 416 0 0 736 1934 0 1934 141079 0
"195304" 170411 22672 146377 477 63426 3601 0 0 3601 10821 2234 0 0 2234 31544 16699 14012 3563 0 0 458 904 158250 2353 935 13 901 504 107644 4146 948 102550 39524 5614 37 463 0 0 967 1648 0 1648 143272 0
"195401" 166439 21824 143516 630 60650 3983 0 0 3983 11414 2334 0 0 2334 31064 16819 13622 3000 0 0 464 635 154114 1695 535 132 596 432 103309 5060 894 97355 39945 6233 -58 469 0 0 847 1674 0 1674 140980 0
"195402" 170222 21671 147068 614 63508 3163 0 0 3163 11932 2173 0 0 2173 30734 17231 13995 3718 0 0 471 1012 157639 1965 567 22 969 407 105064 5591 945 98528 40986 6665 24 476 0 0 690 1769 0 1769 143821 0
"195403" 173598 21161 151036 751 67330 1798 0 0 1798 12345 2118 0 0 2118 31077 17769 14048 3800 0 0 487 914 160887 2260 511 174 1165 410 106729 4120 724 101885 41439 7055 115 492 0 0 877 1920 0 1920 147723 0
"195404" 179674 21345 156572 707 68981 3551 0 0 3551 12586 2159 0 0 2159 31439 18421 14274 4454 0 0 698 1059 166626 2069 808 10 868 383 112081 4172 1075 106834 42168 6752 -20 706 0 0 941 1929 0 1929 152816 0
"195501" 176278 21218 153476 631 64180 3643 0 0 3643 13009 2079 0 0 2079 32242 18965 14627 4100 0 0 646 938 163168 2235 552 598 667 418 108542 4070 840 103632 42557 6712 -22 652 0 0 735 1757 0 1757 150022 0
"195502" 178299 20747 155911 502 63271 2736 0 0 2736 12788 1971 0 0 1971 34572 19769 15831 4471 0 0 524 1117 165007 2321 850 75 971 425 109610 5078 906 103626 43134 6796 -117 530 0 0 530 2203 0 2203 151964 0
"195503" 180465 21435 157325 525 62020 2181 0 0 2181 12835 1874 0 0 1874 36818 20358 16514 4200 0 0 537 1168 167014 2967 788 649 1052 478 110353 4220 855 105278 43488 6656 -26 542 0 0 575 2459 0 2459 153662 0
"195504" 184900 21687 161599 457 61592 2882 0 0 2882 12698 1846 0 0 1846 39084 20813 17190 5037 0 0 514 1100 171304 3315 1585 107 1172 451 114202 3709 981 109512 43811 6446 -205 518 0 0 565 2652 0 2652 157076 0
