"DATES" "FL734090005.Q" "FL734004005.Q" "FL733061103.Q" "FL733061703.Q" "FL733063003.Q" "FL733068003.Q" "FL733090005.Q" "FL723194733.Q" "FL693194735.Q" "FL733093005.Q" "FL734190005.Q" "FL734110005.Q" "FL734112005.Q" "FL734116205.Q" "FL732150005.Q" "FL734104005.Q" "FL733169103.Q" "FL733163003.Q" "FL733193005.Q"
"195201" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195203" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195204" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195301" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195302" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195303" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195304" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195401" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195402" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195403" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195404" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195501" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195502" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195503" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195504" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195601" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195602" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195603" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195604" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195701" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195702" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195703" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195704" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195801" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195802" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195803" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195804" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195901" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195902" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195903" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195904" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196002" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196102" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196104" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196201" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196203" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196204" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196301" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196302" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196303" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196304" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196401" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196402" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196403" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196404" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196501" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196502" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196503" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196504" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196601" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196602" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196603" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196604" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196701" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196702" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196703" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196704" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196801" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196802" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196803" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196804" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"196901" 1740 350 0 0 0 350 1390 1000 0 390 585 0 0 0 0 200 200 0 385
"196902" 4295 1662 0 0 0 1662 2633 2000 0 633 1810 0 0 0 0 1245 1245 0 565
"196903" 7265 3858 0 0 0 3858 3407 3000 0 407 3534 0 0 0 0 2595 2595 0 939
"196904" 8695 3946 0 0 0 3946 4749 4000 0 749 4673 0 0 0 0 4294 4294 0 379
"197001" 13147 6837 0 0 0 6837 6310 5000 0 1310 7585 0 0 0 0 7415 6477 938 170
"197002" 16373 8083 0 0 0 8083 8290 6000 0 2290 8699 0 0 0 0 8581 7603 978 118
"197003" 14094 5228 0 0 0 5228 8866 8000 0 866 5842 0 0 0 0 5672 4618 1054 170
"197004" 14719 2954 0 0 0 2954 11765 10000 0 1765 4971 0 0 0 0 3449 2349 1100 1522
"197101" 14579 2858 0 0 0 2858 11721 11000 69 652 4920 0 0 0 0 3811 1692 2119 1109
"197102" 15898 3058 0 0 0 3058 12840 12000 134 706 5364 0 0 0 0 3851 1733 2118 1513
"197103" 18096 2960 0 0 0 2960 15136 14000 273 863 7427 0 0 0 0 4042 1900 2142 3385
"197104" 18949 2840 0 0 0 2840 16109 15000 565 544 7713 0 0 0 0 4211 1973 2238 3502
"197201" 19951 2772 0 0 0 2772 17179 16000 1035 144 7388 0 0 0 0 4843 2172 2671 2545
"197202" 21123 2296 0 0 0 2296 18827 17000 1707 120 7913 0 0 0 0 5179 1971 3208 2734
"197203" 24239 2264 0 0 0 2264 21975 19000 2404 571 8835 0 0 0 0 6106 2368 3738 2729
"197204" 27629 2598 0 0 0 2598 25031 21000 2950 1081 9321 0 0 0 0 6789 2637 4152 2532
"197301" 31608 3161 0 0 0 3161 28447 22000 3385 3062 10006 -1000 0 -1000 0 7916 3456 4460 3090
"197302" 35210 3520 0 0 0 3520 31690 23000 3749 4941 11222 -1000 0 -1000 0 8956 4283 4673 3266
"197303" 40832 4637 0 0 0 4637 36195 24000 4059 8136 12135 -2500 0 -2500 0 10088 5231 4857 4547
