"DATES" "FL444090005.Q" "FL443013053.Q" "FL443020005.Q" "FL443030053.Q" "FL442050005.Q" "FL444004005.Q" "FL443069105.Q" "FL443061105.Q" "FL443061705.Q" "FL443061875.Q" "FL443061675.Q" "FL443061775.Q" "FL443062005.Q" "FL443063005.Q" "FL443065775.Q" "FL443063675.Q" "FL443063075.Q" "FL443069505.Q" "FL443065005.Q" "FL443066005.Q" "FL443064175.Q" "FL443090005.Q" "FL444190005.Q" "FL443139005.Q" "FL443127005.Q" "FL443131005.Q" "FL443135005.Q" "FL442150005.Q" "FL444104005.Q" "FL443163053.Q" "FL443168005.Q" "FL443169305.Q" "FL443178005.Q" "FL443190005.Q" "FL443194733.Q" "FL443193005.Q"
"195201" 43672 0 1580 0 0 40462 0 11507 45 41 0 4 247 2302 0 0 2302 0 25820 541 248 1382 39896 38129 0 38129 0 0 659 0 70 589 8 1100 0 1100
"195202" 45137 0 1740 0 0 41644 0 11325 56 48 0 8 243 2435 0 0 2435 0 26969 616 276 1477 41269 39428 0 39428 0 0 724 0 71 653 7 1110 0 1110
"195203" 46355 0 1512 0 0 43047 0 11462 50 38 0 12 278 2509 0 0 2509 0 28156 592 289 1507 42488 40368 0 40368 0 0 793 0 78 715 12 1315 0 1315
"195204" 47809 0 1786 0 0 44099 0 11238 49 32 0 17 335 2549 0 0 2549 0 29276 652 336 1588 43796 41805 0 41805 0 0 953 0 89 864 8 1030 0 1030
"195301" 49175 0 1662 0 0 45483 0 11478 78 59 0 19 411 2626 0 0 2626 0 30216 674 350 1680 45141 43188 0 43188 0 0 679 0 68 611 7 1267 0 1267
"195302" 50954 0 1695 0 0 47129 0 11491 81 60 0 21 394 2743 0 0 2743 0 31681 739 371 1759 46811 44760 0 44760 0 0 789 0 71 718 6 1256 0 1256
"195303" 52252 0 1556 0 0 48543 0 11436 101 78 0 23 412 2793 0 0 2793 0 33076 725 392 1761 48071 45712 0 45712 0 0 875 0 74 801 8 1476 0 1476
"195304" 53763 0 1904 0 0 49547 0 11129 97 71 0 26 428 2791 0 0 2791 0 34355 747 431 1881 49447 47234 0 47234 0 0 1034 0 82 952 10 1169 0 1169
"195401" 55329 0 1880 0 0 50804 0 11109 110 82 0 28 470 2918 0 0 2918 0 35472 725 471 2174 50951 48821 0 48821 0 0 700 0 70 630 4 1426 0 1426
"195402" 57249 0 1958 0 0 52425 0 11007 104 72 0 32 535 2961 0 0 2961 0 36966 852 489 2377 52760 50566 0 50566 0 0 755 0 80 675 3 1436 0 1436
"195403" 58746 0 1853 0 0 53971 0 10872 99 74 0 25 570 2994 0 0 2994 0 38610 826 517 2405 54226 51662 0 51662 0 0 773 0 84 689 7 1784 0 1784
"195404" 60786 0 2195 0 0 55545 0 10788 76 49 0 27 608 2916 0 0 2916 0 40326 831 571 2475 56091 53603 0 53603 0 0 962 0 95 867 7 1519 0 1519
"195501" 62813 0 2042 0 0 57517 0 11019 102 67 0 35 659 2893 0 0 2893 0 41930 914 629 2625 58032 55316 0 55316 0 0 776 0 74 702 3 1937 0 1937
"195502" 65354 0 2093 0 0 59588 0 10990 121 71 0 50 663 2804 0 0 2804 0 44033 977 781 2892 60284 57184 0 57184 0 0 1115 0 98 1017 3 1982 0 1982
"195503" 67248 0 1858 0 0 61783 0 11027 134 80 0 54 659 2679 0 0 2679 0 46303 981 918 2689 62000 58265 0 58265 0 0 1416 0 141 1275 7 2312 0 2312
"195504" 69133 0 2331 0 0 63225 0 10869 171 98 0 73 646 2586 0 0 2586 0 47953 1000 1000 2577 63626 60324 0 60324 0 0 1564 0 147 1417 8 1730 0 1730
"195601" 71032 0 2084 0 0 65021 0 11103 243 146 0 97 689 2563 0 0 2563 0 49441 982 1086 2841 65391 61992 0 61992 0 0 1236 0 98 1138 3 2160 0 2160
"195602" 73107 0 2215 0 0 66911 0 11001 297 159 0 138 678 2596 0 0 2596 0 51183 1156 1030 2951 67351 64033 0 64033 0 0 1282 0 109 1173 5 2031 0 2031
"195603" 74505 0 1896 0 0 68813 0 10999 323 167 0 156 677 2624 0 0 2624 0 53061 1129 982 2814 68757 65066 0 65066 0 0 1267 0 125 1142 7 2417 0 2417
"195604" 76312 0 2356 0 0 70189 0 10801 313 147 0 166 675 2659 0 0 2659 0 54588 1153 1000 2767 70362 67174 0 67174 0 0 1350 0 122 1228 7 1831 0 1831
"195701" 77938 0 2059 0 0 72129 0 11122 529 210 0 319 683 2772 0 0 2772 0 55760 1263 971 2779 71965 68606 0 68606 0 0 1051 0 90 961 3 2305 0 2305
"195702" 80193 0 2234 0 0 73794 0 10860 725 230 0 495 686 2930 0 0 2930 0 57285 1308 1089 3076 73952 70628 0 70628 0 0 1183 0 104 1079 3 2138 0 2138
"195703" 81478 0 1880 0 0 75672 0 10847 903 266 0 637 692 3047 0 0 3047 0 58870 1313 1036 2890 75251 71464 0 71464 0 0 1230 0 111 1119 6 2551 0 2551
"195704" 83323 0 2382 0 0 77002 0 10422 1064 265 0 799 685 3246 0 0 3246 0 60320 1265 1000 2939 76936 73596 0 73596 0 0 1381 0 116 1265 7 1952 0 1952
"195801" 85314 0 2367 0 0 78675 0 10378 1193 304 0 889 717 3506 0 0 3506 0 61517 1364 1056 3216 78831 75631 0 75631 0 0 789 0 93 696 7 2404 0 2404
"195802" 88130 0 2558 0 0 80696 0 10214 1244 264 0 980 725 3730 0 0 3730 0 63418 1365 1155 3721 81404 78019 0 78019 0 0 1036 0 107 929 5 2344 0 2344
"195803" 90379 0 2327 0 0 83345 0 10414 1329 258 0 1071 738 3785 0 0 3785 0 65604 1475 1279 3428 83492 79397 0 79397 0 0 1136 0 126 1010 5 2954 0 2954
"195804" 93157 0 2687 0 0 85490 0 10351 1411 249 0 1162 729 3798 0 0 3798 0 67729 1472 1400 3580 85925 82007 0 82007 0 0 1445 0 147 1298 5 2468 0 2468
"195901" 95255 0 2390 0 0 87852 0 10874 1571 295 0 1276 763 3673 0 0 3673 0 69418 1553 1402 3611 87982 83641 125 83516 0 0 1205 0 118 1087 3 3133 0 3133
"195902" 98539 0 2372 0 0 90459 0 10778 1728 323 0 1405 747 3713 0 0 3713 6 71883 1604 1445 4263 90968 86080 127 85953 0 0 1676 0 139 1537 5 3207 0 3207
"195903" 100647 0 1975 0 0 93432 0 10753 1891 357 0 1534 758 3653 0 0 3653 19 74638 1720 1371 3869 93046 87345 129 87216 0 0 1974 0 179 1795 6 3721 0 3721
"195904" 102714 0 2423 0 0 95137 0 10229 1982 324 0 1658 721 3627 0 0 3627 25 76840 1713 1400 3754 94824 89560 131 89429 0 0 2387 0 253 2134 6 2871 0 2871
