"DATES" "FL514090005.Q" "FL513020003.Q" "FL513034003.Q" "FL512050003.Q" "FL514004005.Q" "FL513069103.Q" "FL513061103.Q" "FL513061703.Q" "FL513062003.Q" "FL513063003.Q" "FL513065503.Q" "FL513064105.Q" "FL513064203.Q" "FL513070003.Q" "FL513092003.Q" "FL514190005.Q" "FL513178003.Q" "FL513190005.Q"
"195201" 13203 1251 0 0 8049 0 5445 0 1582 902 120 2941 0 876 86 8680 192 8488
"195202" 13483 1270 0 0 8184 0 5348 0 1728 987 121 3040 0 901 88 8926 176 8750
"195203" 13765 1293 0 0 8480 0 5693 0 1739 926 122 2977 0 925 90 9200 189 9011
"195204" 14336 1320 0 0 8733 0 5774 0 1869 967 123 3245 0 948 90 9485 218 9267
"195301" 14598 1343 0 0 9031 0 5877 0 2023 1006 125 3165 0 967 92 9681 189 9492
"195302" 14828 1361 0 0 9256 0 5884 0 2202 1041 129 3134 0 983 94 9903 195 9708
"195303" 15160 1372 0 0 9563 0 5957 0 2402 1070 134 3133 0 996 96 10159 248 9911
"195304" 15694 1375 0 0 9873 0 6025 0 2617 1092 139 3344 0 1006 96 10462 355 10107
"195401" 16191 1371 0 0 10068 0 5986 0 2829 1110 143 3637 0 1017 98 10591 323 10268
"195402" 16681 1360 0 0 10294 0 5993 0 3032 1124 145 3897 0 1030 100 10639 239 10400
"195403" 17267 1344 0 0 10560 0 6057 0 3222 1136 145 4216 0 1045 102 10795 266 10529
"195404" 17867 1323 0 0 10828 0 6137 0 3402 1146 143 4539 0 1064 113 10967 246 10721
"195501" 18032 1316 0 0 10908 0 6022 0 3587 1155 144 4609 0 1084 115 11111 220 10891
"195502" 18627 1319 0 0 11055 0 5964 0 3781 1164 146 5030 0 1106 117 11234 159 11075
"195503" 19206 1331 0 0 11351 0 6045 0 3984 1173 149 5275 0 1130 119 11447 182 11265
"195504" 19564 1348 0 0 11529 0 6000 0 4194 1183 152 5408 0 1156 123 11649 165 11484
"195601" 20006 1354 0 0 11575 0 5834 0 4395 1190 156 5767 0 1185 125 11834 167 11667
"195602" 19887 1345 0 0 11620 0 5683 0 4583 1195 159 5577 0 1217 128 11951 108 11843
"195603" 19946 1320 0 0 11773 0 5655 0 4756 1201 161 5470 0 1252 131 12088 60 12028
"195604" 20246 1280 0 0 11943 0 5657 0 4915 1210 161 5599 0 1291 133 12261 18 12243
"195701" 20086 1253 0 0 11996 0 5530 0 5072 1233 161 5372 0 1330 135 12505 25 12480
"195702" 20717 1242 0 0 12088 0 5423 0 5232 1272 161 5879 0 1370 138 12805 58 12747
"195703" 20577 1249 0 0 12321 0 5437 0 5397 1326 161 5456 0 1410 141 13099 82 13017
"195704" 20625 1272 0 0 12599 0 5480 0 5568 1390 161 5159 0 1451 144 13350 101 13249
"195801" 20870 1298 0 0 12593 0 5248 0 5737 1447 161 5342 0 1490 147 13487 15 13472
"195802" 21416 1321 0 0 12716 0 5160 0 5904 1491 161 5703 0 1527 149 13743 73 13670
"195803" 22255 1337 0 0 13019 0 5265 0 6073 1520 161 6184 0 1563 152 13977 105 13872
"195804" 23201 1345 0 0 13382 0 5439 0 6249 1534 160 6721 0 1599 154 14320 166 14154
"195901" 23425 1348 0 0 13518 0 5360 0 6453 1545 160 6763 0 1639 157 14525 104 14421
"195902" 24044 1348 0 0 13761 0 5356 0 6690 1557 158 7092 0 1683 160 14821 98 14723
