"DATES" "FL554090005.Q" "FL554004005.Q" "FL553061103.Q" "FL553062003.Q" "FL553063003.Q" "FL553064103.Q" "FL554090005.Q" "FL564090005.Q" "FL564004005.Q" "FL563061103.Q" "FL563062003.Q" "FL563063003.Q" "FL563064103.Q" "FL564090005.Q"
"195201" 2267 453 113 0 340 1814 2267 0 0 0 0 0 0 0
"195202" 2344 469 117 0 352 1875 2344 0 0 0 0 0 0 0
"195203" 2424 485 121 0 364 1939 2424 0 0 0 0 0 0 0
"195204" 2500 500 125 0 375 2000 2500 0 0 0 0 0 0 0
"195301" 2575 515 129 0 386 2060 2575 0 0 0 0 0 0 0
"195302" 2650 530 132 0 398 2120 2650 0 0 0 0 0 0 0
"195303" 2725 545 136 0 409 2180 2725 0 0 0 0 0 0 0
"195304" 2800 560 140 0 420 2240 2800 0 0 0 0 0 0 0
"195401" 2873 575 144 0 431 2298 2873 0 0 0 0 0 0 0
"195402" 2943 589 147 0 442 2354 2943 0 0 0 0 0 0 0
"195403" 3016 603 151 0 452 2413 3016 0 0 0 0 0 0 0
"195404" 3100 620 155 0 465 2480 3100 0 0 0 0 0 0 0
"195501" 3192 638 160 0 478 2554 3192 0 0 0 0 0 0 0
"195502" 3294 659 165 0 494 2635 3294 0 0 0 0 0 0 0
"195503" 3399 680 170 0 510 2719 3399 0 0 0 0 0 0 0
"195504" 3500 700 175 0 525 2800 3500 0 0 0 0 0 0 0
"195601" 3598 720 180 0 540 2878 3598 0 0 0 0 0 0 0
"195602" 3693 739 185 0 554 2954 3693 0 0 0 0 0 0 0
"195603" 3791 758 190 0 568 3033 3791 0 0 0 0 0 0 0
"195604" 3900 780 195 0 585 3120 3900 0 0 0 0 0 0 0
"195701" 4016 803 201 0 602 3213 4016 0 0 0 0 0 0 0
"195702" 4139 828 207 0 621 3311 4139 0 0 0 0 0 0 0
"195703" 4267 853 213 0 640 3414 4267 0 0 0 0 0 0 0
"195704" 4400 880 220 0 660 3520 4400 0 0 0 0 0 0 0
"195801" 4539 908 227 0 681 3631 4539 0 0 0 0 0 0 0
"195802" 4686 937 234 0 703 3749 4686 0 0 0 0 0 0 0
"195803" 4835 967 242 0 725 3868 4835 0 0 0 0 0 0 0
"195804" 4980 996 249 0 747 3984 4980 0 0 0 0 0 0 0
"195901" 5119 1075 269 0 806 4044 5119 0 0 0 0 0 0 0
"195902" 5248 1102 289 0 813 4146 5248 0 0 0 0 0 0 0
"195903" 5385 1131 310 0 821 4254 5385 0 0 0 0 0 0 0
"195904" 5546 1165 333 0 832 4381 5546 0 0 0 0 0 0 0
"196001" 5548 1265 359 0 906 4283 5548 0 0 0 0 0 0 0
"196002" 5908 1322 391 0 931 4586 5908 0 0 0 0 0 0 0
"196003" 5841 1373 421 0 952 4468 5841 0 0 0 0 0 0 0
"196004" 6364 1400 445 0 955 4964 6364 0 0 0 0 0 0 0
"196101" 6481 1468 447 0 1021 5013 6481 0 0 0 0 0 0 0
"196102" 6298 1449 441 0 1008 4849 6298 0 0 0 0 0 0 0
"196103" 6178 1421 432 0 989 4757 6178 0 0 0 0 0 0 0
"196104" 6083 1399 426 0 973 4684 6083 0 0 0 0 0 0 0
"196201" 6073 1434 418 0 1016 4639 6073 0 0 0 0 0 0 0
"196202" 5098 1392 406 0 986 3706 5098 0 0 0 0 0 0 0
"196203" 5280 1363 398 0 965 3917 5280 0 0 0 0 0 0 0
