"DATES" "FL404090005.Q" "FL403020005.Q" "FL403030005.Q" "FL402050005.Q" "FL404004005.Q" "FL403069105.Q" "FL403061105.Q" "FL403061705.Q" "FL403062005.Q" "FL403063005.Q" "FL403069305.Q" "FL403069385.Q" "FL403069345.Q" "FL403069330.Q" "FL403065005.Q" "FL403065105.Q" "FL403065405.Q" "FL403065605.Q" "FL403066005.Q" "FL403093005.Q" "FL404190005.Q" "FL404104005.Q" "FL403161705.Q" "FL403169283.Q" "FL403190005.Q"
"195201" 3687 79 0 0 3392 0 565 0 0 0 1799 0 1210 589 1028 0 0 1028 0 216 3369 1941 1941 0 1428
"195202" 3747 89 0 0 3440 0 496 0 0 0 1898 0 1245 653 1046 0 0 1046 0 218 3424 2038 2038 0 1386
"195203" 3789 81 0 0 3486 0 483 0 0 0 1935 0 1220 715 1068 0 0 1068 0 222 3456 2128 2128 0 1328
"195204" 3824 96 0 0 3647 0 495 0 0 0 2061 0 1197 864 1091 0 0 1091 0 81 3486 2102 2102 0 1384
"195301" 3859 100 0 0 3530 0 695 0 0 0 1721 0 1110 611 1114 0 0 1114 0 229 3510 1996 1996 0 1514
"195302" 3903 98 0 0 3577 0 574 0 0 0 1867 0 1149 718 1136 0 0 1136 0 228 3553 2010 2010 0 1543
"195303" 4019 111 0 0 3675 0 592 0 0 0 1925 0 1124 801 1158 0 0 1158 0 233 3664 2127 2127 0 1537
"195304" 4075 139 0 0 3708 0 589 0 0 0 1939 0 987 952 1180 0 0 1180 0 228 3720 2099 2099 0 1621
"195401" 4086 86 0 0 3766 0 901 0 0 0 1654 0 1024 630 1211 0 0 1211 0 234 3727 1871 1871 0 1856
"195402" 4227 91 0 0 3884 0 872 0 0 0 1770 0 1095 675 1242 0 0 1242 0 252 3867 1967 1967 0 1900
"195403" 4314 115 0 0 3966 0 896 0 0 0 1808 0 1119 689 1262 0 0 1262 0 233 3947 2092 2092 0 1855
"195404" 4457 112 0 0 4024 0 849 0 0 0 1894 0 1027 867 1281 0 0 1281 0 321 4088 2064 2064 0 2024
"195501" 4533 102 0 0 4125 0 982 0 0 0 1799 0 1097 702 1344 0 0 1344 0 306 4160 2045 2045 0 2115
"195502" 4898 104 0 0 4475 0 869 0 0 0 2189 0 1172 1017 1417 9 0 1408 0 319 4522 2361 2361 0 2161
"195503" 5028 99 0 26 4586 0 637 0 0 0 2466 0 1191 1275 1483 30 0 1453 0 317 4643 2618 2602 16 2025
"195504" 5485 132 0 40 5000 0 936 0 0 0 2481 0 1064 1417 1583 86 0 1497 0 313 5098 3071 3005 66 2027
"195601" 5679 92 0 40 5236 0 1256 0 0 0 2256 0 1118 1138 1724 156 1 1567 0 311 5286 3137 3111 26 2149
"195602" 6000 76 0 37 5559 0 1267 0 0 0 2420 0 1247 1173 1872 233 1 1638 0 328 5608 3410 3316 94 2198
"195603" 6146 88 0 22 5720 0 1257 0 0 0 2422 0 1280 1142 2041 352 0 1689 0 316 5745 3657 3559 98 2088
"195604" 6494 132 0 18 6048 0 1226 0 0 0 2432 0 1204 1228 2390 649 0 1741 0 296 6094 3809 3448 361 2285
"195701" 6809 85 0 18 6406 0 1342 0 0 0 2229 0 1268 961 2835 1031 0 1804 0 300 6383 4056 3845 211 2327
"195702" 7256 92 0 15 6848 0 1269 0 0 0 2462 0 1383 1079 3117 1249 0 1868 0 301 6832 4449 4446 3 2383
"195703" 7425 81 0 16 7020 0 1137 0 0 0 2545 0 1426 1119 3338 1445 0 1893 0 308 6991 4753 4635 118 2238
"195704" 7778 113 0 18 7347 0 1143 0 0 0 2651 0 1386 1265 3553 1636 0 1917 0 300 7341 4929 4848 81 2412
"195801" 7969 84 0 12 7575 0 1742 0 0 0 2163 0 1467 696 3670 1718 0 1952 0 298 7525 4735 4728 7 2790
"195802" 8009 109 0 10 7576 0 1631 0 0 0 2564 0 1635 929 3381 1394 0 1987 0 314 7565 4625 4625 0 2940
"195803" 7987 79 0 7 7583 0 1497 0 0 0 2716 0 1706 1010 3370 1333 0 2037 0 318 7527 4859 4840 19 2668
"195804" 8129 125 0 0 7684 0 1252 0 0 0 2964 0 1666 1298 3468 1381 0 2087 0 320 7660 4985 4925 60 2675
"195901" 8403 83 0 0 8012 0 1457 0 0 0 2918 0 1831 1087 3637 1464 0 2173 0 308 7920 5126 5041 85 2794
"195902" 9208 120 0 0 8772 0 1328 0 0 0 3610 0 2073 1537 3834 1574 0 2260 0 316 8730 5952 5910 42 2778
"195903" 9789 112 0 0 9335 0 1317 0 0 0 3931 0 2136 1795 4087 1777 0 2310 0 342 9296 6757 6722 35 2539
"195904" 10418 157 0 0 9898 0 1352 0 0 0 4146 0 2012 2134 4400 2040 0 2360 0 363 9921 7259 7120 139 2662
"196001" 10420 102 0 0 9975 0 1556 0 0 0 3625 0 2105 1520 4794 2370 0 2424 0 343 9910 7188 6956 232 2722
"196002" 11049 146 0 0 10543 0 1437 0 0 0 4019 0 2249 1770 5087 2600 0 2487 0 360 10543 7610 7610 0 2933
"196003" 11295 104 0 0 10799 0 1450 0 0 0 4017 0 2281 1736 5332 2806 1 2525 0 392 10773 7782 7726 56 2991
"196004" 11613 152 0 3 11092 0 1494 0 0 0 4131 0 2150 1981 5467 2901 2 2564 0 366 11090 7897 7860 37 3193
"196101" 11392 81 0 0 10941 0 1757 0 0 0 3768 0 2291 1477 5416 2768 2 2646 0 370 10856 7391 7378 13 3465
"196102" 11748 115 0 0 11253 0 1708 0 0 0 4295 0 2426 1869 5250 2520 2 2728 0 380 11221 7715 7715 0 3506
"196103" 12130 115 0 0 11631 0 1635 0 0 0 4612 0 2488 2124 5384 2604 2 2778 0 384 11593 8222 8213 9 3371
"196104" 12722 207 0 0 12128 0 1419 0 0 0 5009 0 2347 2662 5700 2870 2 2828 0 387 12184 8578 8474 104 3606
"196201" 13006 103 0 0 12517 0 1952 0 0 0 4644 0 2493 2151 5921 3020 3 2898 0 386 12447 8895 8851 44 3552
"196202" 13422 148 0 0 12890 0 1594 0 0 0 5457 0 2690 2767 5839 2863 8 2968 0 384 12886 9188 9188 0 3698
"196203" 13761 134 0 0 13223 0 1622 0 0 0 5743 0 2697 3046 5858 2840 8 3010 0 404 13178 9774 9740 34 3404
