"DATES" "FL504090005.Q" "FL503034003.Q" "FL502050003.Q" "FL504004005.Q" "FL503069105.Q" "FL503063005.Q" "FL503069805.Q" "FL503064105.Q" "FL503094505.Q" "FL753194503.Q" "FL663194505.Q" "FL504190005.Q" "FL504104005.Q" "FL503169105.Q" "FL503163005.Q" "FL713068505.Q" "FL503169205.Q" "FL503190005.Q" "FL503192003.Q" "FL663097005.Q" "FL503194305.Q" "FL503193005.Q"
"195201" 76 0 0 76 76 0 0 0 0 0 0 76 0 0 0 0 0 76 0 0 0 76
"195202" 65 0 0 65 65 0 0 0 0 0 0 65 0 0 0 0 0 65 0 0 0 65
"195203" 60 0 0 60 60 0 0 0 0 0 0 60 0 0 0 0 0 60 0 0 0 60
"195204" 66 0 0 66 66 0 0 0 0 0 0 66 0 0 0 0 0 66 0 0 0 66
"195301" 70 0 0 70 70 0 0 0 0 0 0 70 0 0 0 0 0 70 0 0 0 70
"195302" 60 0 0 60 60 0 0 0 0 0 0 60 0 0 0 0 0 60 0 0 0 60
"195303" 58 0 0 58 58 0 0 0 0 0 0 58 0 0 0 0 0 58 0 0 0 58
"195304" 78 0 0 78 78 0 0 0 0 0 0 78 0 0 0 0 0 78 0 0 0 78
"195401" 74 0 0 74 74 0 0 0 0 0 0 74 0 0 0 0 0 74 0 0 0 74
"195402" 68 0 0 68 68 0 0 0 0 0 0 68 0 0 0 0 0 68 0 0 0 68
"195403" 71 0 0 71 71 0 0 0 0 0 0 71 0 0 0 0 0 71 0 0 0 71
"195404" 77 0 0 77 77 0 0 0 0 0 0 77 0 0 0 0 0 77 0 0 0 77
"195501" 94 0 0 94 94 0 0 0 0 0 0 94 0 0 0 0 0 94 0 0 0 94
"195502" 91 0 0 91 91 0 0 0 0 0 0 91 0 0 0 0 0 91 0 0 0 91
"195503" 104 0 0 104 104 0 0 0 0 0 0 104 0 0 0 0 0 104 0 0 0 104
"195504" 91 0 0 91 91 0 0 0 0 0 0 91 0 0 0 0 0 91 0 0 0 91
"195601" 135 0 0 135 135 0 0 0 0 0 0 135 0 0 0 0 0 135 0 0 0 135
"195602" 98 0 0 98 98 0 0 0 0 0 0 98 0 0 0 0 0 98 0 0 0 98
"195603" 120 0 0 120 120 0 0 0 0 0 0 120 0 0 0 0 0 120 0 0 0 120
"195604" 108 0 0 108 108 0 0 0 0 0 0 108 0 0 0 0 0 108 0 0 0 108
"195701" 120 0 0 120 120 0 0 0 0 0 0 120 0 0 0 0 0 120 0 0 0 120
"195702" 126 0 0 126 126 0 0 0 0 0 0 126 0 0 0 0 0 126 0 0 0 126
"195703" 119 0 0 119 119 0 0 0 0 0 0 119 0 0 0 0 0 119 0 0 0 119
"195704" 123 0 0 123 123 0 0 0 0 0 0 123 0 0 0 0 0 123 0 0 0 123
"195801" 153 0 0 153 153 0 0 0 0 0 0 153 0 0 0 0 0 153 0 0 0 153
"195802" 183 0 0 183 183 0 0 0 0 0 0 183 0 0 0 0 0 183 0 0 0 183
"195803" 171 0 0 171 171 0 0 0 0 0 0 171 0 0 0 0 0 171 0 0 0 171
"195804" 116 0 0 116 116 0 0 0 0 0 0 116 0 0 0 0 0 116 0 0 0 116
"195901" 149 0 0 149 149 0 0 0 0 0 0 149 0 0 0 0 0 149 0 0 0 149
"195902" 150 0 0 150 150 0 0 0 0 0 0 150 0 0 0 0 0 150 0 0 0 150
"195903" 186 0 0 186 186 0 0 0 0 0 0 186 0 0 0 0 0 186 0 0 0 186
"195904" 152 0 0 152 152 0 0 0 0 0 0 152 0 0 0 0 0 152 0 0 0 152
"196001" 180 0 0 180 180 0 0 0 0 0 0 180 0 0 0 0 0 180 0 0 0 180
"196002" 189 0 0 189 189 0 0 0 0 0 0 189 0 0 0 0 0 189 0 0 0 189
"196003" 208 0 0 208 208 0 0 0 0 0 0 208 0 0 0 0 0 208 0 0 0 208
"196004" 177 0 0 177 177 0 0 0 0 0 0 177 0 0 0 0 0 177 0 0 0 177
"196101" 240 0 0 240 240 0 0 0 0 0 0 240 0 0 0 0 0 240 0 0 0 240
"196102" 202 0 0 202 202 0 0 0 0 0 0 202 0 0 0 0 0 202 0 0 0 202
"196103" 256 0 0 256 256 0 0 0 0 0 0 256 0 0 0 0 0 256 0 0 0 256
"196104" 174 0 0 174 174 0 0 0 0 0 0 174 0 0 0 0 0 174 0 0 0 174
"196201" 316 0 0 316 316 0 0 0 0 0 0 316 0 0 0 0 0 316 0 0 0 316
"196202" 254 0 0 254 254 0 0 0 0 0 0 254 0 0 0 0 0 254 0 0 0 254
"196203" 272 0 0 272 272 0 0 0 0 0 0 272 0 0 0 0 0 272 0 0 0 272
"196204" 289 0 0 289 289 0 0 0 0 0 0 289 0 0 0 0 0 289 0 0 0 289
"196301" 315 0 0 315 315 0 0 0 0 0 0 315 0 0 0 0 0 315 0 0 0 315
"196302" 288 0 0 288 288 0 0 0 0 0 0 288 0 0 0 0 0 288 0 0 0 288
"196303" 286 0 0 286 286 0 0 0 0 0 0 286 0 0 0 0 0 286 0 0 0 286
"196304" 306 0 0 306 306 0 0 0 0 0 0 306 0 0 0 0 0 306 0 0 0 306
"196401" 290 0 0 290 290 0 0 0 0 0 0 290 0 0 0 0 0 290 0 0 0 290
"196402" 334 0 0 334 334 0 0 0 0 0 0 334 0 0 0 0 0 334 0 0 0 334
"196403" 262 0 0 262 262 0 0 0 0 0 0 262 0 0 0 0 0 262 0 0 0 262
"196404" 281 0 0 281 281 0 0 0 0 0 0 281 0 0 0 0 0 281 0 0 0 281
"196501" 386 0 0 386 386 0 0 0 0 0 0 386 0 0 0 0 0 386 0 0 0 386
"196502" 404 0 0 404 404 0 0 0 0 0 0 404 0 0 0 0 0 404 0 0 0 404
"196503" 437 0 0 437 437 0 0 0 0 0 0 437 0 0 0 0 0 437 0 0 0 437
"196504" 496 0 0 496 496 0 0 0 0 0 0 496 0 0 0 0 0 496 0 0 0 496
"196601" 493 0 0 493 493 0 0 0 0 0 0 493 0 0 0 0 0 493 0 0 0 493
"196602" 583 0 0 583 583 0 0 0 0 0 0 583 0 0 0 0 0 583 0 0 0 583
"196603" 793 0 0 793 793 0 0 0 0 0 0 793 0 0 0 0 0 793 0 0 0 793
"196604" 767 0 0 767 767 0 0 0 0 0 0 767 0 0 0 0 0 767 0 0 0 767
"196701" 732 0 0 732 732 0 0 0 0 0 0 732 0 0 0 0 0 732 0 0 0 732
"196702" 800 0 0 800 800 0 0 0 0 0 0 800 0 0 0 0 0 800 0 0 0 800
"196703" 775 0 0 775 775 0 0 0 0 0 0 775 0 0 0 0 0 775 0 0 0 775
"196704" 822 0 0 822 822 0 0 0 0 0 0 822 0 0 0 0 0 822 0 0 0 822
"196801" 1376 0 0 1376 1376 0 0 0 0 0 0 1376 0 0 0 0 0 1376 0 0 0 1376
"196802" 1113 0 0 1113 1113 0 0 0 0 0 0 1113 0 0 0 0 0 1113 0 0 0 1113
"196803" 1171 0 0 1171 1171 0 0 0 0 0 0 1171 0 0 0 0 0 1171 0 0 0 1171
"196804" 1022 0 0 1022 1022 0 0 0 0 0 0 1022 0 0 0 0 0 1022 0 0 0 1022
"196901" 1380 0 0 1380 1380 0 0 0 0 0 0 1380 0 0 0 0 0 1380 0 0 0 1380
"196902" 1489 0 0 1489 1489 0 0 0 0 0 0 1489 0 0 0 0 0 1489 0 0 0 1489
"196903" 1691 0 0 1691 1691 0 0 0 0 0 0 1691 0 0 0 0 0 1691 0 0 0 1691
"196904" 1585 0 0 1585 1585 0 0 0 0 0 0 1585 0 0 0 0 0 1585 0 0 0 1585
"197001" 1785 0 0 1785 1785 0 0 0 0 0 0 1785 0 0 0 0 0 1785 0 0 0 1785
"197002" 916 0 0 916 916 0 0 0 0 0 0 916 0 0 0 0 0 916 0 0 0 916
"197003" 1885 0 0 1885 1885 0 0 0 0 0 0 1885 0 0 0 0 0 1885 0 0 0 1885
"197004" 1399 0 0 1399 1399 0 0 0 0 0 0 1399 0 0 0 0 0 1399 0 0 0 1399
"197101" 1218 0 0 1218 1218 0 0 0 0 0 0 1218 0 0 0 0 0 1218 0 0 0 1218
"197102" 1096 0 0 1096 1096 0 0 0 0 0 0 1096 0 0 0 0 0 1096 0 0 0 1096
"197103" 1027 0 0 1027 1027 0 0 0 0 0 0 1027 0 0 0 0 0 1027 0 0 0 1027
"197104" 1302 0 0 1302 1302 0 0 0 0 0 0 1302 0 0 0 0 0 1302 0 0 0 1302
"197201" 1346 0 0 1346 1346 0 0 0 0 0 0 1346 0 0 0 0 0 1346 0 0 0 1346
"197202" 1222 0 0 1222 1222 0 0 0 0 0 0 1222 0 0 0 0 0 1222 0 0 0 1222
"197203" 1341 0 0 1341 1341 0 0 0 0 0 0 1341 0 0 0 0 0 1341 0 0 0 1341
"197204" 1173 0 0 1173 1173 0 0 0 0 0 0 1173 0 0 0 0 0 1173 0 0 0 1173
"197301" 1646 0 0 1646 1646 0 0 0 0 0 0 1646 0 0 0 0 0 1646 0 0 0 1646
"197302" 1801 0 0 1801 1801 0 0 0 0 0 0 1801 0 0 0 0 0 1801 0 0 0 1801
"197303" 1979 0 0 1979 1979 0 0 0 0 0 0 1979 0 0 0 0 0 1979 0 0 0 1979
"197304" 1671 0 0 1671 1671 0 0 0 0 0 0 1671 0 0 0 0 0 1671 0 0 0 1671
"197401" 1757 0 0 1757 1757 0 0 0 0 0 0 1757 0 0 0 0 0 1757 0 0 0 1757
"197402" 1871 0 0 1871 1871 0 0 0 0 0 0 1871 0 0 0 0 0 1871 0 0 0 1871
"197403" 1692 0 0 1692 1692 0 0 0 0 0 0 1692 0 0 0 0 0 1692 0 0 0 1692
"197404" 1406 0 0 1406 1406 0 0 0 0 0 0 1406 0 0 0 0 0 1406 0 0 0 1406
"197501" 1542 0 0 1542 1542 0 0 0 0 0 0 1542 0 0 0 0 0 1542 0 0 0 1542
"197502" 1345 0 0 1345 1345 0 0 0 0 0 0 1345 0 0 0 0 0 1345 0 0 0 1345
"197503" 1076 0 0 1076 1076 0 0 0 0 0 0 1076 0 0 0 0 0 1076 0 0 0 1076
"197504" 1341 0 0 1341 1341 0 0 0 0 0 0 1341 0 0 0 0 0 1341 0 0 0 1341
"197601" 1033 155 0 878 878 0 0 0 0 0 0 1033 0 0 0 0 0 1033 0 310 0 723
"197602" 919 89 0 830 830 0 0 0 0 0 0 919 0 0 0 0 0 919 0 178 0 741
