"DATES" "FL713014003.Q" "FL713014003.Q" "FL313112003.Q" "FL713012003.Q" "FL903012005.Q"
"195201" 0 0 2413 4575 -2162
"195202" 0 0 2420 4598 -2178
"195203" 0 0 2429 4625 -2196
"195204" 0 0 2435 4656 -2221
"195301" 0 0 2438 4670 -2232
"195302" 0 0 2451 4698 -2247
"195303" 0 0 2458 4716 -2258
"195304" 0 0 2469 4738 -2269
"195401" 0 0 2491 4779 -2288
"195402" 0 0 2501 4803 -2302
"195403" 0 0 2503 4815 -2312
"195404" 0 0 2505 4829 -2324
"195501" 0 0 2508 4841 -2333
"195502" 0 0 2507 4846 -2339
"195503" 0 0 2507 4850 -2343
"195504" 0 0 2507 4852 -2345
"195601" 0 0 2509 4859 -2350
"195602" 0 0 2512 4876 -2364
"195603" 0 0 2517 4890 -2373
"195604" 0 0 2526 4910 -2384
"195701" 0 0 2533 4929 -2396
"195702" 0 0 2544 4951 -2407
"195703" 0 0 2552 4970 -2418
"195704" 0 0 2562 4990 -2428
"195801" 0 0 2578 5026 -2448
"195802" 0 0 2590 5047 -2457
"195803" 0 0 2593 5063 -2470
"195804" 0 0 2600 5078 -2478
"195901" 0 0 2606 5090 -2484
"195902" 0 0 2621 5123 -2502
"195903" 0 0 2626 5153 -2527
"195904" 0 0 2639 5155 -2516
"196001" 0 0 2652 5184 -2532
"196002" 0 0 2661 5198 -2537
"196003" 0 0 2673 5219 -2546
"196004" 0 0 2686 5242 -2556
"196101" 0 0 2691 5253 -2562
"196102" 0 0 2707 5281 -2574
"196103" 0 0 2723 5406 -2683
"196104" 0 0 2740 5429 -2689
"196201" 0 0 2748 5432 -2684
"196202" 0 0 2757 5442 -2685
"196203" 0 0 2749 5394 -2645
"196204" 0 0 2760 5411 -2651
"196301" 0 0 2769 5422 -2653
"196302" 0 0 2779 5431 -2652
"196303" 0 0 2788 5432 -2644
"196304" 0 0 2806 5422 -2616
"196401" 0 0 2825 5423 -2598
"196402" 0 0 2841 5422 -2581
"196403" 0 0 2855 5397 -2542
"196404" 0 0 2830 5249 -2419
"196501" 0 0 2864 5234 -2370
"196502" 0 0 2901 5256 -2355
"196503" 0 0 2949 5316 -2367
"196504" 0 0 3064 5419 -2355
"196601" 0 0 3242 5580 -2338
"196602" 0 0 3543 5822 -2279
"196603" 0 0 3740 5930 -2190
"196604" 0 0 3963 6161 -2198
"196701" 0 0 4176 6348 -2172
"196702" 0 0 4394 6456 -2062
"196703" 0 0 4560 6604 -2044
"196704" 0 0 4646 6628 -1982
"196801" 0 0 4870 6799 -1929
"196802" 0 0 4930 6708 -1778
"196803" 0 0 4976 6741 -1765
"196804" 0 0 5062 6795 -1733
"196901" 0 0 5108 6826 -1718
"196902" 0 0 5166 6736 -1570
"196903" 0 0 5198 6761 -1563
"196904" 0 0 5334 6848 -1514
"197001" 400 400 5397 6900 -1503
"197002" 400 400 5421 6986 -1565
"197003" 400 400 5492 7074 -1582
"197004" 400 400 5556 7149 -1593
"197101" 400 400 5654 7270 -1616
"197102" 400 400 5797 7420 -1623
"197103" 400 400 5911 7547 -1636
"197104" 400 400 6046 7627 -1581
"197201" 400 400 6219 7895 -1676
"197202" 400 400 6372 8066 -1694
"197203" 400 400 6483 8200 -1717
"197204" 400 400 6579 8313 -1734
"197301" 400 400 6667 8420 -1753
"197302" 400 400 6860 8531 -1671
"197303" 400 400 6924 8614 -1690
"197304" 400 400 7001 8716 -1715
"197401" 400 400 6988 8813 -1825
"197402" 400 400 7085 8924 -1839
"197403" 400 400 7188 9069 -1881
"197404" 400 400 7333 9252 -1919
"197501" 400 400 7500 9453 -1953
"197502" 500 500 7711 9687 -1976
"197503" 500 500 7910 9934 -2024
"197504" 500 500 8170 10218 -2048
"197601" 500 500 8318 10403 -2085
"197602" 500 500 8657 10558 -1901
"197603" 800 800 8556 10685 -2129
"197604" 1200 1200 8659 10820 -2161
"197701" 1200 1200 8648 10939 -2291
"197702" 1200 1200 8765 11081 -2316
"197703" 1200 1200 8864 11206 -2342
"197704" 1250 1250 8909 11331 -2422
"197801" 1250 1250 9045 11441 -2396
"197802" 1250 1250 9142 11565 -2423
"197803" 1300 1300 9271 11683 -2412
"197804" 1300 1300 9383 11831 -2448
"197901" 1300 1300 9659 12158 -2499
"197902" 1800 1800 9982 12525 -2543
"197903" 1800 1800 10262 12825 -2563
"197904" 1800 1800 10493 13091 -2598
"198001" 2968 2968 10709 13352 -2643
"198002" 3018 3018 10849 13523 -2674
"198003" 3268 3268 10925 13653 -2728
"198004" 2518 2518 11057 13832 -2775
"198101" 2818 2818 11167 14004 -2837
"198102" 3068 3068 11266 14158 -2892
"198103" 3318 3318 11374 14313 -2939
"198104" 3318 3318 11502 14482 -2980
"198201" 3568 3568 11606 14637 -3031
"198202" 3818 3818 11693 14777 -3084
"198203" 4218 4218 11764 14912 -3148
"198204" 4618 4618 11859 15043 -3184
"198301" 4618 4618 11971 15213 -3242
"198302" 4618 4618 12104 15392 -3288
"198303" 4618 4618 12241 15568 -3327
"198304" 4618 4618 12327 15732 -3405
"198401" 4618 4618 12501 15889 -3388
"198402" 4618 4618 12656 16113 -3457
"198403" 4618 4618 12739 16237 -3498
"198404" 4618 4618 12880 16418 -3538
"198501" 4618 4618 13157 16588 -3431
"198502" 4618 4618 13175 16783 -3608
"198503" 4618 4618 13255 16924 -3669
"198504" 4718 4718 13267 17052 -3785
"198601" 4718 4718 13478 17207 -3729
"198602" 4818 4818 13571 17330 -3759
"198603" 5018 5018 13647 17438 -3791
"198604" 5018 5018 13756 17567 -3811
"198701" 5018 5018 13884 17735 -3851
"198702" 5018 5018 13991 17889 -3898
"198703" 5018 5018 14105 18006 -3901
"198704" 5018 5018 14225 18177 -3952
"198801" 5018 5018 14354 18339 -3985
"198802" 5018 5018 14454 18501 -4047
"198803" 5018 5018 14574 18637 -4063
"198804" 5018 5018 14736 18799 -4063
"198901" 5368 5368 14876 19036 -4160
"198902" 8518 8518 15056 19253 -4197
"198903" 8518 8518 15166 19425 -4259
"198904" 8518 8518 15303 19627 -4324
"199001" 8518 8518 15453 19841 -4388
"199002" 8518 8518 15614 20066 -4452
"199003" 8518 8518 15713 20221 -4508
"199004" 10018 10018 16256 20402 -4146
"199101" 10018 10018 15958 20574 -4616
"199102" 10018 10018 16070 20749 -4679
"199103" 10018 10018 16170 20886 -4716
"199104" 10018 10018 16296 21014 -4718
"199201" 10018 10018 16314 21135 -4821
"199202" 10018 10018 16386 21253 -4867
"199203" 10018 10018 16433 21338 -4905
"199204" 8018 8018 16516 21447 -4931
"199301" 8018 8018 16588 21573 -4985
"199302" 8018 8018 16678 21705 -5027
"199303" 8018 8018 16784 21866 -5082
"199304" 8018 8018 16962 22095 -5133
"199401" 8018 8018 17126 22318 -5192
"199402" 8018 8018 17285 22528 -5243
"199403" 8018 8018 17477 22779 -5302
"199404" 8018 8018 17648 22994 -5346
"199501" 8018 8018 17832 23226 -5394
"199502" 8018 8018 18002 23490 -5488
"199503" 10168 10168 18199 23760 -5561
"199504" 10168 10168 18326 24003 -5677
"199601" 10168 10168 18325 24269 -5944
"199602" 10168 10168 18280 24520 -6240
"199603" 9718 9718 18866 24744 -5878
"199604" 9718 9718 18865 24966 -6101
"199701" 9200 9200 18974 25157 -6183
"199702" 9200 9200 19013 25274 -6261
"199703" 9200 9200 19326 25402 -6076
"199704" 9200 9200 19325 25543 -6218
"199801" 9200 9200 19405 25664 -6259
"199802" 9200 9200 19461 25786 -6325
"199803" 9200 9200 19886 25991 -6105
"199804" 9200 9200 19885 26270 -6385
"199901" 8200 8200 19885 26638 -6753
"199902" 8200 8200 20402 27004 -6602
"199903" 7200 7200 20902 27457 -6555
"199904" 6200 6200 20901 28013 -7112
"200001" 6200 6200 21441 29003 -7562
"200002" 4200 4200 22124 29979 -7855
"200003" 3200 3200 23181 30811 -7630
"200004" 2200 2200 23180 31643 -8463
"200101" 2200 2200 23578 32271 -8693
"200102" 2200 2200 23904 32670 -8766
"200103" 2200 2200 24462 32957 -8495
"200104" 2200 2200 24462 33017 -8555
"200201" 2200 2200 24696 33630 -8934
"200202" 2200 2200 24846 33995 -9149
"200203" 2200 2200 25450 34315 -8865
"200204" 2200 2200 25450 34597 -9147
"200301" 2200 2200 25591 34798 -9207
"200302" 2200 2200 25992 35065 -9073
"200303" 2200 2200 26015 35273 -9258
"200304" 2200 2200 26014 35468 -9454
"200401" 2200 2200 26210 35761 -9551
"200402" 2200 2200 26499 36039 -9540
"200403" 2200 2200 26673 36279 -9606
"200404" 2200 2200 26703 36434 -9731
"200501" 2200 2200 26902 36545 -9643
"200502" 2200 2200 27172 36615 -9443
"200503" 2200 2200 27401 36429 -9028
"200504" 2200 2200 27482 36540 -9058
"200601" 2200 2200 27626 37879 -10253
"200602" 2200 2200 27815 37990 -10175
"200603" 2200 2200 28065 38084 -10019
"200604" 2200 2200 28064 38206 -10142
"200701" 2200 2200 28166 38371 -10205
"200702" 2200 2200 27835 38521 -10686
"200703" 2200 2200 27484 38639 -11155
"200704" 2200 2200 27383 38681 -11298
"200801" 2200 2200 27156 38679 -11523
"200802" 2200 2200 27039 38677 -11638
"200803" 2200 2200 26742 38675 -11933
"200804" 2200 2200 26551 38674 -12123
"200901" 2200 2200 26550 42261 -15711
"200902" 2200 2200 26549 42427 -15878
"200903" 5200 5200 26299 42564 -16265
"200904" 5200 5200 26199 42691 -16492
"201001" 5200 5200 26199 42745 -16546
"201002" 5200 5200 26198 43205 -17007
"201003" 5200 5200 25923 43411 -17488
