"DATES" "FL792150005.Q" "FL712150003.Q" "FL762150005.Q" "FL722150005.Q" "FL752150000.Q" "FL732150005.Q" "FL442150005.Q" "FL542150005.Q" "FL642150003.Q" "FL662150005.Q" "FL892050005.Q" "FL102050003.Q" "FL212050003.Q" "FL262050003.Q" "FL792050005.Q" "FL712050000.Q" "FL442050005.Q" "FL472050000.Q" "FL512050003.Q" "FL572050005.Q" "FL222050003.Q" "FL632050000.Q" "FL652050003.Q" "FL402050005.Q" "FL502050003.Q" "FL902050005.Q"
"195201" -926 0 100 100 0 0 0 0 0 -1026 540 0 80 0 460 300 0 0 0 83 0 0 77 0 0 -1466
"195202" -933 0 32 32 0 0 0 0 0 -965 719 0 167 0 552 400 0 0 0 86 0 0 66 0 0 -1652
"195203" -1131 0 2 2 0 0 0 0 0 -1133 1329 0 679 0 650 500 0 0 0 90 0 0 60 0 0 -2460
"195204" -1081 0 22 22 0 0 0 0 0 -1103 1071 0 247 0 824 664 0 0 0 93 0 0 67 0 0 -2152
"195301" -955 0 173 173 0 0 0 0 0 -1128 1020 0 256 0 764 600 0 0 0 94 0 0 70 0 0 -1975
"195302" -1065 0 9 9 0 0 0 0 0 -1074 757 0 0 0 757 600 0 0 0 96 0 0 61 0 0 -1822
"195303" -1025 0 9 9 0 0 0 0 0 -1034 1570 0 815 0 755 600 0 0 0 96 0 0 59 0 0 -2595
"195304" -1165 0 37 37 0 0 0 0 0 -1202 948 0 175 0 773 598 0 0 0 97 0 0 78 0 0 -2113
"195401" -1256 0 -58 -58 0 0 0 0 0 -1198 357 0 -216 0 573 400 0 0 0 99 0 0 74 0 0 -1613
"195402" -1232 0 24 24 0 0 0 0 0 -1256 470 0 0 0 470 300 0 0 0 101 0 0 69 0 0 -1702
"195403" -1192 0 115 115 0 0 0 0 0 -1307 1281 0 1006 0 275 100 0 0 0 103 0 0 72 0 0 -2473
"195404" -1545 0 -20 -20 0 0 0 0 0 -1525 400 0 172 0 228 44 0 0 0 106 0 0 78 0 0 -1945
"195501" -1551 0 -22 -22 0 0 0 0 0 -1529 708 0 402 0 306 100 0 0 0 111 0 0 95 0 0 -2259
"195502" -1730 0 -117 -117 0 0 0 0 0 -1613 410 0 0 0 410 200 0 0 0 118 0 0 92 0 0 -2140
"195503" -1680 0 -26 -26 0 0 0 0 0 -1654 1691 0 1136 0 555 300 0 0 0 125 0 0 104 26 0 -3371
"195504" -1979 0 -205 -205 0 0 0 0 0 -1774 1383 0 721 0 662 398 0 0 0 132 0 0 92 40 0 -3362
"195601" -1841 0 -16 -16 0 0 0 0 0 -1825 1178 0 563 0 615 300 0 0 0 140 0 0 135 40 0 -3019
"195602" -1970 0 -232 -232 0 0 0 0 0 -1738 586 0 0 0 586 300 0 0 0 150 0 0 99 37 0 -2556
"195603" -1660 0 68 68 0 0 0 0 0 -1728 2478 0 1878 0 600 300 0 0 0 158 0 0 120 22 0 -4138
"195604" -1901 0 -210 -210 0 0 0 0 0 -1691 1924 0 1292 0 632 340 0 0 0 166 0 0 108 18 0 -3825
"195701" -1513 0 151 151 0 0 0 0 0 -1664 1829 0 1118 0 711 400 0 0 0 172 0 0 121 18 0 -3342
"195702" -1702 0 4 4 0 0 0 0 0 -1706 718 0 0 0 718 400 0 0 0 177 0 0 126 15 0 -2420
"195703" -1540 0 114 114 0 0 0 0 0 -1654 2959 0 2242 0 717 400 0 0 0 182 0 0 119 16 0 -4499
"195704" -1933 0 -313 -313 0 0 0 0 0 -1620 2689 0 1820 0 869 542 0 0 0 186 0 0 123 18 0 -4622
"195801" -2168 0 -375 -375 0 0 0 0 0 -1793 2524 0 1758 0 766 410 0 0 0 191 0 0 153 12 0 -4692
"195802" -2128 0 -291 -291 0 0 0 0 0 -1837 697 0 0 0 697 310 0 0 0 194 0 0 183 10 0 -2825
"195803" -1717 0 67 67 0 0 0 0 0 -1784 2680 0 2093 0 587 210 0 0 0 198 0 0 172 7 0 -4397
"195804" -2081 0 -252 -252 0 0 0 0 0 -1829 1839 0 1417 0 422 101 0 0 0 204 0 0 117 0 0 -3920
"195901" -1807 0 88 88 0 0 0 0 0 -1895 634 0 204 0 430 70 0 0 0 211 0 0 149 0 0 -2441
"195902" -1381 0 534 534 0 0 0 0 0 -1915 439 0 0 0 439 70 0 0 0 218 0 0 151 0 0 -1820
"195903" -1601 0 255 255 0 0 0 0 0 -1856 1482 0 998 0 484 70 0 0 0 227 0 0 187 0 0 -3083
