"DATES" "FL893169175.Q" "FL893169105.Q" "FL103169100.Q" "FL263169105.Q" "FL263169110.Q" "FL263169123.Q" "FL793169100.Q" "FL763169105.Q" "FL673169105.Q" "FL613169100.Q" "FL643169103.Q" "FL503169105.Q" "FL763169605.Q" "FL893169175.Q" "FL163069103.Q" "FL103069100.Q" "FL213069103.Q" "FL263069103.Q" "FL713069603.Q" "FL763069175.Q" "FL443069105.Q" "FL473069103.Q" "FL513069103.Q" "FL543069100.Q" "FL573069105.Q" "FL223069103.Q" "FL633069175.Q" "FL653069100.Q" "FL403069105.Q" "FL663069103.Q" "FL503069105.Q"
"195201" 2109 1646 328 0 0 0 1318 0 0 1318 0 0 463 2109 978 138 0 281 0 559 0 0 0 0 0 0 0 77 0 0 76
"195202" 2227 1807 304 0 0 0 1503 0 0 1503 0 0 420 2227 893 432 0 268 0 503 0 0 0 0 0 0 0 66 0 0 65
"195203" 2436 1977 346 0 0 0 1631 0 0 1631 0 0 459 2436 1047 411 0 288 0 570 0 0 0 0 0 0 0 60 0 0 60
"195204" 2246 1749 331 0 0 0 1418 0 0 1418 0 0 497 2246 1040 195 0 309 0 569 0 0 0 0 0 0 0 67 0 0 66
"195301" 2440 1980 370 0 0 0 1610 0 0 1610 0 0 460 2440 1270 212 0 306 0 512 0 0 0 0 0 0 0 70 0 0 70
"195302" 2248 1816 297 0 0 0 1519 0 0 1519 0 0 432 2248 1213 194 0 305 0 415 0 0 0 0 0 0 0 61 0 0 60
"195303" 2576 2056 347 0 0 0 1709 0 0 1709 0 0 520 2576 1389 214 0 356 0 500 0 0 0 0 0 0 0 59 0 0 58
"195304" 2624 2045 402 0 0 0 1643 0 0 1643 0 0 579 2624 1296 204 0 401 0 567 0 0 0 0 0 0 0 78 0 0 78
"195401" 2979 2393 525 0 0 0 1868 0 0 1868 0 0 586 2979 1424 312 0 382 0 713 0 0 0 0 0 0 0 74 0 0 74
"195402" 2839 2244 484 0 0 0 1760 0 0 1760 0 0 595 2839 1300 338 0 369 0 695 0 0 0 0 0 0 0 69 0 0 68
"195403" 2915 2300 584 0 0 0 1716 0 0 1716 0 0 615 2915 1301 300 0 350 0 821 0 0 0 0 0 0 0 72 0 0 71
"195404" 2904 2022 531 0 0 0 1491 0 0 1491 0 0 882 2904 1072 291 0 584 0 802 0 0 0 0 0 0 0 78 0 0 77
"195501" 3112 2297 500 0 0 0 1797 0 0 1797 0 0 815 3112 1362 281 0 567 0 713 0 0 0 0 0 0 0 95 0 0 94
"195502" 3047 2385 380 0 0 0 2005 0 0 2005 0 0 662 3047 1457 352 0 457 16 582 0 0 0 0 0 0 0 92 0 0 91
"195503" 3020 2342 371 0 0 0 1971 0 0 1971 0 0 678 3020 1503 245 0 460 19 585 0 0 0 0 0 0 0 104 0 0 104
"195504" 2749 2101 362 0 0 0 1739 0 0 1739 0 0 648 2749 1354 217 0 439 24 532 0 0 0 0 0 0 0 92 0 0 91
"195601" 3326 2659 362 0 0 0 2297 0 0 2297 0 0 667 3326 1832 171 0 476 15 562 0 0 0 0 0 0 0 135 0 0 135
"195602" 3221 2530 289 0 0 0 2241 0 0 2241 0 0 691 3221 1682 325 0 486 18 513 0 0 0 0 0 0 0 99 0 0 98
"195603" 3401 2588 401 0 0 0 2187 0 0 2187 0 0 813 3401 1601 371 0 579 17 593 0 0 0 0 0 0 0 120 0 0 120
"195604" 3227 2250 378 0 0 0 1872 0 0 1872 0 0 977 3227 1420 305 0 671 34 581 0 0 0 0 0 0 0 108 0 0 108
"195701" 3793 2764 353 0 0 0 2411 0 0 2411 0 0 1029 3793 1836 355 0 787 23 551 0 0 0 0 0 0 0 121 0 0 120
"195702" 3515 2526 320 0 0 0 2206 0 0 2206 0 0 989 3515 1617 349 0 773 23 501 0 0 0 0 0 0 0 126 0 0 126
"195703" 3845 2636 364 0 0 0 2272 0 0 2272 0 0 1209 3845 1713 345 0 967 17 565 0 0 0 0 0 0 0 119 0 0 119
"195704" 4066 2746 422 0 0 0 2324 0 0 2324 0 0 1320 4066 1715 435 0 954 43 673 0 0 0 0 0 0 0 123 0 0 123
"195801" 5152 3608 716 0 0 0 2892 0 0 2892 0 0 1544 5152 1979 746 0 1067 29 1025 0 0 0 0 0 0 0 153 0 0 153
"195802" 4873 3507 791 0 0 0 2716 0 0 2716 0 0 1366 4873 2034 455 0 911 35 1072 0 0 0 0 0 0 0 183 0 0 183
"195803" 4573 3279 795 0 0 0 2484 0 0 2484 0 0 1294 4573 2064 224 0 868 18 1056 0 0 0 0 0 0 0 172 0 0 171
