"DATES" "FL893064105.Q" "FL103164103.Q" "FL263164103.Q" "FL793164105.Q" "FL893064105.Q" "FL153064105.Q" "FL213064103.Q" "FL313064105.Q" "FL263064105.Q" "FL713064103.Q" "FL763064105.Q" "FL443064175.Q" "FL513064105.Q" "FL543064105.Q" "FL573064105.Q" "FL223064105.Q" "FL343064105.Q" "FL653064100.Q" "FL553064103.Q" "FL563064103.Q" "FL663064003.Q" "FL503064105.Q" "FL893064195.Q"
"195201" 170033 151463 363 18207 170033 154368 0 0 3454 0 2 248 2941 2236 1445 44 0 3034 1814 0 447 0 164218
"195202" 177569 157607 789 19173 177569 161366 0 0 3539 0 2 276 3040 2301 1562 47 0 3120 1875 0 441 0 171146
"195203" 177773 156907 1128 19738 177773 161327 0 0 3434 0 2 289 2977 2245 1602 49 0 3261 1939 0 648 0 170790
"195204" 168555 146628 1459 20468 168555 150984 0 0 3705 0 2 336 3245 2446 1843 56 0 3326 2000 0 612 0 160901
"195301" 165387 143052 1492 20843 165387 147995 0 0 3569 0 2 350 3165 2396 1916 59 0 3255 2060 0 620 0 157698
"195302" 155600 133816 1399 20385 155600 138160 0 0 3476 0 2 371 3134 2395 2042 63 0 3197 2120 0 640 0 147934
"195303" 151067 129274 1290 20503 151067 133430 0 0 3430 0 3 392 3133 2413 2169 68 0 3170 2180 0 679 0 143390
"195304" 164584 144082 1329 19173 164584 145753 0 0 3650 0 3 431 3344 2573 2392 75 0 3521 2240 0 602 0 156635
"195401" 178055 156255 1439 20361 178055 157808 0 0 3996 0 3 471 3637 2773 2605 82 0 3843 2298 0 539 0 169668
"195402" 196162 172550 1554 22058 196162 174526 0 0 4353 0 4 489 3897 2920 2685 84 0 4218 2354 0 632 0 187232
"195403" 217910 191985 1708 24217 217910 194488 0 0 4804 0 5 517 4216 3093 2821 89 0 4749 2413 0 715 0 208336
"195404" 224300 194840 1868 27592 224300 198838 0 0 5254 0 5 571 4539 3268 3154 99 0 5361 2480 0 731 0 214106
"195501" 232079 202122 1934 28023 232079 205607 0 0 5407 0 5 629 4609 3261 3551 113 0 5753 2554 0 590 0 221758
"195502" 258468 225533 2168 30767 258468 228787 0 0 5981 0 6 781 5030 3499 4519 148 0 6366 2635 0 716 0 247132
"195503" 276004 240995 2333 32676 276004 244536 0 0 6349 0 6 918 5275 3606 5446 180 0 6358 2719 0 611 0 264142
"195504" 281765 244222 2439 35104 281765 248246 0 0 6575 0 6 1000 5408 3633 6085 200 0 6927 2800 0 885 0 269227
"195601" 302590 262345 2642 37603 302590 266699 0 0 7074 0 6 1086 5767 3800 6817 217 0 7504 2878 0 742 0 289469
"195602" 292672 252704 2591 37377 292672 257232 0 0 6899 0 6 1030 5577 3591 6739 201 0 7688 2954 0 755 0 279759
"195603" 286758 246833 2565 37360 286758 252081 0 0 6805 0 6 982 5470 3453 6712 189 0 7361 3033 0 666 0 274036
"195604" 307024 268373 2625 36026 307024 270997 0 0 6961 0 6 1000 5599 3503 7065 200 0 7887 3120 0 686 0 293988
"195701" 291995 254023 2486 35486 291995 256792 0 0 6621 0 7 971 5372 3378 7014 215 0 7891 3213 0 521 0 279425
"195702" 313429 273076 2645 37708 313429 275127 0 0 7112 0 7 1089 5879 3773 7948 277 0 8370 3311 0 536 0 299962
"195703" 284196 245392 2388 36416 284196 248019 0 0 6484 0 8 1036 5456 3570 7638 294 0 7716 3414 0 561 0 271333
"195704" 279633 245747 2233 31653 279633 244492 0 0 6091 0 9 1000 5159 3391 7489 300 0 7411 3520 0 771 0 266941
"195801" 297466 261319 2320 33827 297466 260601 0 0 6328 0 9 1056 5342 3479 8060 320 0 8012 3631 0 628 0 284480
"195802" 316492 278565 2514 35413 316492 276372 0 0 6840 0 9 1155 5703 3626 8981 340 0 8949 3749 0 768 0 302594
"195803" 351866 310541 2786 38539 351866 308041 0 0 7537 0 10 1279 6184 3831 10184 365 0 10142 3868 0 425 0 337314
"195804" 370936 324670 3095 43171 370936 322286 0 0 8305 0 10 1400 6721 4109 11561 400 0 11672 3984 0 488 0 355238
"195901" 380046 332012 3193 44841 380046 330005 0 0 8475 0 10 1402 6763 4133 12137 415 0 12455 4044 0 207 0 364427
"195902" 396439 346451 3451 46537 396439 343082 0 0 9039 0 11 1445 7092 4375 13278 453 0 13260 4146 0 258 0 380036
"195903" 390321 339875 3452 46994 390321 337473 0 0 8906 0 11 1371 6890 4309 13422 460 0 12861 4254 0 364 0 373979
"195904" 413667 362157 3689 47821 413667 357289 0 0 9363 0 11 1400 7204 4561 14525 500 0 13867 4381 0 566 0 396416
"196001" 389055 339310 3544 46201 389055 335314 0 0 8811 0 12 1290 6808 4368 14128 491 0 13284 4283 0 266 0 372852
"196002" 399948 347588 3753 48607 399948 343263 0 0 9081 0 13 1306 7119 4642 15118 532 0 13989 4586 0 299 0 382872
"196003" 371099 321285 3580 46234 371099 316779 0 0 8460 0 14 1199 6734 4456 14603 521 0 13425 4468 0 440 0 354664
