"DATES" "FL764035605.Q" "FL763069175.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763068005.Q" "FL723068005.Q" "FL753068005.Q" "FL733068003.Q" "FL743068005.Q" "FL713068005.Q" "FL773068005.Q" "FL893168005.Q" "FL293168005.Q" "FL153168005.Q" "FL103168005.Q" "FL113168003.Q" "FL133168000.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL693168005.Q" "FL443168005.Q" "FL613168000.Q" "FL643168003.Q" "FL663168005.Q" "FL713068505.Q"
"195201" 59222 559 14860 10210 2450 31143 30488 655 0 0 18 31161 31161 27738 377 21849 1480 3192 840 248 327 265 3423 70 3353 0 0 0
"195202" 61129 503 15177 10988 3278 31183 30495 688 0 0 20 31203 31203 27633 355 21416 1418 3598 846 288 287 271 3570 71 3499 0 0 0
"195203" 62166 570 15590 11516 2800 31690 31182 508 0 0 49 31739 31739 28031 256 21879 1542 3499 855 294 301 260 3708 78 3630 0 0 0
"195204" 65480 569 15867 12255 3363 33426 32779 647 0 0 34 33460 33460 29016 238 22909 1721 3293 855 279 279 297 4444 89 4355 0 0 0
"195301" 65778 512 16080 13061 2950 33175 32597 578 0 0 22 33197 33197 28961 249 23005 1724 3172 811 244 283 284 4236 68 4168 0 0 0
"195302" 66693 415 16387 13661 3093 33137 32579 558 0 0 13 33150 33150 28821 412 22633 1679 3392 705 212 225 268 4329 71 4258 0 0 0
"195303" 67751 500 16640 13930 3300 33381 32924 457 0 0 3 33384 33384 28957 217 22922 1733 3475 610 186 187 237 4427 74 4353 0 0 0
"195304" 67435 567 16850 14012 3863 32143 31544 599 0 0 17 32160 32160 27894 316 22357 1782 2712 727 223 266 238 4266 82 4184 0 0 0
"195401" 66275 713 16970 13622 3350 31620 31064 556 0 0 16 31636 31636 27689 353 22028 1698 2889 721 220 257 244 3947 70 3877 0 0 0
"195402" 67463 695 17382 13995 4118 31273 30734 539 0 0 16 31289 31289 27194 284 21372 1696 3141 701 205 269 227 4095 80 4015 0 0 0
"195403" 68631 821 17920 14048 4300 31542 31077 465 0 0 106 31648 31648 27595 382 21194 1745 3363 911 297 365 249 4053 84 3969 0 0 0
"195404" 70572 802 18574 14274 4854 32068 31439 629 0 0 134 32202 32202 28062 444 21694 1866 2862 1196 422 449 325 4140 95 4045 0 0 0
"195501" 71797 713 19125 14627 4550 32782 32242 540 0 0 94 32876 32876 28557 643 22051 1844 2875 1144 413 386 345 4319 74 4245 0 0 0
"195502" 76429 582 19940 15831 4971 35105 34572 533 0 0 54 35159 35159 30547 1186 22779 1968 3411 1203 426 390 387 4612 98 4514 0 0 0
"195503" 79653 585 20540 16514 4800 37214 36818 396 0 0 14 37228 37228 32228 1485 23722 2195 3562 1264 434 372 458 5000 141 4859 0 0 0
"195504" 83844 532 21004 17190 5537 39581 39084 497 0 0 2 39583 39583 34464 1652 25577 2388 3434 1413 427 458 528 5119 147 4972 0 0 0
"195601" 85130 562 21390 17466 5050 40662 40203 459 0 0 1 40663 40663 35578 1292 27025 2499 3353 1409 422 419 568 5085 98 4987 0 0 0
"195602" 88676 513 21990 18375 5033 42765 42297 468 0 0 1 42766 42766 37577 1276 28508 2643 3673 1477 439 451 587 5189 109 5080 0 0 0
"195603" 89995 593 22500 18645 4700 43557 43128 429 0 0 1 43558 43558 38177 734 29228 2815 3853 1547 436 467 644 5381 125 5256 0 0 0
