"DATES" "FL153166000.Q" "FL153166000.Q" "FL103066005.Q" "FL113066003.Q" "FL313066220.Q" "FL723066000.Q" "FL443066005.Q" "FL473066000.Q" "FL403066005.Q" "FL673066000.Q" "FL613066005.Q"
"195201" 24597 24597 5862 2098 0 10210 541 378 0 0 5508
"195202" 26878 26878 6454 2284 0 10988 616 419 0 0 6117
"195203" 27965 27965 6503 2349 0 11516 592 535 0 0 6470
"195204" 30522 30522 7329 2670 0 12255 652 559 0 0 7057
"195301" 30901 30901 6656 2449 0 13061 674 620 0 0 7441
"195302" 32672 32672 7048 2560 0 13661 739 691 0 0 7973
"195303" 33354 33354 6920 2552 0 13930 725 822 0 0 8405
"195304" 34614 34614 7556 2798 0 14012 747 877 0 0 8624
"195401" 32744 32744 6642 2489 0 13622 725 926 0 0 8340
"195402" 34006 34006 7144 2562 0 13995 852 919 0 0 8534
"195403" 34242 34242 7030 2512 0 14048 826 1033 0 0 8793
"195404" 35963 35963 7913 2799 0 14274 831 1083 0 0 9063
"195501" 35702 35702 7150 2501 0 14627 914 1036 0 0 9474
"195502" 38755 38755 7743 2619 0 15831 977 1122 0 0 10463
"195503" 40543 40543 7794 2613 0 16514 981 1256 0 0 11385
"195504" 42949 42949 8688 2905 0 17190 1000 1328 0 0 11838
"195601" 42251 42251 7792 2631 0 17466 982 1386 0 0 11994
"195602" 44281 44281 8308 2732 0 18375 1156 1384 0 0 12326
"195603" 44978 44978 8264 2772 0 18645 1129 1554 0 0 12614
"195604" 46580 46580 9010 3061 0 18861 1153 1651 0 0 12844
"195701" 45242 45242 7988 2748 0 18826 1263 1632 0 0 12785
"195702" 47223 47223 8525 2869 0 19629 1308 1776 0 0 13116
"195703" 47971 47971 8389 2843 0 20006 1313 1959 0 0 13461
"195704" 49217 49217 8997 3102 0 20232 1265 2102 0 0 13519
"195801" 46775 46775 7830 2702 0 19706 1364 2016 0 0 13157
"195802" 47704 47704 8231 2774 0 20191 1365 2156 0 0 12987
"195803" 47940 47940 8348 2808 0 20330 1475 2210 0 0 12769
