"DATES" "FL893167005.Q" "FL153167005.Q" "FL263167003.Q" "FL663167005.Q" "FL663167003.Q" "FL723067003.Q" "FL753067000.Q" "FL893167005.Q" "FL153067005.Q" "FL263067003.Q" "FL763067005.Q" "FL663067003.Q"
"195201" 4704 1387 35 3282 832 2300 150 4704 748 84 2450 1422
"195202" 5511 1419 35 4057 779 3078 200 5511 695 84 3278 1454
"195203" 5026 1430 35 3561 761 2500 300 5026 677 84 2800 1465
"195204" 5661 1466 36 4159 796 3163 200 5661 714 82 3363 1502
"195301" 5433 1629 36 3768 818 2700 250 5433 737 81 2950 1665
"195302" 5665 1818 36 3811 718 2793 300 5665 639 79 3093 1854
"195303" 5830 1753 36 4041 741 2900 400 5830 663 78 3300 1789
"195304" 6513 1830 36 4647 784 3563 300 6513 708 76 3863 1866
"195401" 6104 1846 42 4216 866 3000 350 6104 786 80 3350 1888
"195402" 7085 1994 51 5040 922 3718 400 7085 833 89 4118 2045
"195403" 7606 2230 60 5316 1016 3800 500 7606 919 97 4300 2290
"195404" 8647 2606 66 5975 1121 4454 400 8647 1020 101 4854 2672
"195501" 8645 2903 68 5674 1124 4100 450 8645 1023 101 4550 2971
"195502" 9013 2965 68 5980 1009 4471 500 9013 913 96 4971 3033
"195503" 9008 3065 68 5875 1075 4200 600 9008 985 90 4800 3133
"195504" 9628 3042 66 6520 983 5037 500 9628 899 84 5537 3108
"195601" 9205 3033 66 6106 1056 4500 550 9205 972 84 5050 3099
"195602" 9055 3037 65 5953 920 4433 600 9055 835 85 5033 3102
"195603" 8750 3033 64 5653 953 4000 700 8750 867 86 4700 3097
"195604" 8991 3082 60 5849 968 4281 600 8991 882 86 4881 3142
"195701" 8167 2955 60 5152 902 3600 650 8167 815 87 4250 3015
"195702" 8712 3150 60 5502 902 3900 700 8712 814 88 4600 3210
"195703" 8628 3046 60 5522 922 3800 800 8628 833 89 4600 3106
"195704" 8712 2745 60 5907 986 4221 700 8712 894 92 4921 2805
"195801" 9096 2991 63 6042 1049 4200 793 9096 951 98 4993 3054
"195802" 10856 3418 68 7370 1152 5400 818 10856 1045 107 6218 3486
"195803" 9430 3481 73 5876 1231 3700 945 9430 1116 115 4645 3554
"195804" 10447 3693 77 6677 1275 4661 741 10447 1156 119 5402 3770
"195901" 9888 3724 80 6084 1391 3900 793 9888 1272 119 4693 3804
"195902" 10053 3818 83 6152 1234 4100 818 10053 1118 116 4918 3901
"195903" 9935 3662 85 6188 1143 4100 945 9935 1031 112 5045 3747
"195904" 10510 3686 87 6737 1096 4868 773 10510 989 107 5641 3773
"196001" 8980 3373 87 5520 1087 3500 933 8980 980 107 4433 3460
"196002" 9383 3422 85 5876 1118 3800 958 9383 1011 107 4758 3507
"196003" 10230 3501 84 6645 1165 4400 1080 10230 1056 109 5480 3585
"196004" 10864 3565 84 7215 1249 5117 849 10864 1137 112 5966 3649
"196101" 10419 3931 91 6397 1658 4000 739 10419 1538 120 4739 4022
"196102" 11795 4378 104 7313 1408 4927 978 11795 1275 133 5905 4482
"196103" 11775 4325 116 7334 1350 5100 884 11775 1205 145 5984 4441
"196104" 13113 4602 121 8390 1341 6190 859 13113 1192 149 7049 4723
"196201" 11923 4261 118 7544 1269 5400 875 11923 1123 146 6275 4379
"196202" 11381 3895 106 7380 1511 5259 610 11381 1376 135 5869 4001
"196203" 12055 4211 94 7750 1200 5800 750 12055 1077 123 6550 4305
"196204" 13761 4479 85 9197 1338 7150 709 13761 1226 112 7859 4564
"196301" 12709 4558 87 8064 1293 6000 771 12709 1184 109 6771 4645
"196302" 14474 5327 96 9051 1264 6878 909 14474 1155 109 7787 5423
"196303" 15745 5788 105 9852 1298 7400 1154 15745 1188 110 8554 5893
"196304" 16414 5987 108 10319 1331 7900 1088 16414 1222 109 8988 6095
"196401" 15373 5819 107 9447 1354 7100 993 15373 1245 109 8093 5926
"196402" 16486 5826 101 10559 1261 8230 1068 16486 1152 109 9298 5927
"196403" 16184 5669 95 10420 1260 8100 1060 16184 1149 111 9160 5764
"196404" 16830 5519 91 11220 1785 8384 1051 16830 1669 116 9435 5610
"196501" 15917 5477 95 10345 1747 7800 798 15917 1623 124 8598 5572
"196502" 17477 5488 104 11885 2041 8978 866 17477 1902 139 9844 5592
"196503" 15393 5307 113 9973 2284 6700 989 15393 2135 149 7689 5420
"196504" 17954 5867 119 11968 2691 8489 788 17954 2533 158 9277 5986
"196601" 16818 6018 119 10681 2958 7000 723 16818 2790 168 7723 6137
"196602" 18441 6149 154 12138 2789 8633 716 18441 2610 179 9349 6303
"196603" 16270 5751 154 10365 2665 7000 700 16270 2488 177 7700 5905
"196604" 18729 5822 128 12779 2905 9024 850 18729 2730 175 9874 5950
"196701" 19143 6183 296 12664 3659 8300 705 19143 3459 200 9005 6479
"196702" 20037 6719 264 13054 4056 8248 750 20037 3811 245 8998 6983
"196703" 22547 7557 365 14625 4544 9300 781 22547 4274 270 10081 7922
"196704" 25752 8866 298 16588 5254 10484 850 25752 4943 311 11334 9164
"196801" 23678 8324 269 15085 5535 8700 850 23678 5184 351 9550 8593
"196802" 27246 10142 372 16732 6655 9227 850 27246 6201 454 10077 10514
"196803" 29874 10361 398 19115 6865 11400 850 29874 6397 468 12250 10759
"196804" 32334 11497 508 20329 7675 11804 850 32334 7039 636 12654 12005
"196901" 27054 9878 393 16783 7133 8800 850 27054 6580 553 9650 10271
"196902" 27562 9445 396 17721 6586 10285 850 27562 6020 566 11135 9841
"196903" 22920 7919 297 14704 5654 8200 850 22920 5187 467 9050 8216
"196904" 25676 8198 278 17200 5655 10695 850 25676 5221 434 11545 8476
"197001" 22046 7078 220 14748 5098 8800 850 22046 4730 368 9650 7298
"197002" 19753 6350 182 13221 4494 7877 850 19753 4160 334 8727 6532
"197003" 21608 6592 203 14813 4663 9300 850 21608 4372 291 10150 6795
"197004" 24877 6909 279 17689 4703 12136 850 24877 4354 349 12986 7188
"197101" 23491 6988 314 16189 5339 10000 850 23491 4828 511 10850 7302
"197102" 23828 7859 300 15669 5123 9696 850 23828 4704 419 10546 8159
"197103" 24572 8465 320 15787 4937 10000 850 24572 4604 333 10850 8785
"197104" 28722 9450 314 18958 5197 12911 850 28722 4886 311 13761 9764
"197201" 30040 11267 379 18394 5544 12000 850 30040 5172 372 12850 11646
"197202" 32683 12661 339 19683 5235 13598 850 32683 4925 310 14448 13000
"197203" 33988 13058 336 20594 5044 14700 850 33988 4733 311 15550 13394
"197204" 37444 13080 405 23959 5388 17409 1162 37444 5022 366 18571 13485
"197301" 31769 12037 364 19368 5158 13500 710 31769 4848 310 14210 12401
"197302" 29545 10602 243 18700 4836 13330 534 29545 4520 316 13864 10845
"197303" 27530 9926 255 17349 4993 12099 257 27530 4703 290 12356 10181
"197304" 29499 8918 231 20350 5199 14559 592 29499 4866 333 15151 9149
"197401" 25231 8277 225 16729 4992 11500 237 25231 4609 383 11737 8502
"197402" 25053 7792 241 17020 4647 12132 241 25053 4293 354 12373 8033
"197403" 24406 7554 178 16674 4325 12099 250 24406 4027 298 12349 7732
"197404" 25870 7390 193 18287 4184 13585 518 25870 3891 293 14103 7583
"197501" 23687 7372 209 16106 4203 11599 304 23687 3854 349 11903 7581
"197502" 24646 7476 233 16937 4353 12322 262 24646 3973 380 12584 7709
"197503" 22925 7772 258 14895 4580 10000 315 22925 4237 343 10315 8030
"197504" 28466 8286 319 19861 4832 14599 430 28466 4468 364 15029 8605
"197601" 29112 9626 333 19153 5311 13399 443 29112 4900 411 13842 9959
"197602" 31278 11223 0 20055 5438 14000 617 31278 5438 0 14617 11223
"197603" 31990 11645 0 20345 5557 14199 589 31990 5557 0 14788 11645
"197604" 39896 12510 0 27386 5730 20787 869 39896 5730 0 21656 12510
"197701" 37776 12936 0 24840 5907 18099 834 37776 5907 0 18933 12936
"197702" 39516 14024 0 25492 6177 18621 694 39516 6177 0 19315 14024
"197703" 41050 13981 0 27069 5190 20891 988 41050 5190 0 21879 13981
"197704" 44158 14527 0 29631 5739 22564 1328 44158 5739 0 23892 14527
"197801" 44018 16401 0 27617 7567 18620 1430 44018 7567 0 20050 16401
"197802" 49788 18950 0 30838 8938 20642 1258 49788 8938 0 21900 18950
"197803" 52282 20731 0 31551 10349 19590 1612 52282 10349 0 21202 20731
"197804" 46691 17145 0 29546 8521 19583 1442 46691 8521 0 21025 17145
"197901" 44025 16326 0 27699 7887 18412 1400 44025 7887 0 19812 16326
"197902" 52252 18958 0 33294 10725 20889 1680 52252 10725 0 22569 18958
"197903" 53342 20249 0 33093 11463 20222 1408 53342 11463 0 21630 20249
"197904" 47966 17458 0 30508 10354 18754 1400 47966 10354 0 20154 17458
