"DATES" "FL893178005.Q" "FL103178000.Q" "FL113178003.Q" "FL723178003.Q" "FL443178005.Q" "FL513178003.Q" "FL543178003.Q" "FL613178003.Q" "FL663178003.Q" "FL893078005.Q" "FL213078005.Q" "FL313078005.Q" "FL903078005.Q"
"195201" 20151 18812 0 713 8 192 165 247 14 10111 779 9332 10040
"195202" 17866 16610 0 684 7 176 148 225 16 9964 632 9332 7902
"195203" 18659 17238 0 791 12 189 159 253 17 10076 744 9332 8583
"195204" 18815 17381 0 793 8 218 149 246 20 10203 871 9332 8612
"195301" 17283 16007 0 713 7 189 139 214 14 8113 750 7363 9170
"195302" 16363 15201 0 628 6 195 125 198 10 8003 640 7363 8360
"195303" 18802 17399 0 736 8 248 160 240 11 8132 769 7363 10670
"195304" 19889 17986 0 967 10 355 231 319 21 8217 854 7363 11672
"195401" 16006 14340 0 847 4 323 185 294 13 5193 711 4482 10813
"195402" 12623 11324 0 690 3 239 140 205 22 5061 579 4482 7562
"195403" 14743 13163 0 877 7 266 168 233 29 5171 689 4482 9572
"195404" 16401 14767 0 941 7 246 183 235 22 5300 818 4482 11101
"195501" 14300 12936 0 735 3 220 189 198 19 6642 731 5911 7658
"195502" 13060 12026 0 530 3 159 156 171 15 6578 667 5911 6482
"195503" 16468 15248 0 575 7 182 198 238 20 6744 833 5911 9724
"195504" 19690 18430 0 565 8 165 222 274 26 6924 1013 5911 12766
"195601" 16302 15133 0 528 3 167 204 250 17 6273 885 5388 10029
"195602" 13110 12175 0 463 5 108 154 192 13 6157 769 5388 6953
"195603" 15539 14259 0 704 7 60 244 248 17 6306 918 5388 9233
"195604" 18206 16754 0 871 7 18 262 276 18 6477 1089 5388 11729
"195701" 15570 14218 0 796 3 25 261 248 19 5600 933 4667 9970
"195702" 13118 11957 0 688 3 58 185 211 16 5445 778 4667 7673
"195703" 14921 13511 0 823 6 82 224 256 19 5594 927 4667 9327
"195704" 16256 14621 0 952 7 101 264 286 25 5731 1064 4667 10525
"195801" 13257 11495 0 1013 7 15 387 318 22 4348 872 3476 8909
"195802" 10433 8991 0 819 5 73 300 221 24 4170 694 3476 6263
"195803" 11910 10322 0 894 5 105 335 219 30 4327 851 3476 7583
"195804" 13724 12026 0 929 5 166 348 217 33 4525 1049 3476 9199
"195901" 13226 11682 0 810 3 104 380 209 38 6696 1047 5649 6530
"195902" 13825 12591 0 566 5 98 339 191 35 6687 1038 5649 7138
"195903" 14645 13275 0 522 6 127 418 251 46 6679 1030 5649 7966
"195904" 15537 14150 0 469 6 145 434 283 50 6675 1026 5649 8862
"196001" 14203 12817 0 592 3 118 376 261 36 6034 1034 5000 8169
"196002" 13391 11903 0 769 3 111 337 235 33 6051 1051 5000 7340
"196003" 13743 11795 0 1131 6 124 383 265 39 6068 1068 5000 7675
