"DATES" "FL384104005.Q" "FL384104005.Q" "FL103169100.Q" "FL313161505.Q" "FL313161705.Q" "FL253162005.Q" "FL103163003.Q" "FL193168005.Q" "FL383169005.Q" "FL383165005.Q" "FL193165105.Q" "FL383165405.Q" "FL193165505.Q" "FL893065603.Q" "FL153166000.Q" "FL384104005.Q" "FL154104005.Q" "FL144104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263169005.Q" "FL394104005.Q"
"195201" 428170 428170 328 214441 208 25016 40873 26898 11360 84449 53102 10820 13713 6814 24597 428170 82425 105309 79610 14511 11189 25787 214649 14879 0 3438 840 10601 443049
"195202" 436397 436397 304 214041 53 27480 42343 26787 11694 86817 54832 11037 13927 7021 26878 436397 86525 107455 80594 14953 11907 28324 214094 15044 0 3487 846 10711 451441
"195203" 446201 446201 346 216889 401 28695 43470 27176 12018 89241 56671 11275 14161 7134 27965 446201 89475 109761 82339 15552 11870 29675 217290 15119 0 3404 855 10860 461320
"195204" 458681 458681 331 220792 626 29657 44497 28161 12548 91547 58433 11481 14397 7236 30522 458681 93875 112593 84907 16077 11609 30795 221418 15140 0 3426 855 10859 473821
"195301" 460719 460719 370 217712 728 31221 45257 28150 12714 93666 60023 11587 14660 7396 30901 460719 95976 114169 86305 16076 11788 32134 218440 15309 0 3477 811 11021 476028
"195302" 467472 467472 297 217839 283 32379 46270 28116 13081 96535 62243 11766 14939 7587 32672 467472 100229 115903 87172 16478 12253 33218 218122 15483 0 3352 705 11426 482955
"195303" 479573 479573 347 224281 425 33795 46800 28347 13189 99035 64222 11934 15212 7667 33354 479573 102867 117363 88098 16893 12372 34637 224706 15892 0 3307 610 11975 495465
"195304" 487975 487975 402 226185 2253 35012 48012 27167 12958 101372 65950 12121 15564 7737 34614 487975 106083 117668 89057 17102 11509 35786 228438 16268 0 3314 727 12227 504243
"195401" 486569 486569 525 221621 2911 36516 48789 26968 13162 103333 67363 12174 15880 7916 32744 486569 105807 119045 89969 17066 12010 37186 224532 16400 0 3485 721 12194 502969
"195402" 491921 491921 484 221460 2002 37866 49724 26493 12955 106931 70179 12312 16324 8116 34006 491921 109988 120128 89931 17649 12548 38343 223462 16265 0 3422 701 12142 508186
"195403" 499792 499792 584 224748 537 39376 50999 26684 12920 109702 72281 12452 16782 8187 34242 499792 112571 122107 90922 18329 12856 39829 225285 16268 0 3324 911 12033 516060
