,LevFac,LogLev,Mkt-RF,SMB,HML,RF
196107,-1.2464924194330864,5.768172175196727,0.028300000000000002,-0.0194,-0.0008,0.0018
196110,1.3822678103064554,7.150439985503183,0.0258,-0.0161,0.0018,0.0019
196201,-0.09714240123038742,7.053297584272795,-0.0387,0.0174,0.051100000000000007,0.0024
196204,0.6652397518025017,7.718537336075297,-0.0659,-0.0085,0.0014000000000000002,0.0022
196207,inf,inf,0.06269999999999999,0.0152,-0.0337,0.0027
196210,-inf,5.35079121380874,-0.0005,-0.0395,0.013000000000000001,0.0026
196301,-0.1757444732121698,5.17504674059657,0.049400000000000006,0.0301,0.022400000000000003,0.0025
196304,-0.0542461657050648,5.120800574891505,0.0451,-0.0126,0.01,0.0025
196307,-0.14124436376119132,4.979556211130314,-0.0039000000000000003,-0.005699999999999999,-0.008100000000000001,0.0027
196310,0.06627170292574203,5.045827914056056,0.0254,-0.005699999999999999,-0.0004,0.0029
196401,-0.3282947598809205,4.717533154175135,0.022400000000000003,-0.0024,0.0163,0.003
196404,-0.022092202896892843,4.6954409512782425,0.001,-0.013500000000000002,-0.0054,0.0029
196407,-0.13751524963834694,4.5579257016398955,0.0174,0.0019,0.0079,0.003
196410,0.12765905862732563,4.685584760267221,0.006,0.0048,0.0108,0.0029
196501,-0.2383933265521172,4.447191433715104,0.0354,0.025699999999999997,0.0036,0.0028000000000000004
196504,-0.10081102593621427,4.34638040777889,0.0311,0.011399999999999999,0.0073,0.0031
196507,-0.4389292408045886,3.907451166974301,0.0144,0.0086,0.0219,0.0031
196510,0.028926311292666984,3.936377478266968,0.026000000000000002,0.0252,0.0155,0.0031
196601,-0.27314461727919515,3.663232860987773,0.0072,0.04019999999999999,0.0327,0.0038
196604,0.07510320183875585,3.7383360628265287,0.0213,0.0344,-0.0036,0.0034000000000000002
196607,-0.22466069773768327,3.5136753650888455,-0.0163,-0.0034999999999999996,0.0091,0.0034999999999999996
196610,0.021585182674868086,3.5352605477637136,0.038599999999999995,-0.066,0.0274,0.0045000000000000005
196701,-0.061720668315317084,3.4735398794483965,0.0815,0.081,0.0236,0.0043
196704,-0.14307057706585624,3.3304693023825402,0.038900000000000004,0.004699999999999999,-0.0229,0.0032
196707,-0.044146817979350494,3.2863224844031897,0.0458,0.0317,0.0275,0.0032
196710,0.008767935666843307,3.295090420070033,-0.0308,0.0147,-0.0329,0.0039000000000000003
196801,-0.1773757456432703,3.1177146744267628,-0.0403,0.039900000000000005,0.048499999999999995,0.004
196804,-0.006215594890145226,3.1114990795366175,0.0902,0.056600000000000004,-0.011000000000000001,0.0043
196807,0.06638489943087711,3.1778839789674946,-0.0269,-0.0128,0.053099999999999994,0.0048
196810,-0.06461171265538779,3.113272266312107,0.0043,-0.005,0.0282,0.0044
196901,-0.2988346797031518,2.814437586608955,-0.0125,-0.0063,0.0166,0.0053
196904,0.06059212516033918,2.8750297117692942,0.0146,-0.008100000000000001,0.0002,0.0053
196907,-0.16775500508361452,2.7072747066856797,-0.07,-0.032400000000000005,0.0118,0.0053
196910,0.19091875710216843,2.898193463787848,0.0506,0.0392,-0.031200000000000002,0.006
197001,-0.08699894143150289,2.8111945223563453,-0.081,0.0291,0.0317,0.006
197004,-0.05373647210569299,2.7574580502506523,-0.1099,-0.061399999999999996,0.061399999999999996,0.005
197007,0.155885737818922,2.9133437880695743,0.0692,-0.0055000000000000005,0.009300000000000001,0.0052
197010,0.17967032335198807,3.0930141114215624,-0.0227,-0.0417,0.0021,0.0046
197101,-0.1250862898295133,2.967927821592049,0.0483,0.0728,0.0155,0.0038
197104,-0.10941813822338453,2.8585096833686645,0.0315,-0.0049,0.0086,0.0028000000000000004
197107,-0.06168369996038381,2.7968259834082807,-0.0449,-0.0151,-0.0002,0.004
197110,0.16595161857107543,2.962777601979356,-0.044199999999999996,-0.0175,-0.0051,0.0037
197201,-0.1764019768547107,2.7863756251246454,0.024700000000000003,0.0584,0.0212,0.0029
197204,-0.04403135679846937,2.742344268326176,0.0029,0.0016,0.0003,0.0029
197207,-0.0044847139020087745,2.7378595544241673,-0.008,-0.028999999999999998,0.006,0.0031
197210,0.21582191809652818,2.9536814725206955,0.0052,-0.0273,0.012199999999999999,0.004
197301,-0.4246679506132929,2.5290135219074026,-0.0327,-0.0349,0.027000000000000003,0.0044
197304,-0.2050813823555515,2.323932139551851,-0.056799999999999996,-0.0384,0.053899999999999997,0.0052
197307,-0.1871442317713874,2.1367879077804637,0.0504,0.07919999999999999,-0.0526,0.0064
197310,0.07288197980119682,2.2096698875816605,-0.0083,-0.0021,0.0166,0.006500000000000001
