"DATES" "FL154090005.Q" "FL154000025.Q" "FL153091003.Q" "FL153020005.Q" "FL153030005.Q" "FL153034005.Q" "FL154004005.Q" "FL163069103.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL153061705.Q" "FL153062005.Q" "FL153063005.Q" "FL153069803.Q" "FL153065005.Q" "FL153064105.Q" "FL153064205.Q" "FL153067005.Q" "FL153040005.Q" "FL153050005.Q" "FL152090205.Q" "FL153090005.Q" "FL154190005.Q" "FL154104005.Q" "FL153165105.Q" "FL153166000.Q" "FL163162005.Q" "FL153168005.Q" "FL153169005.Q" "FL163165505.Q" "FL153167005.Q" "FL163170003.Q" "FL543077003.Q"
"195201" 812888 133749 0 60540 73209 0 99584 978 66245 49081 17164 123 7499 6134 0 18605 154368 3612 748 58445 29583 323343 9456 85975 82425 53102 24597 0 377 2807 1541 1387 1058 1105
"195202" 825291 134094 0 58632 75462 0 101852 893 65904 49010 16894 0 9835 6355 0 18865 161366 3696 695 59153 30860 323942 9633 90151 86525 54832 26878 0 355 2846 1614 1419 1084 1123
"195203" 835114 138664 0 61680 76984 0 103904 1047 67045 49026 18019 0 10606 6130 0 19076 161327 3837 677 59892 32292 324710 9811 93157 89475 56671 27965 0 256 2882 1701 1430 1110 1142
"195204" 830146 142709 0 63397 79312 0 104619 1040 67389 49173 18216 0 10957 5997 0 19236 150984 3932 714 60665 33476 322399 10648 97636 93875 58433 30522 0 238 2902 1781 1466 1133 1162
"195301" 831224 145498 0 64272 81226 0 105569 1270 66956 49521 17435 53 11875 5846 0 19569 147995 3867 737 61439 34586 320704 10829 99943 95976 60023 30901 0 249 2953 1850 1629 1154 1184
"195302" 825338 144820 0 61005 83815 0 109353 1213 69312 49258 20054 136 12743 6113 0 19836 138160 3778 639 62199 36124 319269 10996 104427 100229 62243 32672 0 412 3010 1892 1818 1173 1207
"195303" 828651 149175 0 63777 85398 0 109987 1389 69128 49263 19865 210 13542 5748 0 19970 133430 3753 663 62937 37389 320171 11146 107043 102867 64222 33354 0 217 3061 2014 1753 1192 1231
"195304" 847819 152045 0 64569 87476 0 109581 1296 68038 49371 18667 155 13873 5987 0 20232 145753 4146 708 63647 38505 322141 11293 110379 106083 65950 34614 0 316 3130 2073 1830 1212 1254
"195401" 863896 152473 0 63014 89459 0 110305 1424 68196 49421 18775 141 14386 5719 0 20439 157808 4512 786 64339 39764 322501 11408 110161 105807 67363 32744 0 353 3198 2149 1846 1233 1275
"195402" 885057 154315 0 61940 92375 0 110058 1300 67555 49545 18010 141 14678 5622 0 20762 174526 4895 833 65018 41204 322721 11487 114531 109988 70179 34006 0 284 3266 2253 1994 1255 1294
"195403" 914129 160217 0 66260 93957 0 109426 1301 66201 49703 16498 153 15246 5473 0 21052 194488 5469 919 65687 42347 324003 11573 117393 112571 72281 34242 0 382 3325 2341 2230 1277 1315
"195404" 926119 162933 0 66317 96616 0 109490 1072 66087 49966 16121 148 15964 4852 0 21367 198838 6110 1020 66349 43858 325853 11668 122646 117401 75300 35963 0 444 3375 2319 2606 1298 1341
