"DATES" "FL104090005.Q" "FL103091003.Q" "FL103020003.Q" "FL103030003.Q" "FL103034003.Q" "FL102050003.Q" "FL104004005.Q" "FL103069100.Q" "FL103061103.Q" "FL103061703.Q" "FL103062003.Q" "FL103065003.Q" "FL103066005.Q" "FL103064203.Q" "FL103070005.Q" "FL103090005.Q" "FL103092005.Q" "FL103076003.Q" "FL103092403.Q" "FL103094105.Q" "FL103093005.Q" "FL104190005.Q" "FL104104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL103168005.Q" "FL103169005.Q" "FL103165005.Q" "FL103170005.Q" "FL103178000.Q" "FL103190005.Q" "FL103192005.Q" "FL573074005.Q" "FL103193005.Q" "FL103075005.Q" "FL103164103.Q" "FL104120005.Q" "FL104140005.Q" "FL104150005.Q" "FL104001005.Q"
"195201" 108243 84 24511 900 0 0 24714 138 17862 0 825 27 5862 0 43161 14873 12945 1578 0 0 350 133945 79610 328 0 40873 21849 3241 13320 30361 18812 5162 2636 139 2387 12800 151463 54193 25417 74590 44320
"195202" 108205 102 25850 900 0 0 24037 432 16635 0 488 28 6454 0 41944 15372 13532 1607 0 0 233 130976 80594 304 0 42343 21416 3342 13190 28227 16610 5545 2705 145 2695 13717 157607 55533 25062 69899 44407
"195203" 113493 98 26398 900 0 0 24539 411 17018 0 578 29 6503 0 45745 15813 13834 1636 0 0 343 136151 82339 346 0 43470 21879 3479 13165 30753 17238 5821 2751 151 2920 14992 156907 56635 25704 73695 45403
"195204" 115497 75 26641 900 0 0 26014 195 17647 0 813 30 7329 0 45588 16279 14261 1666 0 0 352 141231 84907 331 0 44497 22909 3804 13365 33077 17381 5866 2806 160 2900 12511 146628 57862 27045 77503 46271
"195301" 113867 102 23589 900 0 0 25928 212 18164 0 865 31 6656 0 46552 16796 14639 1696 0 0 461 139123 86305 370 0 45257 23005 4019 13654 31088 16007 5723 2891 167 2666 15464 143052 58911 27394 74489 43832
"195302" 114490 74 25710 900 0 0 24661 194 16454 0 933 32 7048 0 45823 17322 15066 1728 0 0 528 139793 87172 297 0 46270 22633 4352 13620 31407 15201 6013 2915 175 2923 14416 133816 59890 27282 73890 44265
"195303" 118486 85 25865 900 0 0 26419 214 18232 0 1021 32 6920 0 47306 17911 15436 1759 0 0 716 144012 88098 347 0 46800 22922 4402 13626 32222 17399 6293 2995 182 3116 15084 129274 60426 27672 77293 46317
"195304" 118534 114 26550 900 0 0 28037 204 19240 0 1005 32 7556 0 44774 18159 15735 1786 0 0 638 146098 89057 402 0 48012 22357 4256 14030 32800 17986 6255 3066 191 2998 11974 144082 62042 27015 77801 48013
"195401" 114258 115 23706 950 0 0 25836 312 17887 0 963 32 6642 0 45058 18593 16036 1808 0 0 749 140553 89969 525 0 48789 22028 4312 14315 30154 14340 6090 3134 199 2757 14904 156255 63104 26865 71359 43933
"195402" 113726 128 25354 1000 0 0 23310 338 14874 0 922 32 7144 0 44959 18975 16450 1823 0 0 702 138011 89931 484 0 49724 21372 4184 14167 30197 11324 6559 3225 205 3129 14762 172550 63891 26040 67561 42616
"195403" 119270 150 26760 1050 0 0 24725 300 16366 0 997 32 7030 0 47320 19265 16664 1840 0 0 761 142579 90922 584 0 50999 21194 4064 14081 31519 13163 6975 3312 213 3450 15801 191985 65080 25842 70524 45623
"195404" 124032 158 28329 1100 0 0 26732 291 17523 0 972 33 7913 0 48147 19566 17036 1866 0 0 664 149274 92648 531 0 51547 21694 4340 14536 34832 14767 7027 3300 224 3503 13315 194840 66083 26565 76164 48373
"195501" 124749 147 26814 1075 0 0 26225 281 17543 150 1065 36 7150 0 50454 20034 17337 1898 0 0 799 147524 93510 500 0 52055 22051 4075 14829 34093 12936 6985 3395 237 3354 16361 202122 66884 26626 73655 47075
