"DATES" "FL134090003.Q" "FL133020003.Q" "FL133090005.Q" "FL133076005.Q" "FL133092403.Q" "FL134190005.Q" "FL134104005.Q" "FL133168000.Q" "FL133169005.Q" "FL893065603.Q" "FL133170005.Q"
"195201" 8401 7254 1147 1024 123 14241 11189 3192 1183 6814 3052
"195202" 8390 7220 1170 1046 124 15348 11907 3598 1288 7021 3441
"195203" 8367 7174 1193 1068 125 15216 11870 3499 1237 7134 3346
"195204" 8349 7135 1214 1088 126 14758 11609 3293 1080 7236 3149
"195301" 8336 7102 1234 1107 127 15045 11788 3172 1220 7396 3257
"195302" 8319 7065 1254 1125 129 15736 12253 3392 1274 7587 3483
"195303" 8302 7029 1273 1142 131 15941 12372 3475 1230 7667 3569
"195304" 8285 6994 1291 1159 132 14294 11509 2712 1060 7737 2785
"195401" 8275 6966 1309 1176 133 14959 12010 2889 1205 7916 2949
"195402" 8266 6939 1327 1192 135 15754 12548 3141 1291 8116 3206
"195403" 8260 6916 1344 1208 136 16288 12856 3363 1306 8187 3432
"195404" 8260 6896 1364 1227 137 15202 12281 2862 1173 8246 2921
"195501" 8281 6892 1389 1249 140 15382 12723 2875 1376 8472 2659
"195502" 8319 6901 1418 1275 143 16789 13634 3411 1516 8707 3155
"195503" 8354 6908 1446 1301 145 17203 13909 3562 1481 8866 3294
"195504" 8367 6895 1472 1324 148 16899 13723 3434 1267 9022 3176
"195601" 8361 6866 1495 1343 152 17164 14009 3353 1365 9291 3155
"195602" 8334 6820 1514 1359 155 18243 14787 3673 1525 9589 3456
"195603" 8302 6770 1532 1374 158 18710 15084 3853 1472 9759 3626
"195604" 8275 6724 1551 1390 161 17757 14581 3375 1371 9835 3176
"195701" 8251 6682 1569 1405 164 18086 14949 3392 1524 10033 3137
"195702" 8216 6629 1587 1419 168 18886 15516 3644 1641 10231 3370
"195703" 8194 6591 1603 1433 170 19023 15633 3666 1619 10348 3390
"195704" 8208 6590 1618 1446 172 19114 15638 3759 1482 10397 3476
"195801" 8282 6648 1634 1460 174 19435 15926 3724 1678 10524 3509
"195802" 8427 6778 1649 1473 176 20718 16784 4175 1855 10754 3934
"195803" 8557 6891 1666 1487 179 20974 17011 4206 1848 10957 3963
"195804" 8582 6898 1684 1502 182 20933 17002 4172 1721 11109 3931
"195901" 8511 6804 1707 1521 186 21525 17632 4283 1992 11357 3893
"195902" 8344 6610 1734 1543 191 23050 18713 4771 2198 11744 4337
"195903" 8152 6393 1759 1565 194 23611 19104 4958 2198 11948 4507
"195904" 8010 6228 1782 1584 198 23357 18934 4866 1967 12101 4423
"196001" 7902 6101 1801 1599 202 23742 19329 4919 2139 12271 4413
"196002" 7801 5986 1815 1610 205 24821 20117 5244 2314 12559 4704
"196003" 7722 5893 1829 1621 208 24886 20214 5208 2309 12697 4672
"196004" 7674 5828 1846 1635 211 24506 19965 5062 2065 12838 4541
"196101" 7670 5803 1867 1652 215 25046 20527 5116 2348 13063 4519
"196102" 7710 5818 1892 1672 220 26082 21317 5394 2486 13437 4765
"196103" 7760 5846 1914 1691 223 26580 21754 5464 2553 13737 4826
"196104" 7789 5858 1931 1704 227 26244 21558 5305 2336 13917 4686
"196201" 7807 5865 1942 1711 231 26917 22288 5451 2615 14222 4629
"196202" 7820 5875 1945 1710 235 28423 23414 5898 2842 14674 5009
"196203" 7829 5880 1949 1711 238 28821 23728 5997 2787 14944 5093
"196204" 7835 5870 1965 1724 241 29025 23856 6087 2576 15193 5169
"196301" 7841 5844 1997 1752 245 29886 24684 6186 2937 15561 5202
"196302" 7840 5796 2044 1795 249 31629 26023 6666 3206 16151 5606
"196303" 7843 5751 2092 1839 253 32189 26518 6744 3201 16573 5671
"196304" 7855 5730 2125 1869 256 32030 26406 6688 2896 16822 5624
"196401" 7910 5739 2171 1910 261 33208 27417 6919 3164 17334 5791
"196402" 7993 5772 2221 1954 267 35038 28909 7323 3518 18068 6129
"196403" 8084 5813 2271 1998 273 35436 29318 7310 3472 18536 6118
"196404" 8163 5846 2317 2038 279 34833 29009 6959 3108 18942 5824
"196501" 8239 5877 2362 2075 287 36203 30138 7273 3391 19474 6065
"196502" 8328 5912 2416 2109 307 38007 31601 7681 3736 20184 6406
"196503" 8398 5943 2455 2142 313 38566 32129 7719 3713 20697 6437
"196504" 8461 5964 2497 2178 319 38705 32311 7667 3457 21187 6394
"196601" 8517 5971 2546 2216 330 39908 33620 7997 3926 21697 6288
"196602" 8569 5963 2606 2255 351 41661 34978 8500 4157 22321 6683
"196603" 8610 5956 2654 2296 358 42326 35564 8600 4189 22775 6762
"196604" 8668 5964 2704 2339 365 42266 35504 8600 3852 23052 6762
"196701" 8752 5989 2763 2388 375 42929 36637 8900 4297 23440 6292
"196702" 8864 6026 2838 2442 396 44641 38066 9300 4773 23993 6575
"196703" 8972 6069 2903 2498 405 45085 38510 9300 4664 24546 6575
"196704" 9077 6110 2967 2553 414 45390 38815 9300 4498 25017 6575
"196801" 9193 6153 3040 2616 424 45273 39908 9600 4685 25623 5365
"196802" 9335 6201 3134 2681 453 46994 41405 10000 5018 26387 5589
"196803" 9458 6247 3211 2752 459 47170 41637 9900 4901 26836 5533
"196804" 9630 6284 3346 2830 516 47014 41583 9718 4688 27177 5431
"196901" 9758 6313 3445 2917 528 47720 42811 10100 5064 27647 4909
"196902" 9902 6334 3568 3014 554 49541 44412 10552 5518 28342 5129
"196903" 10029 6353 3676 3114 562 50034 44882 10600 5530 28752 5152
"196904" 10159 6377 3782 3211 571 49637 44617 10328 5294 28995 5020
"197001" 10303 6405 3898 3318 580 50493 45976 10600 5784 29592 4517
"197002" 10462 6435 4027 3434 593 52206 47420 11233 6265 29922 4786
"197003" 10613 6467 4146 3548 598 52577 47720 11400 6079 30241 4857
"197004" 10772 6501 4271 3649 622 52341 47588 11155 5941 30492 4753
"197101" 10937 6534 4403 3767 636 53726 48741 11500 6418 30823 4985
"197102" 11104 6565 4539 3888 651 56287 50987 12226 6975 31786 5300
"197103" 11271 6602 4669 4014 655 56917 51498 12500 6883 32115 5419
"197104" 11490 6651 4839 4147 692 56983 51564 12500 6683 32381 5419
"197201" 11700 6714 4986 4287 699 58168 52897 12800 7001 33096 5271
"197202" 11958 6794 5164 4436 728 60766 55162 13610 7443 34109 5604
"197203" 12194 6875 5319 4586 733 61502 55860 13700 7305 34855 5642
"197204" 12455 6942 5513 4731 782 62704 56813 14306 7146 35361 5891
"197301" 12668 7003 5665 4859 806 64976 59097 15000 7607 36490 5879
"197302" 12905 7067 5838 4975 863 68526 62261 15985 8315 37961 6265
"197303" 13118 7114 6004 5090 914 70547 64041 16599 8490 38952 6506
"197304" 13279 7123 6156 5214 942 72138 65410 17165 8439 39806 6728
"197401" 13397 7090 6307 5348 959 74356 67176 17699 8783 40694 7180
"197402" 13544 7006 6538 5491 1047 78124 70642 18444 9880 42318 7482
"197403" 13647 6919 6728 5633 1095 80067 72562 18500 10325 43737 7505
"197404" 13781 6871 6910 5762 1148 80717 73319 18236 10161 44922 7398
"197501" 13977 6866 7111 5921 1190 83202 75608 18299 10524 46785 7594
"197502" 14205 6893 7312 6090 1222 87520 79606 19071 12005 48530 7914
"197503" 14450 6928 7522 6267 1255 89384 81127 19899 12144 49084 8257
"197504" 14781 6944 7837 6453 1384 90518 82136 20199 12084 49853 8382
"197601" 15108 6949 8159 6725 1434 92674 83952 20699 12456 50797 8722
"197602" 15469 6946 8523 7052 1471 97021 87667 22199 13158 52310 9354
"197603" 15833 6943 8890 7396 1494 100426 90777 22899 13957 53921 9649
"197604" 16273 6947 9326 7718 1608 101969 92180 23230 13538 55412 9789
"197701" 16689 6962 9727 8068 1659 106905 95853 23699 14774 57380 11052
"197702" 17123 6985 10138 8431 1707 113800 101842 25642 15862 60338 11958
"197703" 17542 7011 10531 8807 1724 117563 105298 26299 16633 62366 12265
"197704" 18087 7035 11052 9197 1855 117938 105939 25729 16261 63949 11999
"197801" 18596 7059 11537 9607 1930 120387 107773 25399 16425 65949 12614
"197802" 19109 7083 12026 10042 1984 128406 114988 27017 19229 68742 13418
"197803" 19641 7108 12533 10478 2055 133946 119998 28084 20869 71045 13948
"197804" 20154 7137 13017 10891 2126 136205 122194 28211 21226 72757 14011
"197901" 20629 7171 13458 11283 2175 141557 126806 28122 22250 76434 14751
"197902" 21154 7212 13942 11655 2287 152015 136381 29806 25640 80935 15634
"197903" 21629 7252 14377 12024 2353 158242 142065 30840 26892 84333 16177
"197904" 22226 7284 14942 12406 2536 162001 145723 31033 27935 86755 16278
"198001" 22733 7306 15427 12752 2675 167888 151103 30509 30012 90582 16785
"198002" 23191 7317 15874 13085 2789 175048 157960 31059 32766 94135 17088
"198003" 23610 7330 16280 13405 2875 178180 160795 31598 33326 95871 17385
"198004" 24166 7357 16809 13714 3095 178844 161477 31566 32424 97487 17367
"198101" 24591 7397 17194 14004 3190 184081 166550 31358 35095 100097 17531
"198102" 25062 7449 17613 14269 3344 193825 175280 33173 38926 103181 18545
"198103" 25533 7505 18028 14533 3495 197730 178969 33559 39801 105609 18761
"198104" 26109 7560 18549 14821 3728 196195 177791 32920 37642 107229 18404
"198201" 26642 7614 19028 15128 3900 196642 179013 33284 36778 108951 17629
"198202" 27009 7668 19341 15450 3891 204311 185364 35772 39310 110282 18947
"198203" 27475 7725 19750 15780 3970 207772 188171 37007 40067 111097 19601
"198204" 28011 7786 20225 16110 4115 203632 184493 36135 37047 111311 19139
"198301" 28358 7854 20504 16374 4130 201169 183787 36445 35802 111540 17382
"198302" 28657 7929 20728 16586 4142 206508 188138 38516 37250 112372 18370
"198303" 29001 8005 20996 16816 4180 207978 189329 39102 37119 113108 18649
"198304" 29421 8075 21346 17129 4217 206955 188389 38927 35741 113721 18566
"198401" 29554 8134 21420 17195 4225 204992 187504 39564 34970 112970 17488
"198402" 29461 8176 21285 17049 4236 209061 190784 41347 36098 113339 18277
