"DATES" "FL764090005.Q" "FL723025000.Q" "FL763013005.Q" "FL743020003.Q" "FL764005005.Q" "FL763069175.Q" "FL763061105.Q" "FL763061705.Q" "FL763062005.Q" "FL763063005.Q" "FL763068005.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763064105.Q" "FL723064203.Q" "FL763069705.Q" "FL763090005.Q" "FL764190005.Q" "FL764110005.Q" "FL714010005.Q" "FL904010005.Q" "FL764116005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL763131005.Q" "FL763135005.Q" "FL762150005.Q" "FL764104005.Q" "FL763169175.Q" "FL763163005.Q" "FL723169305.Q" "FL723178003.Q" "FL763190005.Q" "FL764004005.Q" "FL723066303.Q"
"195201" 159116 2420 20276 176 134788 559 61805 1653 9586 2520 31143 14860 10210 2450 2 0 458 998 148014 3226 867 521 1838 102782 5560 1147 96075 34765 4621 100 463 463 0 0 713 1344 132794 0
"195202" 160646 2396 19381 175 137114 503 61908 1509 9964 2602 31183 15177 10988 3278 2 0 416 1164 149307 3072 625 499 1948 103321 5837 1264 96220 35607 4731 32 420 420 0 0 684 1440 134250 0
"195203" 163880 2530 20581 173 139135 570 62302 1888 10310 2467 31690 15590 11516 2800 2 0 454 1007 152449 3767 1093 948 1726 105023 6180 1562 97281 36185 4654 2 459 459 0 0 791 1568 136787 0
"195204" 168714 2753 19950 170 144274 569 64034 2110 10308 2340 33426 15867 12255 3363 2 0 492 1075 157143 3561 1094 709 1758 108779 4941 1390 102448 37027 4858 22 497 497 0 0 793 1606 141401 0
"195301" 166484 2550 20148 170 141961 512 61156 2034 10647 2344 33175 16080 13061 2950 2 0 455 1200 154848 3843 1500 601 1742 105605 5530 1268 98807 37538 4908 173 460 460 0 0 713 1608 139464 0
"195302" 164477 2590 19561 171 140609 415 59336 1594 10659 2325 33137 16387 13661 3093 2 0 428 1118 152571 3103 655 665 1783 103073 3634 1202 98237 38453 5132 9 432 432 0 0 628 1741 137942 0
"195303" 169229 2650 19309 172 145612 500 62882 1781 10815 2380 33381 16640 13930 3300 3 0 515 971 157103 3697 1014 885 1798 106038 5870 1162 99006 39039 5157 9 520 520 0 0 736 1907 142824 0
"195304" 173003 2512 20160 173 148521 567 64124 3601 10965 2393 32143 16850 14012 3863 3 0 573 1064 160864 3416 948 786 1682 108904 4146 1068 103690 39545 5803 37 579 579 0 0 967 1613 145228 0
"195401" 169051 2630 19194 173 145641 713 61338 3983 11555 2487 31620 16970 13622 3350 3 0 580 833 156749 2749 667 480 1602 104583 5060 1013 98510 39967 6435 -58 586 586 0 0 847 1640 142868 0
"195402" 172901 2660 19011 172 149233 695 64218 3163 12069 2316 31273 17382 13995 4118 4 0 589 1236 160341 3044 589 849 1606 106365 5591 1069 99705 41010 6878 24 595 595 0 0 690 1735 145700 0
