"DATES" "FL174090005.Q" "FL153091003.Q" "FL173020005.Q" "FL173030005.Q" "FL173034005.Q" "FL174023005.Q" "FL163069103.Q" "FL313161400.Q" "FL173061105.Q" "FL153061705.Q" "FL173062005.Q" "FL153063005.Q" "FL153064105.Q" "FL153064205.Q" "FL543140003.Q" "FL543150005.Q" "FL573150005.Q" "FL363154005.Q" "FL173099005.Q" "FL174190005.Q" "FL173165105.Q" "FL173165005.Q" "FL153166000.Q" "FL153169405.Q" "FL153167005.Q" "FL173199005.Q"
"195201" 520131 0 78588 73209 0 238959 978 49081 17164 123 7499 6134 154368 3612 52288 6845 9314 19581 41347 121513 53102 18027 24597 2807 1387 21592
"195202" 531878 0 76524 75462 0 248049 893 49010 16894 0 9835 6355 161366 3696 52976 7129 9727 20181 41830 126946 54832 18796 26878 2846 1419 22175
"195203" 541279 0 79370 76984 0 249992 1047 49026 18019 0 10606 6130 161327 3837 53707 7417 10090 20970 42749 130707 56671 19405 27965 2882 1430 22354
"195204" 538781 0 80961 79312 0 240299 1040 49173 18216 0 10957 5997 150984 3932 54480 7700 10723 21238 44068 135099 58433 19749 30522 2902 1466 22027
"195301" 542378 0 81759 81226 0 237862 1270 49521 17435 53 11875 5846 147995 3867 55246 7980 11199 21600 45506 138755 60023 19989 30901 2953 1629 23259
"195302" 537883 0 78420 83815 0 231455 1213 49258 20054 136 12743 6113 138160 3778 55988 8259 11730 22346 45870 144211 62243 20672 32672 3006 1818 23800
"195303" 540417 0 81149 85398 0 227200 1389 49263 19865 210 13542 5748 133430 3753 56701 8539 12232 22854 46344 147666 64222 21187 33354 3055 1753 24095
"195304" 557309 0 81940 87476 0 239248 1296 49371 18667 155 13873 5987 145753 4146 57388 8825 12773 23166 46493 149135 65950 21392 34614 3122 1830 22227
"195401" 573711 0 80448 89459 0 252186 1424 49421 18775 141 14386 5719 157808 4512 58093 9113 13315 23582 47515 150748 67363 21656 32744 3187 1846 23952
"195402" 594599 0 79500 92375 0 268717 1300 49545 18010 141 14678 5622 174526 4895 58831 9401 13729 24261 47785 156604 70179 22585 34006 3252 1994 24588
"195403" 622685 0 83960 93957 0 288331 1301 49703 16498 153 15246 5473 194488 5469 59600 9695 14248 24491 48403 161312 72281 23340 34242 3309 2230 25910
"195404" 632539 0 84120 96616 0 293071 1072 49966 16121 148 15964 4852 198838 6110 60389 10000 15045 24773 48525 165746 75300 23688 35963 3357 2606 24832
"195501" 647116 0 84031 98714 0 302408 1362 50165 17475 40 16484 4750 205607 6525 61170 10322 15915 24966 49590 170677 78180 24190 35702 3428 2903 26273
"195502" 675920 0 81650 101280 0 327849 1457 50184 18056 118 17509 4552 228787 7186 61931 10663 17378 25586 49583 179799 81638 24819 38755 3470 2965 28152
"195503" 702693 0 85435 102747 0 345751 1503 50178 19003 233 18360 4681 244536 7257 62688 11004 18759 26233 50076 187203 84973 25566 40543 3517 3065 29540
"195504" 713048 0 85398 105087 0 351037 1354 50229 18614 606 19174 4975 248246 7839 63459 11325 19762 26674 50306 192379 87878 25617 42949 3550 3042 29343
"195601" 740913 0 85009 107187 0 373018 1832 50397 20077 722 19569 5167 266699 8555 64251 11624 20879 27236 51709 195914 90294 26495 42251 3611 3033 30229
"195602" 736831 0 83464 110157 0 364720 1682 50320 19863 959 20436 5615 257232 8613 65070 11895 21252 27891 52382 202945 93259 27506 44281 3685 3037 31178
"195603" 741250 0 86512 111757 0 361029 1601 50238 20394 1116 21308 5785 252081 8506 65875 12175 21771 28763 53368 207918 96111 28452 44978 3730 3033 31615
"195604" 767116 0 87350 114368 0 380659 1420 50135 20090 960 21900 6111 270997 9046 66626 12500 22759 29080 53774 211749 98686 28649 46580 3804 3082 30948
"195701" 761241 0 86695 117545 0 368937 1836 49552 21326 934 22537 6854 256792 9106 67324 12868 23337 29539 54996 214203 100791 28844 45242 3885 2955 32486
"195702" 785146 0 84522 121082 0 388182 1617 49090 21653 1155 22812 7041 275127 9687 67969 13279 24838 30315 54959 219989 102981 29461 47223 3980 3150 33194
