"DATES" "FL754090005.Q" "FL753013003.Q" "FL754005005.Q" "FL753069603.Q" "FL753061103.Q" "FL753061703.Q" "FL753062003.Q" "FL753063003.Q" "FL753068005.Q" "FL753065005.Q" "FL753067000.Q" "FL753064103.Q" "FL293169750.Q" "FL753093005.Q" "FL754190005.Q" "FL754110005.Q" "FL754116005.Q" "FL754112005.Q" "FL753127005.Q" "FL753131005.Q" "FL753135005.Q" "FL752150000.Q" "FL753169600.Q" "FL753190005.Q" "FL753192003.Q" "FL753194503.Q" "FL753193005.Q" "FL754004005.Q"
"195201" 1552 0 1500 98 433 0 64 98 655 0 150 2 92 -40 1580 1063 1156 -93 348 12 106 0 93 -42 188 0 -230 1440
"195202" 1703 0 1644 103 471 0 71 109 688 0 200 2 83 -24 1732 1163 1270 -107 382 13 119 0 84 -29 191 0 -220 1525
"195203" 1540 0 1482 77 425 0 67 103 508 0 300 2 91 -33 1570 1013 1113 -100 344 15 131 0 92 -25 194 0 -219 1271
"195204" 1625 0 1571 97 445 0 71 109 647 0 200 2 98 -44 1656 1067 1173 -106 360 16 144 0 99 -30 199 0 -229 1467
"195301" 1821 0 1512 87 415 0 71 109 578 0 250 2 91 218 1853 979 1084 -105 654 17 156 0 92 -45 202 0 -247 1351
"195302" 1635 0 1569 84 423 0 80 122 558 0 300 2 86 -20 1668 1035 1144 -109 377 19 168 0 86 -17 206 0 -223 1353
"195303" 1627 0 1560 69 416 0 85 130 457 0 400 3 103 -36 1661 1011 1120 -109 361 20 179 0 104 -14 210 0 -224 1260
"195304" 1713 0 1660 90 435 0 92 141 599 0 300 3 115 -62 1748 1063 1178 -115 381 21 189 0 116 -22 207 0 -229 1472
"195401" 1726 0 1638 83 423 0 88 135 556 0 350 3 116 -28 1762 1054 1170 -116 388 22 202 0 117 -21 211 0 -232 1401
"195402" 1783 0 1671 81 440 0 82 125 539 0 400 4 118 -6 1820 1079 1199 -120 405 24 213 0 119 -20 214 0 -234 1385
"195403" 1822 0 1686 70 449 0 78 119 465 0 500 5 122 14 1861 1095 1217 -122 416 25 225 0 123 -23 217 0 -240 1303
"195404" 1989 0 1832 95 490 0 84 129 629 0 400 5 175 -18 2030 1215 1346 -131 457 26 233 0 176 -77 233 0 -310 1602
"195501" 1936 0 1776 82 456 0 96 147 540 0 450 5 161 -1 1979 1173 1301 -128 447 26 233 0 163 -63 236 0 -299 1482
"195502" 2037 0 1915 80 475 0 127 194 533 0 500 6 131 -9 2082 1259 1395 -136 474 25 229 0 132 -37 240 0 -277 1540
"195503" 1980 0 1905 60 461 0 151 231 396 0 600 6 134 -59 2027 1221 1354 -133 465 25 224 0 136 -44 244 0 -288 1433
"195504" 2025 0 1966 75 465 0 167 256 497 0 500 6 128 -69 2074 1259 1395 -136 476 25 222 0 130 -38 255 0 -293 1588
"195601" 2077 0 1909 69 453 0 147 225 459 0 550 6 132 36 2128 1279 1419 -140 487 26 232 0 133 -29 259 0 -288 1485
"195602" 2224 0 1962 71 481 0 133 203 468 0 600 6 137 125 2277 1369 1516 -147 516 28 249 0 138 -23 262 0 -285 1493
"195603" 2364 0 2001 65 508 0 116 177 429 0 700 6 161 202 2419 1452 1609 -157 544 29 265 0 163 -34 265 0 -299 1456
"195604" 2427 0 2000 81 518 0 101 155 539 0 600 6 193 234 2484 1486 1646 -160 559 30 273 0 195 -59 261 0 -320 1587
"195701" 2388 0 1949 69 484 0 110 168 461 0 650 7 204 235 2447 1456 1614 -158 547 29 262 0 206 -53 264 0 -317 1496
"195702" 2483 0 2009 68 501 0 110 168 455 0 700 7 196 278 2544 1547 1706 -159 565 27 245 0 198 -38 265 0 -303 1498
"195703" 2445 0 1948 49 489 0 108 165 329 0 800 8 239 258 2508 1529 1684 -155 597 25 226 0 242 -111 266 0 -377 1379
"195704" 2463 0 1914 63 487 0 93 142 420 0 700 9 261 288 2528 1556 1707 -151 638 24 215 0 264 -169 254 0 -423 1466
"195801" 2519 0 1902 52 473 0 90 138 347 0 793 9 306 311 2586 1609 1763 -154 585 23 205 0 309 -145 255 0 -400 1406
"195802" 2673 0 2010 59 501 0 90 138 395 0 818 9 270 393 2742 1743 1903 -160 552 23 203 0 273 -52 256 0 -308 1453
"195803" 2711 0 1990 43 482 0 89 136 285 0 945 10 256 465 2782 1775 1936 -161 589 22 202 0 259 -65 257 0 -322 1291
"195804" 2711 0 2024 72 510 0 85 130 476 0 741 10 239 448 2784 1780 1939 -159 618 22 199 0 241 -76 282 0 -358 1512
"195901" 2847 0 2045 67 513 0 84 129 449 0 793 10 211 591 2922 1733 1896 -163 819 23 203 0 213 -69 283 0 -352 1453
"195902" 3064 0 2076 67 518 0 84 129 449 0 818 11 197 791 3141 1672 1839 -167 1099 23 210 0 199 -62 286 0 -348 1444
"195903" 3250 0 2106 54 523 0 84 129 360 0 945 11 191 953 3329 1626 1797 -171 1372 24 216 0 193 -102 289 0 -391 1341
"195904" 2827 0 2157 82 526 0 85 130 550 0 773 11 230 440 2908 1543 1721 -178 1028 25 222 0 233 -143 294 0 -437 1603
"196001" 2943 0 2090 53 523 0 84 129 356 0 933 12 273 580 3026 1625 1826 -201 1055 26 230 0 276 -186 297 0 -483 1418
"196002" 3135 0 2163 61 519 0 83 127 402 0 958 13 276 696 3220 1692 1918 -226 1085 27 238 0 279 -101 302 0 -403 1468
"196003" 3193 0 2230 55 515 0 80 122 364 0 1080 14 334 629 3280 1791 2041 -250 1109 28 248 0 337 -233 307 0 -540 1470
"196004" 3312 0 2325 99 507 0 78 119 658 0 849 15 405 582 3402 1880 2156 -276 1148 29 258 0 409 -322 308 0 -630 1866
"196101" 3545 0 2907 182 555 0 82 125 1209 0 739 15 446 192 3637 2084 2350 -266 1168 30 268 0 451 -364 313 0 -677 2599
"196102" 3804 0 3092 167 603 0 85 130 1113 0 978 16 454 258 3899 2284 2539 -255 1247 31 279 0 459 -401 316 0 -717 2552
"196103" 3752 0 3039 160 680 0 94 144 1061 0 884 16 484 229 3850 2294 2556 -262 1192 32 291 0 489 -448 319 0 -767 2623
"196104" 3485 0 2771 151 536 0 81 124 1004 0 859 16 537 177 3586 2023 2308 -285 1229 33 297 0 542 -538 344 0 -882 2433
"196201" 3522 0 2848 128 682 0 117 179 851 0 875 16 500 174 3625 2063 2335 -272 1280 33 301 0 505 -557 347 0 -904 2457
"196202" 3607 0 2976 145 827 0 165 252 960 0 610 17 468 163 3713 2096 2354 -258 1323 33 301 0 473 -513 350 0 -863 2817
"196203" 3572 0 2956 139 693 0 171 262 924 0 750 17 456 160 3681 2091 2373 -282 1242 33 300 0 461 -446 353 0 -799 2645
"196204" 3617 0 2762 148 506 0 158 242 983 0 709 16 530 325 3729 2143 2372 -229 1194 34 301 0 535 -478 330 0 -808 2567
"196301" 3664 0 2946 163 521 0 153 234 1087 0 771 17 518 200 3779 2216 2466 -250 1113 35 313 0 523 -421 333 0 -754 2676
"196302" 3772 0 3059 165 538 0 132 202 1096 0 909 17 539 174 3890 2276 2549 -273 1127 37 328 0 545 -423 333 0 -756 2672
"196303" 3758 0 3022 157 422 0 89 136 1047 0 1154 17 542 194 3879 2303 2602 -299 1055 38 344 0 547 -408 333 0 -741 2393
"196304" 3811 0 2898 159 399 0 70 107 1058 0 1088 17 578 335 3935 2301 2573 -272 1097 40 357 0 584 -444 348 0 -792 2371
"196401" 3913 0 2949 180 398 0 66 101 1194 0 993 17 620 344 4040 2365 2619 -254 1133 41 364 0 627 -490 348 0 -838 2559
"196402" 4062 0 2998 176 396 0 67 103 1170 0 1068 18 630 434 4192 2420 2655 -235 1334 41 370 0 636 -609 350 0 -959 2542
"196403" 4288 0 3212 188 485 0 83 127 1250 0 1060 19 635 441 4421 2524 2805 -281 1604 42 376 0 641 -766 352 0 -1118 2768
"196404" 4253 0 2995 167 442 0 80 122 1113 0 1051 20 677 581 4389 2427 2940 -513 1832 42 381 0 684 -977 371 0 -1348 2601
"196501" 4692 0 3143 221 433 0 79 121 1467 0 798 24 665 884 4831 2825 3165 -340 1987 44 398 0 672 -1095 373 0 -1468 2986
"196502" 4886 0 3023 196 425 0 80 122 1307 0 866 27 671 1192 5029 3003 3394 -391 1852 46 414 0 678 -964 370 0 -1334 2801
"196503" 4551 0 3244 199 482 0 89 136 1321 0 989 28 663 644 4698 2572 3077 -505 1632 48 429 0 669 -652 367 0 -1019 2890
"196504" 4257 0 2965 183 509 0 94 144 1217 0 788 30 678 614 4408 2232 2729 -497 1661 50 448 0 685 -668 369 0 -1037 2825
"196601" 4312 0 2998 204 458 0 88 135 1357 0 723 33 678 636 4467 2128 2593 -465 1649 52 464 0 684 -510 366 0 -876 2920
"196602" 4617 0 2904 201 408 0 81 124 1338 0 716 36 684 1029 4776 2070 2616 -546 1956 54 482 0 691 -477 370 0 -847 2836
"196603" 4862 0 3214 229 483 0 96 147 1521 0 700 38 674 974 5025 2350 2787 -437 1948 54 481 0 681 -489 374 0 -863 3150
"196604" 4941 0 3463 240 459 0 110 168 1595 0 850 41 721 757 5108 2570 2936 -366 1844 54 482 0 728 -570 352 0 -922 3293
"196701" 4652 0 3612 278 435 0 120 184 1846 0 705 44 741 299 4823 2467 2898 -431 1780 56 506 0 748 -734 356 0 -1090 3604
"196702" 5011 0 3618 266 407 0 149 228 1772 0 750 46 826 567 5186 2317 2769 -452 2188 59 528 0 834 -740 358 0 -1098 3648
"196703" 5040 0 3906 275 491 0 192 294 1824 0 781 49 829 305 5220 2342 3078 -736 2100 62 553 0 837 -674 360 0 -1034 3905
"196704" 5074 0 4024 261 576 0 218 334 1733 0 850 52 863 187 5259 2335 3346 -1011 1974 65 582 0 872 -569 373 0 -942 3985
"196801" 5451 0 4226 286 590 0 215 329 1901 0 850 55 867 358 5641 2307 3439 -1132 2333 69 618 0 876 -562 375 0 -937 4188
"196802" 5842 0 4333 303 608 0 198 303 2012 0 850 59 857 652 6037 2193 3504 -1311 3007 73 657 0 866 -759 379 0 -1138 4281
"196803" 5075 0 4469 323 630 0 180 275 2149 0 850 62 865 -259 5275 2298 3704 -1406 2094 76 687 0 874 -754 383 0 -1137 4422
