"DATES" "FL224090005.Q" "FL223020003.Q" "FL223030005.Q" "FL223034003.Q" "FL222050003.Q" "FL224004005.Q" "FL223069103.Q" "FL223061103.Q" "FL223061703.Q" "FL223062003.Q" "FL223063005.Q" "FL223065003.Q" "FL223064105.Q" "FL223064203.Q" "FL223093003.Q" "FL223150005.Q"
"195201" 5872 143 0 0 0 5685 0 3070 5 1751 746 113 44 0 0 5872
"195202" 6066 148 0 0 0 5871 0 3148 10 1794 797 122 47 0 0 6066
"195203" 6422 153 0 0 0 6220 0 3313 15 1838 923 131 49 0 0 6422
"195204" 6642 158 0 0 0 6428 0 3374 20 1883 1010 141 56 0 0 6642
"195301" 6936 164 0 0 0 6713 0 3465 22 1933 1141 152 59 0 0 6936
"195302" 7331 173 0 0 0 7095 0 3655 23 1986 1268 163 63 0 0 7331
"195303" 7716 182 0 0 0 7466 0 3830 24 2042 1395 175 68 0 0 7716
"195304" 7966 189 0 0 0 7702 0 3860 25 2103 1526 188 75 0 0 7966
"195401" 8375 193 0 0 0 8100 0 4043 28 2166 1661 202 82 0 0 8375
"195402" 8801 195 0 0 0 8522 0 4234 31 2232 1808 217 84 0 0 8801
"195403" 9123 195 0 0 0 8839 0 4310 34 2302 1960 233 89 0 0 9123
"195404" 9454 194 0 0 0 9161 0 4383 38 2376 2115 249 99 0 0 9454
"195501" 9758 191 0 0 0 9454 0 4438 43 2456 2251 266 113 0 0 9758
"195502" 10075 185 0 0 0 9742 0 4478 48 2542 2391 283 148 0 0 10075
"195503" 10448 179 0 0 0 10089 0 4566 53 2632 2537 301 180 0 0 10448
"195504" 10831 174 0 0 0 10457 0 4666 58 2723 2692 318 200 0 0 10831
"195601" 11322 175 0 0 0 10930 0 4879 60 2816 2839 336 217 0 0 11322
"195602" 11571 178 0 0 0 11192 0 4903 62 2911 2964 352 201 0 0 11571
"195603" 11816 183 0 0 0 11444 0 4929 64 3009 3071 371 189 0 0 11816
"195604" 12071 190 0 0 0 11681 0 4944 67 3110 3165 395 200 0 0 12071
"195701" 12471 200 0 0 0 12056 0 5061 74 3214 3282 425 215 0 0 12471
"195702" 12925 214 0 0 0 12434 0 5114 82 3322 3456 460 277 0 0 12925
"195703" 13401 228 0 0 0 12879 0 5147 89 3431 3713 499 294 0 0 13401
"195704" 13795 237 0 0 0 13258 0 5058 97 3539 4024 540 300 0 0 13795
"195801" 14343 242 0 0 0 13781 0 5104 102 3648 4343 584 320 0 0 14343
"195802" 14655 245 0 0 0 14070 0 4950 107 3760 4622 631 340 0 0 14655
"195803" 15109 245 0 0 0 14499 0 4960 112 3868 4878 681 365 0 0 15109
"195804" 15607 244 0 0 0 14963 0 5021 117 3963 5126 736 400 0 0 15607
"195901" 16082 241 0 0 0 15426 0 5102 124 4048 5360 792 415 0 0 16082
"195902" 16487 234 0 0 0 15800 0 5126 132 4124 5571 847 453 0 0 16487
"195903" 17057 227 0 0 0 16370 0 5350 139 4192 5778 911 460 0 0 17057
"195904" 17558 221 0 0 0 16837 0 5462 146 4251 5986 992 500 0 0 17558
"196001" 18143 223 0 0 0 17429 0 5663 159 4305 6211 1091 491 0 0 18143
"196002" 18687 229 0 0 0 17926 0 5724 171 4356 6466 1209 532 0 0 18687
"196003" 19088 236 0 0 0 18331 0 5653 184 4393 6768 1333 521 0 0 19088
"196004" 19730 243 0 0 0 18887 0 5711 196 4406 7124 1450 600 0 0 19730
"196101" 20511 251 0 0 0 19556 0 5855 214 4399 7524 1564 704 0 0 20511
"196102" 21110 260 0 0 0 20115 0 5872 233 4374 7956 1680 735 0 0 21110
"196103" 21707 269 0 0 0 20646 0 5865 252 4330 8406 1793 792 0 0 21707
"196104" 22259 277 0 0 0 21082 0 5800 271 4263 8852 1896 900 0 0 22259
"196201" 23036 285 0 0 0 21820 0 6025 325 4175 9305 1990 931 0 0 23036
"196202" 23369 294 0 0 0 22322 0 6075 343 4058 9772 2074 753 0 0 23369
"196203" 23973 302 0 0 0 22826 0 6125 380 3930 10236 2155 845 0 0 23973
"196204" 24518 307 0 0 0 23211 0 6100 395 3804 10670 2242 1000 0 0 24518
"196301" 25150 311 0 0 0 23717 0 6200 387 3682 11117 2331 1122 0 0 25150
"196302" 25999 313 0 0 0 24437 0 6475 381 3553 11608 2420 1249 0 0 25999
"196303" 26693 314 0 0 0 25004 0 6550 351 3426 12165 2512 1375 0 0 26693
"196304" 27369 313 0 0 0 25556 0 6510 347 3304 12783 2612 1500 0 0 27369
"196401" 28346 313 0 0 0 26376 0 6725 341 3194 13400 2716 1657 0 0 28346
"196402" 29304 313 0 0 0 27209 0 6975 375 3089 13948 2822 1782 0 0 29304
"196403" 30037 313 0 0 0 27818 0 7066 369 2991 14455 2937 1906 0 0 30037
"196404" 30636 311 0 0 0 28325 0 7030 381 2900 14944 3070 2000 0 0 30636
"196501" 31680 311 0 0 0 29275 0 7417 376 2820 15441 3221 2094 0 0 31680
"196502" 32463 311 0 0 0 30078 0 7590 381 2748 15970 3389 2074 0 0 32463
"196503" 33301 312 0 0 0 30663 0 7351 485 2684 16576 3567 2326 0 0 33301
"196504" 34078 317 0 0 0 31261 0 7153 492 2625 17245 3746 2500 0 0 34078
"196601" 35198 325 0 0 0 32293 0 7312 502 2579 17964 3936 2580 0 0 35198
"196602" 36052 335 0 0 0 33084 0 7046 622 2543 18730 4143 2633 0 0 36052
"196603" 37057 349 0 0 0 34181 0 7166 671 2513 19487 4344 2527 0 0 37057
"196604" 38116 368 0 0 0 34948 0 7115 652 2481 20184 4516 2800 0 0 38116
"196701" 39300 407 0 0 0 35601 0 6800 669 2461 20990 4681 3292 0 0 39300
"196702" 40294 415 17 0 0 36442 0 6646 744 2442 21763 4847 3420 0 0 40294
"196703" 41443 381 69 0 0 37253 0 6308 759 2424 22837 4925 3740 0 0 41443
"196704" 42644 303 161 0 0 38280 0 6165 785 2406 23921 5003 3900 0 0 42644
"196801" 43286 365 108 0 0 38966 0 6219 758 2437 24404 5148 3847 0 0 43286
"196802" 45042 403 75 0 0 39868 0 6120 1028 2372 25079 5269 4696 0 0 45042
"196803" 46440 429 146 0 0 40633 0 6023 1138 2384 25813 5275 5232 0 0 46440
"196804" 48047 377 230 0 0 41640 0 5921 1410 2382 26565 5362 5800 0 0 48047
"196901" 49140 497 52 0 0 42500 0 5850 1437 2386 27401 5426 6091 0 0 49140
