"DATES" "FL413065005.Q" "FL413065105.Q" "FL413065405.Q" "FL413065505.Q" "FL413065605.Q" "FL413065005.Q"
"195201" 45 0 0 0 45 45
"195202" 47 0 0 0 47 47
"195203" 50 0 0 0 50 50
"195204" 53 0 0 0 53 53
"195301" 55 0 0 0 55 55
"195302" 56 0 0 0 56 56
"195303" 58 0 0 0 58 58
"195304" 60 0 0 0 60 60
"195401" 61 0 0 0 61 61
"195402" 62 0 0 0 62 62
"195403" 70 0 0 0 70 70
"195404" 78 0 0 0 78 78
"195501" 86 0 0 0 86 86
"195502" 95 0 0 0 95 95
"195503" 105 0 0 0 105 105
"195504" 116 0 0 0 116 116
"195601" 127 0 0 0 127 127
"195602" 138 0 0 0 138 138
"195603" 143 0 0 0 143 143
"195604" 149 0 0 0 149 149
"195701" 157 0 0 0 157 157
"195702" 166 0 0 0 166 166
"195703" 170 0 0 0 170 170
"195704" 173 0 0 0 173 173
"195801" 175 0 0 0 175 175
"195802" 177 0 0 0 177 177
"195803" 183 0 0 0 183 183
"195804" 190 0 0 0 190 190
"195901" 195 0 0 0 195 195
"195902" 201 0 0 0 201 201
"195903" 202 0 0 0 202 202
"195904" 203 0 0 0 203 203
"196001" 204 0 0 0 204 204
"196002" 206 0 0 0 206 206
"196003" 204 0 0 0 204 204
"196004" 201 0 0 0 201 201
"196101" 201 0 0 1 200 201
"196102" 200 0 0 3 197 200
"196103" 244 0 0 4 240 244
"196104" 290 0 0 4 286 290
"196201" 312 0 0 5 307 312
"196202" 336 0 0 6 330 336
"196203" 373 0 0 7 366 373
"196204" 413 0 0 8 405 413
"196301" 453 0 0 9 444 453
"196302" 495 0 0 10 485 495
"196303" 509 0 1 13 495 509
"196304" 525 0 1 15 509 525
"196401" 551 0 1 18 532 551
"196402" 581 0 1 21 559 581
"196403" 602 0 2 30 570 602
"196404" 624 0 2 41 581 624
"196501" 676 0 2 54 620 676
"196502" 730 0 2 68 660 730
"196503" 797 23 3 86 685 797
"196504" 869 50 4 104 711 869
"196601" 949 84 4 125 736 949
"196602" 1033 122 3 147 761 1033
"196603" 1167 188 4 170 805 1167
"196604" 1314 266 4 194 850 1314
"196701" 1480 356 5 219 900 1480
"196702" 1660 458 5 245 952 1660
"196703" 1821 551 7 274 989 1821
"196704" 1988 652 9 301 1026 1988
"196801" 2169 761 10 327 1071 2169
"196802" 2359 878 12 352 1117 2359
"196803" 2444 936 15 368 1125 2444
"196804" 2526 994 18 383 1131 2526
"196901" 2616 1052 22 397 1145 2616
"196902" 2701 1108 26 411 1156 2701
"196903" 2949 1236 30 428 1255 2949
"196904" 3204 1369 35 444 1356 3204
"197001" 3499 1522 40 459 1478 3499
"197002" 3713 1686 45 474 1508 3713
"197003" 4132 2005 53 486 1588 4132
"197004" 4755 2532 60 496 1667 4755
"197101" 5957 3583 69 507 1798 5957
"197102" 7572 5041 79 518 1934 7572
"197103" 8369 5717 88 554 2010 8369
"197104" 9516 6717 114 589 2096 9516
"197201" 10542 7636 146 506 2254 10542
"197202" 11748 8681 212 542 2313 11748
"197203" 12815 9587 280 582 2366 12815
"197204" 14404 10701 392 867 2444 14404
"197301" 15160 11356 502 867 2435 15160
"197302" 16615 12500 546 970 2599 16615
"197303" 17057 12922 598 950 2587 17057
"197304" 18040 13636 616 1124 2664 18040
"197401" 19709 15269 632 1118 2690 19709
"197402" 20132 15799 648 1065 2620 20132
"197403" 20537 17152 737 0 2648 20537
"197404" 21458 18038 775 0 2645 21458
"197501" 24420 20820 895 0 2705 24420
"197502" 25603 22351 852 0 2400 25603
"197503" 26785 23486 1089 0 2210 26785
"197504" 28511 25339 1175 0 1997 28511
"197601" 31152 27700 1446 0 2006 31152
"197602" 34026 30627 1469 0 1930 34026
"197603" 36984 33513 1558 0 1913 36984
"197604" 40693 37257 1659 0 1777 40693
"197701" 45418 41753 1924 0 1741 45418
"197702" 47980 44402 1987 0 1591 47980
"197703" 52412 48830 2212 0 1370 52412
"197704" 56803 52988 2584 0 1231 56803
"197801" 59512 55350 2885 0 1277 59512
"197802" 62611 57993 3469 0 1149 62611
"197803" 65755 61032 3736 0 987 65755
"197804" 70407 65354 4097 0 956 70407
"197901" 75627 70268 4353 0 1006 75627
"197902" 80506 74795 4686 0 1025 80506
"197903" 87309 81301 4974 0 1034 87309
"197904" 94778 88429 5318 0 1031 94778
"198001" 99954 93521 5397 0 1036 99954
"198002" 104016 97347 5618 0 1051 104016
"198003" 109691 102880 5832 0 979 109691
"198004" 113959 107126 5976 0 857 113959
"198101" 117260 110264 6111 0 885 117260
"198102" 120851 113866 6201 0 784 120851
"198103" 124370 117244 6374 0 752 124370
"198104" 128986 125010 3228 0 748 128986
"198201" 137628 133734 3267 0 627 137628
"198202" 146951 142967 3375 0 609 146951
"198203" 160231 156168 3480 0 583 160231
"198204" 178519 174349 3589 0 581 178519
"198301" 196517 191975 3882 0 660 196517
"198302" 213061 208340 4155 0 566 213061
"198303" 231538 226385 4606 0 547 231538
"198304" 244807 239439 4820 0 548 244807
"198401" 255930 250431 4953 0 546 255930
"198402" 263344 257762 5074 0 508 263344
"198403" 275538 269261 5501 0 776 275538
"198404" 288987 282953 5518 0 516 288987
"198501" 304033 297096 6421 0 516 304033
"198502" 321090 313763 6768 0 559 321090
"198503" 343332 335965 6926 0 441 343332
"198504" 367864 360508 6998 0 358 367864
"198601" 394587 385169 8991 0 427 394587
"198602" 429072 419545 9103 0 424 429072
"198603" 475896 465354 10156 0 386 475896
"198604" 531591 519520 11865 132 74 531591
"198701" 575435 561534 13704 127 70 575435
"198702" 615142 600095 14854 126 67 615142
"198703" 647084 631037 15858 124 65 647084
"198704" 669394 652892 16378 63 61 669394
"198801" 677841 660006 17728 58 49 677841
"198802" 695315 676706 18526 41 42 695315
"198803" 721137 701023 20035 38 41 721137
"198804" 745287 723602 21607 38 40 745287
"198901" 770459 747328 23059 34 38 770459
"198902" 794482 769788 24632 26 36 794482
"198903" 827012 801394 25557 26 35 827012
"198904" 869549 843800 25690 26 33 869549
"199001" 905165 878320 26789 25 31 905165
"199002" 944198 917021 27123 24 30 944198
"199003" 978533 951547 26933 24 29 978533
"199004" 1019861 991084 28727 24 26 1019861
"199101" 1050307 1023310 26949 23 24 1050307
"199102" 1085984 1058760 27182 21 21 1085984
"199103" 1123313 1097340 25932 20 20 1123313
"199104" 1156489 1130351 26102 19 17 1156489
"199201" 1179728 1154063 25631 18 16 1179728
"199202" 1218988 1193954 25000 18 15 1218988
"199203" 1243647 1219206 24409 18 14 1243647
"199204" 1272047 1248186 23831 17 13 1272047
"199301" 1299796 1276567 23202 16 11 1299796
"199302" 1301300 1278722 22552 15 11 1301300
"199303" 1330555 1308202 22329 14 10 1330555
"199304" 1356766 1334286 22458 13 10 1356766
"199401" 1399296 1376967 22308 12 9 1399296
"199402" 1432417 1410106 22293 10 8 1432417
"199403" 1454933 1432867 22050 9 7 1454933
"199404" 1472405 1449589 22442 9 365 1472405
"199501" 1480246 1457651 22208 7 380 1480246
"199502" 1499398 1475137 23858 6 397 1499398
"199503" 1527030 1501933 24678 5 414 1527030
"199504" 1570731 1543402 26893 5 431 1570731
"199601" 1600095 1571858 27803 5 429 1600095
"199602" 1643705 1614335 28938 5 427 1643705
"199603" 1679364 1648231 30705 4 424 1679364
"199604" 1711708 1678786 32499 0 423 1711708
"199701" 1740359 1706181 33749 0 429 1740359
"199702" 1762521 1726919 35167 0 435 1762521
"199703" 1791088 1754275 36372 0 441 1791088
"199704" 1826294 1788052 37794 0 448 1826294
"199801" 1847555 1808089 38995 0 471 1847555
"199802" 1909389 1868500 40393 0 496 1909389
"199803" 1976247 1931146 44580 0 521 1976247
"199804" 2018969 1970167 48255 0 547 2018969
"199901" 2113010 2061639 50636 0 735 2113010
"199902" 2183642 2129994 52722 0 926 2183642
"199903" 2247217 2191289 54814 0 1114 2247217
"199904" 2293531 2234749 57478 0 1304 2293531
"200001" 2323499 2263011 59102 0 1386 2323499
"200002" 2356632 2294135 61029 0 1468 2356632
"200003" 2415896 2351365 62982 0 1549 2415896
"200004" 2493244 2425624 65989 0 1631 2493244
"200101" 2535825 2464924 69264 0 1637 2535825
"200102" 2637391 2561686 74062 0 1643 2637391
"200103" 2760457 2681500 77308 0 1649 2760457
"200104" 2831784 2748518 81610 0 1656 2831784
"200201" 2956420 2870618 84468 0 1334 2956420
"200202" 3042612 2954972 86628 0 1012 3042612
"200203" 3085197 2996036 88471 0 690 3085197
"200204" 3158604 3063698 94539 0 367 3158604
"200301" 3230475 3131919 98218 0 338 3230475
"200302" 3292961 3190784 101838 0 339 3292961
"200303" 3375161 3264639 109493 0 1029 3375161
"200304" 3343251 3233511 108737 0 1003 3343251
"200401" 3346388 3241227 104195 0 966 3346388
"200402" 3366532 3258248 107317 0 967 3366532
"200403" 3380765 3273410 106391 0 964 3380765
"200404" 3384018 3277346 105734 0 938 3384018
"200501" 3407181 3301814 104485 0 882 3407181
"200502" 3442350 3338254 103221 0 875 3442350
"200503" 3484951 3382026 102090 0 835 3484951
"200504" 3548483 3446357 101282 0 844 3548483
"200601" 3627218 3527445 98475 0 1298 3627218
"200602" 3691812 3594720 95279 0 1813 3691812
"200603" 3768725 3673577 92041 0 3107 3768725
"200604" 3841119 3749120 88816 0 3183 3841119
"200701" 3956458 3866021 87035 0 3402 3956458
"200702" 4077824 3987383 85762 0 4679 4077824
"200703" 4252616 4162092 85906 0 4618 4252616
"200704" 4464418 4371759 88116 0 4543 4464418
"200801" 4602238 4509951 87834 0 4453 4602238
"200802" 4760244 4665549 90388 0 4307 4760244
"200803" 4892653 4799492 88438 0 4723 4892653
"200804" 4961428 4863990 92765 0 4673 4961428
"200901" 5041969 4943534 93818 0 4617 5041969
"200902" 5170747 5068631 97547 0 4569 5170747
"200903" 5297548 5192139 100905 0 4504 5297548
