"DATES" "FL894104005.Q" "FL384104005.Q" "FL154104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q" "FL894104005.Q" "FL384004005.Q" "FL154004005.Q" "FL104004005.Q" "FL114004005.Q" "FL214004005.Q" "FL314004005.Q" "FL264004005.Q" "FL794004005.Q" "FL714004005.Q" "FL764004005.Q" "FL724004005.Q" "FL754004005.Q" "FL734004005.Q" "FL744004005.Q" "FL444004005.Q" "FL474004005.Q" "FL514004005.Q" "FL544004005.Q" "FL574004005.Q" "FL224004005.Q" "FL344004005.Q" "FL634004005.Q" "FL654004005.Q" "FL554004005.Q" "FL564004005.Q" "FL404004005.Q" "FL413065005.Q" "FL674004005.Q" "FL614004005.Q" "FL644004005.Q" "FL664004005.Q" "FL504004005.Q"
"195201" 452386 428170 82425 79610 14511 11189 25787 214649 14879 9337 463 370 93 0 659 0 0 1941 45 0 6229 0 0 0 452386 154571 99584 24714 2098 10461 17714 4797 293018 22246 132794 130896 1440 0 458 40462 837 8049 62708 6297 5685 0 0 501 453 0 3392 45 0 8599 0 874 76
"195202" 461312 436397 86525 80594 14953 11907 28324 214094 15044 9871 420 336 84 0 724 0 0 2038 47 0 6642 0 0 0 461312 157344 101852 24037 2284 11163 18008 4907 299061 22526 134250 132259 1525 0 466 41644 926 8184 63490 6547 5871 0 0 510 469 0 3440 47 0 9393 0 1699 65
"195203" 471623 446201 89475 82339 15552 11870 29675 217290 15119 10303 459 367 92 0 793 0 0 2128 50 0 6873 0 0 0 471623 160561 103904 24539 2349 11340 18429 5305 305757 23264 136787 135041 1271 0 475 43047 999 8480 64826 6832 6220 0 0 516 485 0 3486 50 0 9871 0 834 60
"195204" 484881 458681 93875 84907 16077 11609 30795 221418 15140 11060 497 398 99 0 953 0 0 2102 53 0 7455 0 0 0 484881 163774 104619 26014 2670 11658 18813 5136 315971 24068 141401 139454 1467 0 480 44099 1055 8733 65938 7176 6428 0 0 539 500 0 3647 53 0 10782 0 1486 66
"195301" 487071 460719 95976 86305 16076 11788 32134 218440 15309 11043 460 368 92 0 679 0 0 1996 55 0 7853 0 0 0 487071 165066 105569 25928 2449 11908 19212 5257 316748 23291 139464 137630 1351 0 483 45483 1122 9031 67190 7534 6713 0 0 542 515 0 3530 55 0 11294 0 914 70
"195302" 494643 467472 100229 87172 16478 12253 33218 218122 15483 11688 432 346 86 0 789 0 0 2010 56 0 8401 0 0 0 494643 168635 109353 24661 2560 12078 19983 5488 320520 24159 137942 136104 1353 0 485 47129 1227 9256 68314 7887 7095 0 0 520 530 0 3577 56 0 11947 0 821 60
"195303" 508018 479573 102867 88098 16893 12372 34637 224706 15892 12553 520 416 104 0 875 0 0 2127 58 0 8973 0 0 0 508018 171874 109987 26419 2552 12281 20635 5787 330357 24638 142824 141079 1260 0 485 48543 1317 9563 69332 8210 7466 0 0 524 545 0 3675 58 0 12464 0 1140 58
"195304" 516899 487975 106083 89057 17102 11509 35786 228438 16268 12656 579 463 116 0 1034 0 0 2099 60 0 8884 0 0 0 516899 173841 109581 28037 2798 12643 20782 5810 337248 25334 145228 143272 1472 0 484 49547 1372 9873 70638 8493 7702 0 0 547 560 0 3708 60 0 12500 0 1608 78
"195401" 515024 486569 105807 89969 17066 12010 37186 224532 16400 12055 586 469 117 0 700 0 0 1871 61 0 8837 0 0 0 515024 172194 110305 25836 2489 12847 20717 6055 336775 24248 142868 140980 1401 0 487 50804 1401 10068 71886 8781 8100 0 0 595 575 0 3766 61 0 12329 0 1219 74
"195402" 520464 491921 109988 89931 17649 12548 38343 223462 16265 12278 595 476 119 0 755 0 0 1967 62 0 8899 0 0 0 520464 169827 110058 23310 2562 13013 20884 5920 344717 24753 145700 143821 1385 0 494 52425 1491 10294 72977 9083 8522 0 0 608 589 0 3884 62 0 12523 0 1738 68
