"DATES" "FL152090205.Q" "FL112090205.Q" "FL132090205.Q" "FL662090205.Q"
"195201" 323343 193859 129484 0
"195202" 323942 195484 128459 0
"195203" 324710 197299 127411 0
"195204" 322399 197393 125006 0
"195301" 320704 197946 122758 0
"195302" 319269 198808 120461 0
"195303" 320171 200682 119489 0
"195304" 322141 200611 121531 0
"195401" 322501 200113 122388 0
"195402" 322721 200675 122046 0
"195403" 324003 201843 122160 0
"195404" 325853 202262 123591 0
"195501" 328187 203913 124274 0
"195502" 328843 206488 122356 0
"195503" 331600 209093 122506 0
"195504" 335009 211762 123247 0
"195601" 340007 215108 124900 0
"195602" 344970 218110 126860 0
"195603" 348339 220378 127961 0
"195604" 351265 221315 129950 0
"195701" 354718 222470 132247 0
"195702" 357274 223961 133313 0
"195703" 360871 225596 135275 0
"195704" 363222 226313 136909 0
"195801" 369611 225383 144228 0
"195802" 373090 227196 145893 0
"195803" 376338 228168 148170 0
"195804" 378101 229474 148627 0
"195901" 379147 229814 149334 0
"195902" 378470 230177 148293 0
"195903" 377788 229979 147808 0
"195904" 378788 230699 148089 0
"196001" 381409 232992 148418 0
"196002" 382290 235253 147037 0
"196003" 385269 237228 148041 0
"196004" 388749 239503 149246 0
"196101" 391274 240923 150351 0
"196102" 394806 244778 150028 0
"196103" 399824 247760 152064 0
"196104" 405285 250711 154574 0
"196201" 410429 253750 156680 0
"196202" 413057 256912 156145 0
"196203" 417498 259466 158031 0
"196204" 421515 262359 159156 0
"196301" 423227 263498 159729 0
"196302" 422381 263951 158430 0
"196303" 421073 262812 158261 0
"196304" 426078 264579 161499 0
"196401" 426300 265061 161239 0
"196402" 431135 270595 160540 0
"196403" 435766 272663 163104 0
"196404" 445012 278950 166062 0
"196501" 449583 281124 168459 0
"196502" 454399 283342 171057 0
"196503" 457715 284683 173032 0
"196504" 471071 292715 178356 0
"196601" 472846 292577 180269 0
"196602" 486443 305041 181402 0
"196603" 493541 308335 185206 0
"196604" 504250 317969 186282 0
"196701" 507645 320741 186904 0
"196702" 512329 323339 188990 0
"196703" 518255 327287 190968 0
"196704" 528780 334797 193982 0
"196801" 541214 342979 198235 0
"196802" 549520 349188 200332 0
"196803" 556068 353472 202596 0
"196804" 573116 368173 204942 0
"196901" 583320 376214 207107 0
"196902" 591917 382584 209333 0
"196903" 595878 386294 209584 0
"196904" 606685 393885 212799 0
"197001" 615624 400446 215178 0
"197002" 633134 416955 216179 0
"197003" 627493 410819 216674 0
"197004" 636713 418996 217718 0
"197101" 658048 433387 224661 0
"197102" 673456 445074 228382 0
"197103" 688208 456918 231289 0
"197104" 702258 466037 236221 0
"197201" 726007 481046 244962 0
"197202" 738168 488127 250042 0
"197203" 757069 500808 256261 0
"197204" 782941 515701 267240 0
"197301" 808212 525850 282106 257
"197302" 840953 540805 299642 506
"197303" 884097 565302 318060 735
"197304" 917738 585566 331222 950
"197401" 935465 600046 334273 1146
"197402" 954055 618488 334224 1343
"197403" 996358 643045 351784 1530
"197404" 1028273 668154 358413 1706
"197501" 1059360 687443 370088 1829
"197502" 1086803 701644 383238 1921
"197503" 1105666 709183 394469 2015
"197504" 1127852 721595 404122 2135
"197601" 1144465 728030 414599 1837
"197602" 1184957 753902 429194 1861
"197603" 1214247 771542 440905 1799
"197604" 1257328 790161 465224 1943
"197701" 1291568 814744 475021 1803
"197702" 1325884 842836 481120 1927
"197703" 1369199 876451 490870 1877
"197704" 1420309 906131 512467 1711
"197801" 1479831 937905 540067 1858
"197802" 1537712 973367 562408 1937
"197803" 1589892 1004903 582906 2082
"197804" 1651070 1036349 612748 1973
"197901" 1721238 1070962 648211 2065
"197902" 1787061 1115336 669411 2315
"197903" 1853943 1161025 690423 2495
"197904" 1916264 1198781 714789 2694
"198001" 1962819 1237284 724295 1240
"198002" 2020264 1278066 740570 1628
"198003" 2083297 1322845 758912 1540
"198004" 2157711 1375656 780132 1923
"198101" 2205158 1425544 777504 2110
"198102" 2245624 1469538 773854 2232
"198103" 2274203 1505839 766360 2005
"198104" 2315580 1545779 767863 1938
"198201" 2346276 1578735 765648 1893
"198202" 2358993 1601401 755648 1943
"198203" 2353701 1613592 737987 2123
"198204" 2360157 1619836 737790 2531
"198301" 2390164 1639897 747589 2678
"198302" 2388072 1646987 738193 2892
"198303" 2395966 1663961 729111 2894
"198304" 2420553 1685833 731639 3081
"198401" 2425123 1711693 710396 3033
"198402" 2415224 1728493 684040 2692
"198403" 2413773 1752402 658249 3122
"198404" 2419804 1767236 649500 3068
"198501" 2419543 1785277 630865 3401
"198502" 2407021 1797106 606266 3650
"198503" 2424585 1828401 592349 3836
"198504" 2489135 1877728 607547 3861
"198601" 2531770 1929194 598182 4394
"198602" 2551373 1957981 588230 5163
"198603" 2584975 1999475 580331 5169
"198604" 2612210 2033584 573081 5545
"198701" 2625148 2035346 583806 5996
"198702" 2644548 2049744 589057 5747
"198703" 2663300 2063201 594204 5895
"198704" 2703552 2094958 603319 5274
"198801" 2751507 2132822 613080 5605
"198802" 2788279 2163042 619149 6089
"198803" 2814744 2183361 625494 5889
"198804" 2843805 2208979 629193 5632
"198901" 2886267 2242085 638402 5779
"198902" 2920439 2272323 642806 5310
"198903" 2935156 2286169 643393 5593
"198904" 2957364 2300865 651786 4712
"199001" 2945912 2281754 659534 4624
"199002" 2958450 2290398 663628 4424
"199003" 2981128 2307522 669457 4149
"199004" 2991848 2312172 675714 3962
"199101" 2998110 2313189 680724 4197
"199102" 2985324 2305431 675600 4294
"199103" 2965399 2290967 669804 4629
"199104" 2957716 2282109 670916 4691
"199201" 2960843 2274457 681686 4700
"199202" 2939747 2250455 684716 4576
"199203" 2947117 2252590 689484 5042
"199204" 2942674 2243733 693879 5062
"199301" 2979578 2265713 707905 5959
"199302" 3013644 2295638 712345 5661
"199303" 3051232 2328718 716119 6396
"199304" 3088100 2357572 724332 6195
"199401" 3149724 2408532 735016 6175
"199402" 3214467 2473401 735501 5565
"199403" 3250993 2505288 740100 5605
"199404" 3299119 2545596 748446 5076
"199501" 3338113 2575726 757066 5321
"199502" 3375917 2610079 760737 5101
"199503" 3431929 2662519 763611 5799
"199504" 3480204 2702222 772607 5375
"199601" 3516054 2733152 776945 5957
"199602" 3583490 2788521 789142 5827
"199603" 3632959 2829149 797617 6194
"199604" 3714625 2879813 828304 6507
"199701" 3784074 2936875 839749 7451
"199702" 3840249 2988269 843447 8533
"199703" 3893086 3033118 850447 9520
"199704" 3967636 3100152 858032 9452
"199801" 4027946 3154216 863708 10023
"199802" 4116046 3245581 860671 9794
"199803" 4174927 3304377 861025 9525
"199804" 4235597 3357304 868732 9561
"199901" 4287463 3396252 881797 9414
"199902" 4344346 3447815 886620 9911
"199903" 4387584 3483627 893881 10076
"199904" 4447417 3529662 906209 11546
"200001" 4552208 3617083 923605 11520
"200002" 4677908 3734148 931558 12202
"200003" 4783308 3831198 940265 11845
"200004" 4877428 3904851 960921 11655
"200101" 4940615 3951886 975288 13441
"200102" 4977650 3983883 979054 14713
"200103" 5023712 4026258 982370 15084
"200104" 5034913 4043884 984851 6178
"200201" 5064993 4062328 997428 5237
"200202" 5131569 4127543 998061 5965
"200203" 5209281 4197474 1005757 6050
"200204" 5240611 4256941 978720 4950
"200301" 5385183 4369789 1003488 11906
"200302" 5516238 4475370 1028312 12556
"200303" 5684337 4607545 1064112 12680
"200304" 5848115 4745728 1089436 12951
"200401" 6049066 4907980 1129188 11898
"200402" 6287805 5104842 1171308 11655
"200403" 6503537 5290519 1200752 12267
"200404" 6735453 5488156 1236103 11194
"200501" 7108493 5826538 1270418 11538
"200502" 7518696 6207211 1299888 11598
"200503" 8065522 6716750 1337047 11725
"200504" 8335799 6948189 1375895 11715
"200601" 8627980 7219490 1395946 12544
"200602" 8587642 7153434 1421759 12448
"200603" 8634920 7167774 1454635 12510
"200604" 8792921 7301802 1481310 9809
"200701" 8771630 7245636 1514037 11957
"200702" 8931197 7384457 1534452 12288
"200703" 8937235 7362078 1562795 12362
"200704" 8760522 7160874 1588022 11626
"200801" 8504834 6916272 1578043 10519
"200802" 8183300 6600661 1572674 9965
"200803" 7938585 6380938 1549502 8146
"200804" 7319346 5793549 1516329 9468
"200901" 6885679 5357616 1513242 14820
"200902" 6647151 5123670 1509781 13700
"200903" 6603895 5083102 1507152 13641
"200904" 6374502 4850288 1512077 12137
"201001" 6456198 4914756 1528872 12570
"201002" 6614913 5065556 1536689 12668
"201003" 6513325 4932847 1567135 13343
