"DATES" "FL794104005.Q" "FL793169175.Q" "FL403161705.Q" "FL413065005.Q" "FL793163005.Q" "FL693168005.Q" "FL793169005.Q" "FL643165005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q"
"195201" 9337 1781 1941 45 1558 3423 589 0 9337 463 370 93 0 659 0 0 1941 45 0 6229 0 0 0
"195202" 9871 1923 2038 47 1640 3570 653 0 9871 420 336 84 0 724 0 0 2038 47 0 6642 0 0 0
"195203" 10303 2090 2128 50 1612 3708 715 0 10303 459 367 92 0 793 0 0 2128 50 0 6873 0 0 0
"195204" 11060 1915 2102 53 1682 4444 864 0 11060 497 398 99 0 953 0 0 2102 53 0 7455 0 0 0
"195301" 11043 2070 1996 55 2075 4236 611 0 11043 460 368 92 0 679 0 0 1996 55 0 7853 0 0 0
"195302" 11688 1951 2010 56 2624 4329 718 0 11688 432 346 86 0 789 0 0 2010 56 0 8401 0 0 0
"195303" 12553 2229 2127 58 2911 4427 801 0 12553 520 416 104 0 875 0 0 2127 58 0 8973 0 0 0
"195304" 12656 2222 2099 60 3057 4266 952 0 12656 579 463 116 0 1034 0 0 2099 60 0 8884 0 0 0
"195401" 12055 2454 1871 61 3092 3947 630 0 12055 586 469 117 0 700 0 0 1871 61 0 8837 0 0 0
"195402" 12278 2355 1967 62 3124 4095 675 0 12278 595 476 119 0 755 0 0 1967 62 0 8899 0 0 0
"195403" 12165 2331 2092 70 2930 4053 689 0 12165 615 492 123 0 773 0 0 2092 70 0 8615 0 0 0
"195404" 12281 2373 2064 78 2759 4140 867 0 12281 882 706 176 0 962 0 0 2064 78 0 8295 0 0 0
"195501" 12616 2612 2045 86 2852 4319 702 0 12616 815 652 163 0 776 0 0 2045 86 0 8894 0 0 0
"195502" 13527 2667 2361 95 2775 4612 1017 0 13527 662 530 132 0 1115 0 0 2361 95 0 9294 0 0 0
"195503" 14591 2649 2602 105 2944 5000 1291 0 14591 678 542 136 0 1416 0 0 2618 105 0 9774 0 0 0
"195504" 15266 2387 3005 116 3156 5119 1483 0 15266 648 518 130 0 1564 0 0 3071 116 0 9867 0 0 0
"195601" 16175 2964 3111 127 3724 5085 1164 0 16175 667 534 133 0 1236 0 0 3137 127 0 11008 0 0 0
"195602" 16796 2932 3316 138 3954 5189 1267 0 16796 691 553 138 0 1282 0 0 3410 138 0 11275 0 0 0
"195603" 17515 3000 3559 143 4192 5381 1240 0 17515 813 650 163 0 1267 0 0 3657 143 0 11635 0 0 0
"195604" 17884 2849 3448 149 4459 5390 1589 0 17884 977 782 195 0 1350 0 0 3809 149 0 11599 0 0 0
"195701" 18654 3440 3845 157 4893 5147 1172 0 18654 1029 823 206 0 1051 0 0 4056 157 0 12361 0 0 0
"195702" 19069 3195 4446 166 5107 5073 1082 0 19069 989 791 198 0 1183 0 0 4449 166 0 12282 0 0 0
"195703" 20137 3481 4635 170 5532 5082 1237 0 20137 1209 967 242 0 1230 0 0 4753 170 0 12775 0 0 0
"195704" 20766 3644 4848 173 5696 5059 1346 0 20766 1320 1056 264 0 1381 0 0 4929 173 0 12963 0 0 0
"195801" 21168 4436 4728 175 5976 5150 703 0 21168 1544 1235 309 0 789 0 0 4735 175 0 13925 0 0 0
"195802" 20965 4082 4625 177 5874 5278 929 0 20965 1366 1093 273 0 1036 0 0 4625 177 0 13761 0 0 0
"195803" 20383 3778 4840 183 5542 5011 1029 0 20383 1294 1035 259 0 1136 0 0 4859 183 0 12911 0 0 0
"195804" 20969 3395 4925 190 5554 5547 1358 0 20969 1206 965 241 0 1445 0 0 4985 190 0 13143 0 0 0
"195901" 21948 3792 5041 195 5716 6032 1172 0 21948 1065 852 213 0 1205 0 0 5126 195 0 14357 0 0 0
"195902" 24239 4036 5910 201 5917 6596 1579 0 24239 993 794 199 0 1676 0 0 5952 201 0 15417 0 0 0
"195903" 26019 3885 6722 202 6238 7142 1830 0 26019 964 771 193 0 1974 0 0 6757 202 0 16122 0 0 0
"195904" 27690 4050 7120 203 6544 7500 2273 0 27690 1163 930 233 0 2387 0 0 7259 203 0 16678 0 0 0
"196001" 29522 5448 6956 204 7812 7350 1752 0 29522 1380 1104 276 0 1690 0 0 7188 204 0 19060 0 0 0
"196002" 30907 5476 7610 206 8436 7409 1770 0 30907 1396 1117 279 0 1941 0 0 7610 206 0 19754 0 0 0
"196003" 31215 5631 7726 204 9052 6810 1792 0 31215 1685 1348 337 0 1888 0 0 7782 204 0 19656 0 0 0
"196004" 32545 5775 7860 201 9780 6911 2018 0 32545 2047 1638 409 0 2199 0 0 7897 201 0 20201 0 0 0
"196101" 31405 6708 7378 201 10230 5398 1490 0 31405 2253 1802 451 0 1628 0 0 7391 201 0 19932 0 0 0
"196102" 32059 6504 7715 200 10462 5309 1869 0 32059 2294 1835 459 0 2029 0 0 7715 200 0 19821 0 0 0
"196103" 32890 6304 8213 244 10382 5614 2133 0 32890 2446 1957 489 0 2289 0 0 8222 244 0 19689 0 0 0
"196104" 34880 6302 8474 290 10502 6546 2766 0 34880 2710 2168 542 0 2858 0 0 8578 290 0 20444 0 0 0
"196201" 34516 7107 8851 312 10672 5379 2195 0 34516 2523 2018 505 0 2298 0 0 8895 312 0 20488 0 0 0
"196202" 36049 7138 9188 336 10513 6107 2767 0 36049 2365 1892 473 0 2887 0 0 9188 336 0 21273 0 0 0
"196203" 37271 7518 9740 373 10314 6246 3080 0 37271 2304 1843 461 0 3163 0 0 9774 373 0 21657 0 0 0
"196204" 39433 7478 9988 413 10833 7153 3568 0 39433 2676 2141 535 0 3633 0 0 10077 413 0 22634 0 0 0
"196301" 38234 8502 9123 453 11245 6334 2577 0 38234 2615 2092 523 0 2609 0 0 9186 453 0 23371 0 0 0
"196302" 41012 8990 10028 495 11227 7002 3270 0 41012 2724 2179 545 0 3442 0 0 10028 495 0 24323 0 0 0
"196303" 43058 8811 10700 509 11402 7612 4024 0 43058 2771 2224 547 0 4219 0 0 10700 509 0 24859 0 0 0
"196304" 46630 8741 11524 525 12384 8672 4784 0 46630 3152 2568 584 0 5028 0 0 11524 525 0 26401 0 0 0
"196401" 46498 9975 10953 551 13475 7376 4168 0 46498 3553 2926 627 0 4336 0 0 10953 551 0 27105 0 0 0
"196402" 50111 10387 11685 581 14040 8645 4773 0 50111 3713 3077 636 0 4998 0 0 11689 581 0 29130 0 0 0
"196403" 50715 10654 11795 602 14625 8068 4971 0 50715 3884 3243 641 0 5081 0 0 11929 602 0 29219 0 0 0
"196404" 52951 10736 11937 624 15525 8673 5456 0 52951 4192 3508 684 0 5610 0 0 12068 624 0 30457 0 0 0
"196501" 53296 11688 12056 676 16015 8087 4774 0 53296 4251 3579 672 0 4953 0 0 12083 676 0 31333 0 0 0
"196502" 57836 12164 13234 730 16081 10041 5586 0 57836 4879 4201 678 0 5901 0 0 13234 730 0 33092 0 0 0
"196503" 59238 12284 13725 797 15885 10616 5931 0 59238 4864 4195 669 0 6185 0 0 13854 797 0 33538 0 0 0
"196504" 61872 11929 13846 869 16730 12165 6333 0 61872 5016 4331 685 0 6456 0 0 14182 869 0 35349 0 0 0
"196601" 63728 13636 14810 949 17121 11287 5925 0 63728 5055 4371 684 0 6079 0 0 15048 949 0 36597 0 0 0
"196602" 68980 13684 17380 1033 17438 12662 6783 0 68980 5148 4457 691 0 7350 0 0 17380 1033 0 38069 0 0 0
"196603" 69892 14061 18111 1167 17862 11115 7576 0 69892 5098 4417 681 0 7705 0 0 18512 1167 0 37410 0 0 0
"196604" 72854 15662 18904 1314 18330 11606 7038 0 72854 5333 4605 728 0 7467 0 0 19007 1314 0 39733 0 0 0
"196701" 70708 17557 18258 1480 18630 9552 5231 0 70708 5638 4890 748 0 5442 0 0 18314 1480 0 39834 0 0 0
"196702" 69946 17537 17613 1660 18263 10571 4302 0 69946 6092 5258 834 0 4562 0 0 17613 1660 0 40019 0 0 0
"196703" 70493 17677 17410 1821 18471 10495 4619 0 70493 6142 5305 837 0 4384 0 0 17907 1821 0 40239 0 0 0
"196704" 73573 18411 18350 1988 19298 11104 4422 0 73573 6323 5451 872 0 4778 0 0 18386 1988 0 42098 0 0 0
"196801" 74575 20024 19462 2169 19448 9101 4331 40 74575 6342 5466 876 0 4558 0 0 19524 2169 0 41837 145 0 0
"196802" 78971 20440 20856 2359 19447 10844 4945 80 78971 6468 5602 866 0 5248 0 0 20912 2359 0 43697 287 0 0
"196803" 79304 20418 21011 2444 19385 10566 5320 160 79304 6592 5718 874 0 5368 0 0 21305 2444 0 43100 495 0 0
"196804" 83982 21396 21579 2526 19895 12844 5542 200 83982 6693 5799 894 0 5718 0 0 21862 2526 0 46417 766 0 0
"196901" 86116 24053 22728 2616 19255 11776 5331 357 86116 6806 5704 902 200 5679 0 0 22728 2616 0 47305 982 0 0
"196902" 94275 26817 25059 2701 18802 14115 6413 368 94275 8183 5952 986 1245 6797 0 0 25059 2701 0 50437 1098 0 0
"196903" 100945 29985 27756 2949 19644 12293 7940 378 100945 9894 6242 1057 2595 8354 0 0 27756 2949 0 50754 1238 0 0
"196904" 111544 32750 30645 3204 20927 14299 9289 430 111544 11837 6442 1101 4294 9816 0 0 30645 3204 0 54562 1480 0 0
"197001" 117945 36646 34278 3499 20527 12817 9745 433 117945 14881 6385 1081 7415 10097 0 0 34278 3499 0 53664 1526 0 0
"197002" 124554 38090 35822 3713 20813 15432 10236 448 124554 16707 6919 1207 8581 10577 0 0 35822 3713 0 55990 1745 0 0
"197003" 123231 33786 37415 4132 21484 15369 10525 520 123231 13688 6835 1181 5672 10822 0 0 37415 4132 0 55360 1814 0 0
"197004" 127763 33067 38879 4755 23468 16433 10615 546 127763 12713 7838 1426 3449 11038 0 0 38879 4755 0 58199 2179 0 0
"197101" 127028 31607 37848 5957 25053 16291 9690 582 127028 13606 8346 1449 3811 9937 0 0 37848 5957 0 57095 2585 0 0
"197102" 128026 31767 36924 7572 25524 18382 7241 616 128026 14210 8815 1544 3851 7901 0 0 36924 7572 0 58408 3011 0 0
"197103" 131000 32477 38635 8369 26530 16719 7637 633 131000 15046 9358 1646 4042 8402 0 0 38635 8369 0 57093 3455 0 0
"197104" 138851 33847 40021 9516 28205 18646 7936 680 138851 15169 9364 1594 4211 9021 0 0 40021 9516 0 61013 4111 0 0
"197201" 140542 34142 40451 10542 29941 18745 5992 729 140542 16394 9938 1613 4843 6741 0 0 40451 10542 0 61117 5297 0 0
"197202" 145917 33380 41885 11748 31703 20195 6075 931 145917 15942 9335 1428 5179 7239 0 0 41885 11748 0 62740 6363 0 0
"197203" 150180 32919 42553 12815 33141 20973 6736 1043 150180 16534 9094 1334 6106 8029 0 0 42553 12815 0 63113 7136 0 0
"197204" 162790 34720 43542 14404 35622 25373 7979 1150 162790 17883 9701 1393 6789 9501 0 0 43542 14404 0 68710 8750 0 0
"197301" 168759 35109 45546 15160 37331 25919 8420 1274 168759 18903 9601 1386 7916 9918 0 0 45546 15160 0 69303 9929 0 0
"197302" 184207 37063 50584 16615 37868 29520 11145 1412 184207 20224 9806 1462 8956 12807 0 0 50584 16615 0 72733 11244 0 0
"197303" 197952 39558 56671 17057 39093 29858 14298 1417 197952 22280 10542 1650 10088 16191 0 0 56671 17057 0 73193 12560 0 0
"197304" 209781 41672 59837 18040 41014 32621 15147 1450 209781 23075 11320 1796 9959 17068 0 0 59837 18040 0 78066 13695 0 0
"197401" 214850 45708 59877 19709 41121 31922 14995 1518 214850 25843 12414 2054 11375 16582 0 0 59877 19709 0 78454 14385 0 0
"197402" 229607 48184 65391 20132 42522 34209 17642 1527 229607 30177 14955 2661 12561 19505 0 0 65391 20132 0 80615 13787 0 0
"197403" 246914 52702 73048 20537 44469 33721 20882 1555 246914 35002 17256 3239 14507 22984 0 0 73158 20537 0 81340 13893 0 0
"197404" 258296 55119 76439 21458 47941 33260 22499 1580 258296 37351 19225 3734 14392 23276 0 0 77134 21458 0 85108 13969 0 0
"197501" 253477 55480 76072 24420 48929 27881 19117 1578 253477 38286 19454 3783 15049 19067 0 0 77025 24420 0 81439 13240 0 0
"197502" 252089 54637 76022 25603 49081 27146 18050 1550 252089 36938 18681 3583 14674 17864 0 0 77269 25603 0 82816 11599 0 0
