"DATES" "FL894104005.Q" "FL893169175.Q" "FL313161505.Q" "FL893161705.Q" "FL253162005.Q" "FL893163005.Q" "FL893168005.Q" "FL893169005.Q" "FL893065005.Q" "FL153166000.Q" "FL893064105.Q" "FL654090005.Q"
"195201" 452386 2109 214441 2194 25016 45869 31161 22550 84449 24597 170033 3612
"195202" 461312 2227 214041 2138 27480 47470 31203 23058 86817 26878 177569 3696
"195203" 471623 2436 216889 2579 28695 48486 31739 23593 89241 27965 177773 3837
"195204" 484881 2246 220792 2781 29657 49605 33460 24271 91547 30522 168555 3932
"195301" 487071 2440 217712 2779 31221 50809 33197 24346 93666 30901 165387 3867
"195302" 494643 2248 217839 2349 32379 52246 33150 25225 96535 32672 155600 3778
"195303" 508018 2576 224281 2610 33795 53018 33384 25965 99035 33354 151067 3753
"195304" 516899 2624 226185 4412 35012 54383 32160 26137 101372 34614 164584 4146
"195401" 515024 2979 221621 4843 36516 55366 31636 25986 103333 32744 178055 4512
"195402" 520464 2839 221460 4031 37866 56270 31289 25772 106931 34006 196162 4895
"195403" 528225 2915 224748 2699 39376 57253 31648 25642 109702 34242 217910 5469
"195404" 542025 2904 228498 4480 40663 57570 32202 26221 113524 35963 224300 6110
"195501" 544096 3112 224138 4726 42155 58077 32876 26111 117199 35702 232079 6525
"195502" 554500 3047 223181 4006 43267 58666 35159 26822 121597 38755 258468 7186
"195503" 566623 3020 225369 3615 44668 59269 37228 27074 125837 40543 276004 7257
"195504" 582326 2749 228418 4732 45697 60791 39583 27642 129765 42949 281765 7839
"195601" 585015 3326 224121 4855 46932 61871 40663 27800 133196 42251 302590 8555
"195602" 590097 3221 218822 4605 47853 63142 42766 28150 137257 44281 292672 8613
"195603" 598853 3401 219714 4619 49038 64521 43558 27983 141041 44978 286758 8506
"195604" 611787 3227 222772 4953 49862 65880 45244 28881 144388 46580 307024 9046
"195701" 616521 3793 221089 5380 50925 68001 45450 29411 147230 45242 291995 9106
"195702" 620403 3515 215197 5538 51836 69806 47554 29546 150188 47223 313429 9687
"195703" 632314 3845 219321 5509 53192 71775 47116 30040 153545 47971 284196 9001
"195704" 643033 4066 220119 6700 54369 73584 47284 31110 156584 49217 279633 8714
"195801" 645315 5152 218406 7178 55829 76000 45277 31419 159279 46775 297466 9463
"195802" 654369 4873 221544 6024 56972 77318 45486 31596 162852 47704 316492 10610
"195803" 661800 4573 221940 6314 58513 78520 45258 31581 167161 47940 351866 11791
"195804" 681959 4053 228964 6713 59819 80003 48140 32757 172020 49490 370936 13242
"195901" 688658 4444 228750 6550 61397 80926 47923 33545 176132 48991 380046 14132
"195902" 705203 4494 229246 7137 62655 82054 51432 35039 181268 51878 396439 14973
"195903" 721878 4412 233199 7863 64594 83073 53131 35292 186396 53918 390321 14747
"195904" 739030 4365 236220 8272 65661 84545 55353 36328 191073 57213 413667 15818
"196001" 743537 5875 232352 8138 67248 86514 55249 37509 194895 55757 389055 15312
"196002" 755365 6023 229995 8769 68353 88154 57161 39046 199242 58622 399948 16097
"196003" 765214 6413 231859 8322 69924 89628 56199 39229 204050 59590 371099 15640
"196004" 780495 6544 234042 8749 70971 91780 58280 40526 208355 61248 420273 17026
"196101" 781683 7331 231760 8513 72420 92676 56554 40887 212203 59339 470438 19440
"196102" 792944 7230 232089 8571 73250 95034 57660 41408 217105 60597 471181 20003
"196103" 808152 7321 237420 8893 75018 95728 57718 42232 222740 61082 484154 21007
"196104" 828772 7396 240701 9759 76349 97334 60897 43983 228918 63435 521094 22875
"196201" 835937 8238 241030 10457 78037 98531 59956 44399 233251 62038 510450 23048
"196202" 852433 8230 240747 10871 79203 100231 62489 45846 239381 65435 390218 18436
"196203" 864455 8881 241789 10861 80552 100703 63412 45892 245739 66626 412673 19088
"196204" 888365 8676 246773 11939 81800 102691 67089 47666 252387 69344 503823 21271
"196301" 895534 9716 247224 11315 82976 104533 65205 48238 257392 68935 532830 22549
"196302" 915366 9977 247048 12012 84724 106138 68394 50260 264596 72217 558992 23693
"196303" 928827 9922 247312 12145 85899 106914 69144 51116 272013 74362 582272 24496
"196304" 954452 9709 250685 13416 87040 109006 74285 53237 279204 77870 558475 25215
"196401" 963659 10923 250961 12740 88177 110663 72654 54675 284825 78041 593215 26881
"196402" 985025 11276 249477 13630 89948 112651 77093 56988 292150 81812 612252 27682
"196403" 1002111 11735 252366 13574 91760 113888 77090 57836 299720 84142 633228 29131
"196404" 1028822 11861 255852 14783 93160 116608 82659 59566 306981 87352 647246 29116
"196501" 1041896 12535 255616 15040 94661 118122 84849 60749 312679 87645 663263 30465
"196502" 1063594 12891 252438 15930 96858 119857 89977 63441 319959 92243 637854 30037
"196503" 1078514 13210 251156 16790 98905 121496 91540 63683 327343 94391 693718 32825
"196504" 1107340 12726 257013 17385 100397 123125 98778 65969 334458 97489 734923 35220
"196601" 1123517 14456 257117 18869 101842 126838 98217 67876 341206 97096 714419 36173
"196602" 1148620 14545 251276 23042 104141 129857 106728 70455 348371 100205 685683 35429
"196603" 1162449 15527 253273 23200 105524 132821 105632 71464 354019 100989 615709 32224
"196604" 1187819 17284 259316 24243 106633 135674 109605 73158 358484 103422 660424 34829
"196701" 1197275 20234 260390 25227 107874 139406 106894 74092 361810 101348 747328 39280
"196702" 1209215 20779 250713 26373 110195 142895 112255 74478 367396 104131 759549 40429
"196703" 1231841 20941 259277 26150 112319 148001 109952 75004 374653 105544 809759 43249
"196704" 1268372 21445 268170 28518 113793 152516 117038 76387 381938 108567 835107 44308
"196801" 1285918 23506 273511 30168 115278 155571 113543 79165 387904 107272 776014 41949
"196802" 1311478 23840 268923 32673 117323 159158 121099 81755 395303 111404 884503 47493
"196803" 1336944 25346 275665 33932 119319 162631 120302 82619 402970 114160 901429 49914
"196804" 1373395 25645 277597 35445 122132 167090 130366 84532 411264 119324 996085 51232
"196901" 1390498 28933 277439 36896 125803 170204 129501 86888 415950 118884 946300 50339
"196902" 1417926 31731 265455 38803 129343 173237 139500 92075 424107 123675 907895 48052
"196903" 1449593 35763 271648 40084 132054 177218 138726 96357 431930 125813 882607 47940
"196904" 1491168 38106 276827 42885 133518 181125 148318 101361 439797 129231 840609 47588
"197001" 1507652 43690 279213 46361 135658 184076 144726 104392 442873 126663 815012 48369
"197002" 1536063 44985 273568 47633 138998 190032 152825 108108 450493 129421 648418 39201
"197003" 1561774 41147 281041 49546 141582 196459 151413 108950 460212 131424 755152 44172
