"DATES" "FL344090005.Q" "FL344004005.Q" "FL343061105.Q" "FL343061705.Q" "FL343063005.Q" "FL343064105.Q" "FL343150005.Q" "FL344090005.Q"
"195201" 7552 0 0 0 0 0 7552 7552
"195202" 7938 0 0 0 0 0 7938 7938
"195203" 8363 0 0 0 0 0 8363 8363
"195204" 8411 0 0 0 0 0 8411 8411
"195301" 8471 0 0 0 0 0 8471 8471
"195302" 8804 0 0 0 0 0 8804 8804
"195303" 8902 0 0 0 0 0 8902 8902
"195304" 8941 0 0 0 0 0 8941 8941
"195401" 8961 0 0 0 0 0 8961 8961
"195402" 9273 0 0 0 0 0 9273 9273
"195403" 9281 0 0 0 0 0 9281 9281
"195404" 9359 0 0 0 0 0 9359 9359
"195501" 9347 0 0 0 0 0 9347 9347
"195502" 9702 0 0 0 0 0 9702 9702
"195503" 9975 0 0 0 0 0 9975 9975
"195504" 10048 0 0 0 0 0 10048 10048
"195601" 10061 0 0 0 0 0 10061 10061
"195602" 10377 0 0 0 0 0 10377 10377
"195603" 10918 0 0 0 0 0 10918 10918
"195604" 10911 0 0 0 0 0 10911 10911
"195701" 10924 0 0 0 0 0 10924 10924
"195702" 11224 0 0 0 0 0 11224 11224
"195703" 11270 0 0 0 0 0 11270 11270
"195704" 11346 0 0 0 0 0 11346 11346
"195801" 11511 0 0 0 0 0 11511 11511
"195802" 11859 0 0 0 0 0 11859 11859
"195803" 12170 0 0 0 0 0 12170 12170
"195804" 12280 0 0 0 0 0 12280 12280
"195901" 12413 0 0 0 0 0 12413 12413
"195902" 12798 0 0 0 0 0 12798 12798
"195903" 13121 0 0 0 0 0 13121 13121
"195904" 13164 0 0 0 0 0 13164 13164
"196001" 13251 0 0 0 0 0 13251 13251
"196002" 13936 0 0 0 0 0 13936 13936
"196003" 14038 0 0 0 0 0 14038 14038
"196004" 14090 0 0 0 0 0 14090 14090
"196101" 14141 0 0 0 0 0 14141 14141
"196102" 14927 0 0 0 0 0 14927 14927
"196103" 14996 0 0 0 0 0 14996 14996
"196104" 15006 0 0 0 0 0 15006 15006
"196201" 15054 0 0 0 0 0 15054 15054
"196202" 15908 0 0 0 0 0 15908 15908
"196203" 15923 0 0 0 0 0 15923 15923
"196204" 15999 0 0 0 0 0 15999 15999
"196301" 16048 0 0 0 0 0 16048 16048
"196302" 17000 0 0 0 0 0 17000 17000
"196303" 17073 0 0 0 0 0 17073 17073
"196304" 17160 0 0 0 0 0 17160 17160
"196401" 17268 0 0 0 0 0 17268 17268
"196402" 18179 0 0 0 0 0 18179 18179
"196403" 18348 0 0 0 0 0 18348 18348
"196404" 18409 0 0 0 0 0 18409 18409
"196501" 18480 0 0 0 0 0 18480 18480
"196502" 19550 0 0 0 0 0 19550 19550
"196503" 19728 0 0 0 0 0 19728 19728
"196504" 19724 0 0 0 0 0 19724 19724
"196601" 19747 0 0 0 0 0 19747 19747
"196602" 20835 0 0 0 0 0 20835 20835
"196603" 20935 0 0 0 0 0 20935 20935
"196604" 20977 0 0 0 0 0 20977 20977
"196701" 20925 0 0 0 0 0 20925 20925
"196702" 22043 0 0 0 0 0 22043 22043
"196703" 22074 0 0 0 0 0 22074 22074
"196704" 22292 0 0 0 0 0 22292 22292
"196801" 22334 0 0 0 0 0 22334 22334
"196802" 23603 0 0 0 0 0 23603 23603
"196803" 23594 0 0 0 0 0 23594 23594
"196804" 23628 0 0 0 0 0 23628 23628
"196901" 23755 0 0 0 0 0 23755 23755
"196902" 24871 0 0 0 0 0 24871 24871
"196903" 25176 0 0 0 0 0 25176 25176
"196904" 25147 0 0 0 0 0 25147 25147
"197001" 25185 0 0 0 0 0 25185 25185
"197002" 26910 0 0 0 0 0 26910 26910
"197003" 27046 0 0 0 0 0 27046 27046
"197004" 27528 0 0 0 0 0 27528 27528
"197101" 27726 0 0 0 0 0 27726 27726
"197102" 29583 0 0 0 0 0 29583 29583
"197103" 29814 0 0 0 0 0 29814 29814
"197104" 30371 0 0 0 0 0 30371 30371
"197201" 30289 0 0 0 0 0 30289 30289
"197202" 32423 0 0 0 0 0 32423 32423
"197203" 32693 0 0 0 0 0 32693 32693
"197204" 33364 0 0 0 0 0 33364 33364
"197301" 33182 0 0 0 0 0 33182 33182
