"DATES" "FL654090005.Q" "FL652050003.Q" "FL654004005.Q" "FL653069100.Q" "FL653061105.Q" "FL653061703.Q" "FL653062003.Q" "FL653063005.Q" "FL653069803.Q" "FL653064100.Q" "FL653093003.Q" "FL654090005.Q"
"195201" 3612 77 501 77 137 0 0 287 0 3034 0 3612
"195202" 3696 66 510 66 141 0 0 303 0 3120 0 3696
"195203" 3837 60 516 60 144 0 0 312 0 3261 0 3837
"195204" 3932 67 539 67 130 0 0 342 0 3326 0 3932
"195301" 3867 70 542 70 140 0 0 332 0 3255 0 3867
"195302" 3778 61 520 61 134 0 0 325 0 3197 0 3778
"195303" 3753 59 524 59 141 0 0 324 0 3170 0 3753
"195304" 4146 78 547 78 129 0 0 340 0 3521 0 4146
"195401" 4512 74 595 74 148 0 0 373 0 3843 0 4512
"195402" 4895 69 608 69 137 0 0 402 0 4218 0 4895
"195403" 5469 72 648 72 143 0 0 433 0 4749 0 5469
"195404" 6110 78 671 78 154 0 0 439 0 5361 0 6110
"195501" 6525 95 677 95 152 0 0 430 0 5753 0 6525
"195502" 7186 92 728 92 179 0 0 457 0 6366 0 7186
"195503" 7257 104 795 104 233 0 0 458 0 6358 0 7257
"195504" 7839 92 820 92 255 0 0 473 0 6927 0 7839
"195601" 8555 135 916 135 238 0 0 543 0 7504 0 8555
"195602" 8613 99 826 99 221 0 0 506 0 7688 0 8613
"195603" 8506 120 1025 120 265 0 0 640 0 7361 0 8506
"195604" 9046 108 1051 108 276 0 0 667 0 7887 0 9046
"195701" 9106 121 1094 121 280 0 0 693 0 7891 0 9106
"195702" 9687 126 1191 126 292 0 0 773 0 8370 0 9687
"195703" 9001 119 1166 119 291 0 0 756 0 7716 0 9001
"195704" 8714 123 1180 123 277 0 0 780 0 7411 0 8714
"195801" 9463 153 1298 153 314 0 0 831 0 8012 0 9463
"195802" 10610 183 1478 183 401 0 0 894 0 8949 0 10610
"195803" 11791 172 1477 172 356 0 0 949 0 10142 0 11791
"195804" 13242 117 1453 117 401 0 0 935 0 11672 0 13242
"195901" 14132 149 1528 149 432 0 0 947 0 12455 0 14132
"195902" 14973 151 1562 151 432 0 0 979 0 13260 0 14973
"195903" 14747 187 1699 187 517 0 0 995 0 12861 0 14747
"195904" 15818 152 1799 152 556 0 0 1091 0 13867 0 15818
"196001" 15312 180 1848 180 605 0 0 1063 0 13284 0 15312
"196002" 16097 189 1919 189 615 0 0 1115 0 13989 0 16097
"196003" 15640 209 2006 209 608 0 0 1189 0 13425 0 15640
"196004" 17026 177 2043 177 619 0 0 1247 0 14806 0 17026
"196101" 19440 240 2091 240 539 0 0 1312 0 17109 0 19440
"196102" 20003 203 2036 203 511 0 0 1322 0 17764 0 20003
"196103" 21007 256 2160 256 549 0 0 1355 0 18591 0 21007
"196104" 22875 174 2449 174 688 0 0 1587 0 20252 0 22875
"196201" 23048 316 2420 316 652 0 0 1452 0 20312 0 23048
"196202" 18436 254 2358 254 511 0 0 1593 0 15824 0 18436
"196203" 19088 273 2600 273 789 0 0 1538 0 16215 0 19088
"196204" 21271 289 2643 289 737 0 0 1617 0 18339 0 21271
"196301" 22549 316 2646 316 718 0 0 1612 0 19587 0 22549
"196302" 23693 289 2487 289 589 0 0 1609 0 20917 0 23693
"196303" 24496 286 2719 286 728 0 0 1705 0 21491 0 24496
"196304" 25215 307 2823 307 728 0 0 1788 0 22085 0 25215
"196401" 26881 290 2894 290 823 0 0 1781 0 23697 0 26881
"196402" 27682 334 3092 334 831 0 0 1927 0 24256 0 27682
"196403" 29131 263 3175 263 911 0 0 2001 0 25693 0 29131
"196404" 29116 281 3197 281 767 0 0 2149 0 25638 0 29116
"196501" 30465 387 3545 387 824 0 0 2334 0 26533 0 30465
"196502" 30037 405 3449 405 638 0 0 2406 0 26183 0 30037
