"DATES" "FL893111005.Q" "FL313111303.Q" "FL263111005.Q" "FL313011303.Q" "FL263111403.Q" "FL263111503.Q" "FL893011005.Q" "FL313011005.Q" "FL313011205.Q" "FL313011303.Q" "FL313011405.Q" "FL313011505.Q" "FL313111303.Q" "FL713011005.Q" "FL713011203.Q" "FL713011405.Q" "FL713011505.Q" "FL903011005.Q"
"195201" 1466 0 1466 0 1466 0 24894 1634 137 0 1497 0 0 23260 23291 -31 0 -23428
"195202" 1446 0 1446 0 1446 0 24979 1663 187 0 1476 0 0 23316 23346 -30 0 -23533
"195203" 1456 0 1456 0 1456 0 24982 1671 184 0 1487 0 0 23311 23342 -31 0 -23526
"195204" 1462 0 1462 0 1462 0 24714 1557 65 0 1492 0 0 23157 23187 -30 0 -23252
"195301" 1460 0 1460 0 1460 0 24109 1578 86 0 1492 0 0 22531 22563 -32 0 -22649
"195302" 1418 0 1418 0 1418 0 23939 1506 58 0 1448 0 0 22433 22463 -30 0 -22521
"195303" 1439 0 1439 0 1439 0 23659 1561 92 0 1469 0 0 22098 22128 -30 0 -22220
"195304" 1367 0 1367 0 1367 0 23458 1471 61 0 1410 0 0 21987 22030 -43 0 -22091
"195401" 1323 0 1323 0 1323 0 23358 1429 70 0 1359 0 0 21929 21965 -36 0 -22035
"195402" 1303 0 1303 0 1303 0 23330 1439 100 0 1339 0 0 21891 21927 -36 0 -22027
"195403" 1175 0 1175 0 1175 0 23038 1264 53 0 1211 0 0 21774 21810 -36 0 -21863
"195404" 1185 0 1185 0 1185 0 22978 1302 80 0 1222 0 0 21676 21713 -37 0 -21793
"195501" 1141 0 1141 0 1141 0 22904 1221 44 0 1177 0 0 21683 21719 -36 0 -21763
"195502" 1121 0 1121 0 1121 0 22851 1235 52 0 1183 0 0 21616 21678 -62 0 -21730
"195503" 1108 0 1108 0 1108 0 22853 1198 61 0 1137 0 0 21655 21684 -29 0 -21745
"195504" 1044 0 1044 0 1044 0 22797 1168 63 0 1105 0 0 21629 21690 -61 0 -21753
"195601" 1048 0 1048 0 1048 0 22813 1127 49 0 1078 0 0 21686 21716 -30 0 -21765
"195602" 979 0 979 0 979 0 22847 1076 69 0 1007 0 0 21771 21799 -28 0 -21868
"195603" 1052 0 1052 0 1052 0 23084 1231 148 0 1083 0 0 21853 21884 -31 0 -22032
"195604" 1608 0 1608 0 1608 0 23666 1776 109 0 1667 0 0 21890 21949 -59 0 -22058
"195701" 1588 0 1588 0 1588 0 23994 1718 100 0 1618 0 0 22276 22306 -30 0 -22406
"195702" 1649 0 1649 0 1649 0 24381 1791 109 0 1682 0 0 22590 22623 -33 0 -22732
"195703" 1898 0 1898 0 1898 0 24657 2045 124 0 1921 0 0 22612 22635 -23 0 -22759
"195704" 1975 0 1975 0 1975 0 24832 2080 76 0 2004 0 0 22752 22781 -29 0 -22857
"195801" 2042 0 2042 0 2042 0 24529 2174 93 0 2081 0 0 22355 22394 -39 0 -22487
"195802" 2084 0 2084 0 2084 0 23496 2187 56 0 2131 0 0 21309 21356 -47 0 -21412
"195803" 2031 0 2031 0 2031 0 22960 2178 55 0 2123 0 0 20782 20874 -92 0 -20929
"195804" 1958 0 1958 0 1958 0 22540 2041 48 0 1993 0 0 20499 20534 -35 0 -20582
"195901" 1793 0 1793 0 1793 0 22279 1871 44 0 1827 0 0 20408 20442 -34 0 -20486
"195902" 2111 0 2111 0 2111 0 21857 2186 41 0 2145 0 0 19671 19705 -34 0 -19746
"195903" 2085 0 2085 0 2085 0 21664 2346 88 0 2258 0 0 19318 19491 -173 0 -19579
"195904" 1997 0 1997 0 1997 0 21504 2110 51 0 2059 0 0 19394 19456 -62 0 -19507
"196001" 1888 0 1888 0 1888 0 21345 1993 49 0 1944 0 0 19352 19408 -56 0 -19457
"196002" 1807 0 1807 0 1807 0 21170 1928 41 0 1887 0 0 19242 19322 -80 0 -19363
"196003" 1705 0 1705 0 1705 0 20430 1851 40 0 1811 0 0 18579 18685 -106 0 -18725
"196004" 1555 0 1555 0 1555 0 19359 1693 37 0 1656 0 0 17666 17767 -101 0 -17804
"196101" 1555 0 1555 0 1530 25 18988 1659 45 0 1589 25 0 17329 17388 -59 0 -17433
"196102" 1705 0 1705 0 1519 186 19308 1868 53 0 1629 186 0 17440 17550 -110 0 -17603
"196103" 2064 0 2064 0 2002 62 19521 2214 81 0 2071 62 0 17307 17376 -69 0 -17457
"196104" 1806 0 1806 0 1690 116 18753 1911 58 0 1737 116 0 16842 16889 -47 0 -16947
"196201" 1686 0 1686 0 1456 230 18329 1686 35 0 1505 146 0 16643 16608 -49 84 -16643
"196202" 1963 0 1963 0 1409 554 18490 1665 92 0 1458 115 0 16825 16435 -49 439 -16527
"196203" 1528 0 1528 0 1078 450 17610 1238 15 0 1123 100 0 16372 16067 -45 350 -16082
"196204" 1163 0 1163 0 1064 99 17220 1209 79 0 1112 18 0 16011 15978 -48 81 -16057
"196301" 1242 0 1242 0 1110 132 17188 1265 68 0 1159 38 0 15923 15878 -49 94 -15946
"196302" 1235 0 1235 0 1109 126 17065 1312 97 0 1202 13 0 15753 15733 -93 113 -15830
"196303" 1204 0 1204 0 1050 154 16838 1237 52 0 1097 88 0 15601 15582 -47 66 -15634
"196304" 1247 0 1247 0 1035 212 16843 1229 83 0 1087 59 0 15614 15513 -52 153 -15596
"196401" 1344 0 1344 0 904 440 16894 1173 89 0 952 132 0 15721 15461 -48 308 -15550
"196402" 968 0 968 0 786 182 16591 1053 162 0 833 58 0 15538 15461 -47 124 -15623
"196403" 878 0 878 0 651 227 16521 940 180 0 697 63 0 15581 15463 -46 164 -15643
"196404" 1201 0 1201 0 769 432 16672 1034 83 0 814 137 0 15638 15388 -45 295 -15471
"196501" 1191 0 1191 0 701 490 15829 939 75 0 749 115 0 14890 14563 -48 375 -14638
"196502" 1713 0 1713 0 1167 546 16021 1677 374 0 1214 89 0 14344 13934 -47 457 -14308
"196503" 1796 0 1796 0 837 959 15980 1306 326 0 887 93 0 14674 13858 -50 866 -14184
"196504" 1644 0 1644 0 863 781 15709 1396 332 0 912 152 0 14313 13733 -49 629 -14065
"196601" 1288 0 1288 0 729 559 15026 1233 104 0 788 341 0 13793 13634 -59 218 -13738
"196602" 1429 0 1429 0 707 722 14958 1103 96 0 767 240 0 13855 13433 -60 482 -13529
