"DATES" "FL263191003.Q" "FL153091003.Q" "FL103091003.Q" "FL633091003.Q" "FL903091005.Q"
"195201" 84 0 84 0 0
"195202" 102 0 102 0 0
"195203" 98 0 98 0 0
"195204" 75 0 75 0 0
"195301" 102 0 102 0 0
"195302" 74 0 74 0 0
"195303" 85 0 85 0 0
"195304" 114 0 114 0 0
"195401" 115 0 115 0 0
"195402" 128 0 128 0 0
"195403" 150 0 150 0 0
"195404" 158 0 158 0 0
"195501" 147 0 147 0 0
"195502" 127 0 127 0 0
"195503" 123 0 123 0 0
"195504" 129 0 129 0 0
"195601" 95 0 95 0 0
"195602" 141 0 141 0 0
"195603" 119 0 119 0 0
"195604" 138 0 138 0 0
"195701" 198 0 198 0 0
"195702" 176 0 176 0 0
"195703" 153 0 153 0 0
"195704" 131 0 131 0 0
"195801" 160 0 160 0 0
"195802" 132 0 132 0 0
"195803" 172 0 172 0 0
"195804" 149 0 149 0 0
"195901" 143 0 143 0 0
"195902" 137 0 137 0 0
"195903" 145 0 145 0 0
"195904" 132 0 132 0 0
"196001" 121 0 121 0 0
"196002" 140 0 140 0 0
"196003" 191 0 191 0 0
"196004" 148 0 148 0 0
"196101" 189 0 189 0 0
"196102" 213 0 213 0 0
"196103" 238 0 238 0 0
"196104" 236 0 236 0 0
"196201" 234 0 234 0 0
"196202" 296 0 296 0 0
"196203" 788 0 788 0 0
"196204" 790 0 790 0 0
"196301" 828 0 828 0 0
"196302" 1065 0 1065 0 0
"196303" 1000 0 1000 0 0
"196304" 731 0 731 0 0
"196401" 867 0 867 0 0
"196402" 978 0 978 0 0
"196403" 1243 0 1243 0 0
"196404" 1097 0 1097 0 0
"196501" 1033 0 1033 0 0
"196502" 822 0 822 0 0
"196503" 892 0 892 0 0
"196504" 781 0 781 0 0
"196601" 884 0 884 0 0
"196602" 917 0 917 0 0
"196603" 932 0 932 0 0
"196604" 885 0 885 0 0
"196701" 951 0 951 0 0
"196702" 843 0 843 0 0
"196703" 827 0 827 0 0
"196704" 1055 0 1055 0 0
"196801" 1357 0 1357 0 0
"196802" 1749 0 1749 0 0
"196803" 1832 0 1832 0 0
"196804" 1587 0 1587 0 0
"196901" 1856 0 1856 0 0
"196902" 1809 0 1809 0 0
"196903" 1618 0 1618 0 0
"196904" 1173 0 1173 0 0
"197001" 1172 0 1172 0 0
"197002" 1220 0 1220 0 0
"197003" 1141 0 1141 0 0
"197004" 798 0 798 0 0
"197101" 1082 0 1082 0 0
"197102" 1102 0 1102 0 0
"197103" 1239 0 1239 0 0
"197104" 1234 0 1234 0 0
"197201" 1421 0 1421 0 0
"197202" 1626 0 1626 0 0
"197203" 1820 0 1820 0 0
"197204" 2172 0 2172 0 0
"197301" 2722 0 2722 0 0
"197302" 3005 0 3005 0 0
"197303" 2729 0 2729 0 0
"197304" 3329 0 3329 0 0
"197401" 3729 0 3729 0 0
"197402" 3529 0 3529 0 0
"197403" 3129 0 3129 0 0
"197404" 4946 0 4946 0 0
"197501" 5022 0 2170 0 2852
"197502" 4822 0 1739 0 3083
"197503" 5272 0 1760 0 3512
"197504" 5772 0 2622 0 3150
"197601" 6428 0 3182 0 3246
"197602" 6941 0 3298 0 3643
"197603" 6763 0 2709 0 4054
"197604" 7441 0 3439 0 4002
"197701" 8287 0 3897 0 4390
"197702" 9731 0 4744 73 4914
"197703" 8990 0 4914 106 3970
"197704" 8756 0 5686 14 3056
"197801" 10041 0 7097 255 2689
"197802" 10192 0 7450 145 2597
"197803" 9613 0 6457 301 2855
"197804" 17131 0 8317 470 8344
"197901" 22361 0 12524 1162 8675
"197902" 21989 0 11273 2298 8418
"197903" 27282 0 9777 3856 13649
"197904" 26913 0 10080 5109 11724
"198001" 30071 0 9174 6316 14581
"198002" 31804 0 8564 7056 16184
"198003" 29447 0 8670 8657 12120
"198004" 31392 0 9696 6769 14927
"198101" 37927 0 9384 10754 17789
"198102" 39125 0 9411 14174 15540
"198103" 39943 0 10495 17072 12376
"198104" 41811 0 12386 18846 10579
"198201" 47174 0 10066 22466 14642
"198202" 48286 0 11310 23204 13772
"198203" 41159 0 8268 22819 10072
"198204" 49522 2427 10063 23759 13273
"198301" 51747 2536 11580 19182 18449
"198302" 50818 2490 11545 19644 17139
"198303" 53082 2601 13176 19890 17415
"198304" 141573 6937 14393 21911 98332
"198401" 146438 7190 15541 23624 100083
"198402" 147963 7280 16503 22814 101366
"198403" 142799 7026 12418 23493 99862
"198404" 139968 6902 13284 21061 98721
"198501" 141748 7017 12568 20801 101362
"198502" 136231 6812 11895 18464 99060
"198503" 141303 7207 12514 18852 102730
"198504" 148461 7791 16023 18883 105764
"198601" 152917 7952 17734 19032 108199
"198602" 159332 8126 18854 21885 110467
"198603" 168938 8447 18104 22461 119926
"198604" 179874 8753 19201 21988 129932
"198701" 180965 8687 16826 26854 128598
"198702" 181371 8525 15896 23692 133258
"198703" 182604 8400 15081 22479 136644
"198704" 213270 9759 16262 21382 165867
"198801" 211387 9724 18334 21873 161456
"198802" 220222 10130 25398 21868 162826
"198803" 224302 10318 26273 22235 165476
"198804" 228720 10708 21554 29329 167129
"198901" 242447 11153 18622 28682 183990
"198902" 245142 11032 17113 22077 194920
"198903" 250390 11268 13992 29020 196110
"198904" 266828 11874 14705 26081 214168
"199001" 261211 11755 15669 26735 207052
"199002" 273580 12312 15551 27731 217986
"199003" 287725 12949 14509 31390 228877
"199004" 297926 13427 14717 26698 243084
"199101" 296995 13959 15349 32315 235372
"199102" 284823 13957 12599 26704 231563
"199103" 282524 14409 13578 23740 230797
"199104" 273526 14565 16435 21446 221080
"199201" 264833 14566 14978 20097 215192
"199202" 267007 14953 14987 16528 220539
"199203" 271987 15504 15639 21250 219594
"199204" 267711 15600 15791 20251 216069
"199301" 265061 15445 13489 18635 217492
"199302" 263474 15352 13667 19013 215442
"199303" 252269 14697 15278 13830 208464
"199304" 271821 15757 14502 9959 231603
"199401" 271120 15716 15730 11293 228381
"199402" 290447 16847 16080 8816 248704
"199403" 299169 17357 12638 8388 260786
"199404" 373929 18847 15664 15672 323746
"199501" 382087 20324 13850 14929 332984
"199502" 410073 22461 14454 15291 357867
"199503" 403948 22103 15856 21087 344902
"199504" 418824 23356 17403 19684 358381
"199601" 444015 26021 20387 21218 376389
"199602" 444762 27693 19844 14132 383093
"199603" 474734 31693 20922 17509 404610
"199604" 521682 35469 28208 23100 434905
"199701" 567770 34112 28968 20639 484051
"199702" 573814 34459 33462 20240 485653
"199703" 599233 36014 33251 23012 506956
"199704" 618473 37179 23139 23173 534982
"199801" 612437 36817 27115 28288 520217
"199802" 628576 37785 20577 21854 548360
"199803" 657156 39500 18385 26545 572726
"199804" 627575 37725 30518 30084 529248
"199901" 654952 39368 36235 39263 540086
"199902" 673591 40486 32343 44472 556290
"199903" 684991 41170 33490 53965 556366
"199904" 676469 40659 31460 41089 563261
"200001" 751326 45150 35750 52296 618130
"200002" 762844 45841 29742 74496 612765
"200003" 740645 44509 13998 72377 609761
"200004" 803348 48271 24029 87209 643839
"200101" 845324 50790 16928 106453 671153
"200102" 806479 48459 17093 103300 637627
"200103" 805295 48388 14369 107416 635122
"200104" 810100 48676 15517 114977 630930
"200201" 795025 47771 16672 115058 615524
"200202" 802487 48219 18500 113015 622753
"200203" 828523 49781 20000 114063 644679
"200204" 831130 49937 20587 108132 652474
"200301" 855431 51395 21933 96584 685519
"200302" 885900 53223 30297 84859 717521
"200303" 841564 50563 34513 76729 679759
"200304" 867094 52095 38145 71539 705315
"200401" 903080 54254 41699 68095 739032
"200402" 909536 54641 47625 84193 723077
"200403" 922858 55440 44697 75694 747027
"200404" 956974 57487 53705 78537 767245
"200501" 1048804 62997 61301 79405 845101
"200502" 995632 59807 57496 92549 785780
"200503" 1041876 62582 51419 104253 823622
"200504" 997784 59936 63571 94735 779542
"200601" 1049564 63043 41996 97300 847225
"200602" 1123746 67494 53045 79614 923593
"200603" 1106807 66478 43697 70540 926092
"200604" 1084987 65169 49336 84146 886336
"200701" 1156945 69486 45306 81394 960759
"200702" 1247892 74943 55824 69874 1047251
"200703" 1311783 78776 56965 102331 1073711
"200704" 1342026 80591 50250 127307 1083878
"200801" 1233022 74051 55037 143846 960088
"200802" 1123211 67462 36837 141389 877523
"200803" 999941 60066 31580 145973 762322
"200804" 939912 56464 24704 129303 729441
"200901" 878771 52796 26218 79747 720010
"200902" 818626 49187 27229 87515 654695
"200903" 792572 47624 27624 103560 613764
"200904" 768334 46170 33276 97133 591755
"201001" 777256 46705 40915 92468 597168
"201002" 848139 50958 51428 92491 653262
"201003" 899328 58779 62241 103944 674364
