"DATES" "FL774110005.Q" "FL714110005.Q" "FL713113003.Q" "FL723025000.Q" "FL764110005.Q" "FL714010005.Q" "FL764116005.Q" "FL764116205.Q" "FL724116205.Q" "FL723192603.Q" "FL723092605.Q" "FL754116205.Q" "FL753192603.Q" "FL753092605.Q" "FL734116205.Q" "FL733192603.Q" "FL733092603.Q" "FL764016205.Q" "FL724016203.Q" "FL754016203.Q" "FL904010005.Q" "FL724112005.Q" "FL724112205.Q" "FL754012205.Q" "FL733030003.Q" "FL904010005.Q" "FL724012205.Q" "FL754112205.Q" "FL734112205.Q" "FL754112005.Q" "FL754112205.Q" "FL754012205.Q" "FL734112005.Q" "FL734112205.Q" "FL733030003.Q" "FL894010005.Q" "FL764116005.Q" "FL774010005.Q" "FL714010005.Q" "FL713022003.Q" "FL713068705.Q" "FL764010005.Q" "FL763013005.Q" "FL723025000.Q" "FL443013053.Q" "FL473013003.Q" "FL904010005.Q"
"195201" 25922 22696 20276 2420 3226 867 1838 1894 728 728 0 1166 1395 229 0 0 0 56 46 10 521 614 652 131 0 521 38 38 0 -93 38 131 0 0 0 25401 1838 23563 867 710 157 22696 20276 2420 0 0 521
"195202" 24849 21777 19381 2396 3072 625 1948 2003 722 722 0 1281 1533 252 0 0 0 55 44 11 499 606 645 146 0 499 39 39 0 -107 39 146 0 0 0 24350 1948 22402 625 581 44 21777 19381 2396 0 0 499
"195203" 26878 23111 20581 2530 3767 1093 1726 1778 655 655 0 1123 1352 229 0 0 0 52 42 10 948 1048 1082 134 0 948 34 34 0 -100 34 134 0 0 0 25930 1726 24204 1093 738 355 23111 20581 2530 0 0 948
"195204" 26264 22703 19950 2753 3561 1094 1758 1844 661 661 0 1183 1424 241 0 0 0 86 76 10 709 815 851 142 0 709 36 36 0 -106 36 142 0 0 0 25555 1758 23797 1094 967 127 22703 19950 2753 0 0 709
"195301" 26541 22698 20148 2550 3843 1500 1742 1801 706 706 0 1095 1366 271 0 0 0 59 48 11 601 706 740 139 0 601 34 34 0 -105 34 139 0 0 0 25940 1742 24198 1500 810 690 22698 20148 2550 0 0 601
"195302" 25254 22151 19561 2590 3103 655 1783 1854 699 699 0 1155 1398 243 0 0 0 71 60 11 665 774 808 143 0 665 34 34 0 -109 34 143 0 0 0 24589 1783 22806 655 601 54 22151 19561 2590 0 0 665
"195303" 25656 21959 19309 2650 3697 1014 1798 1869 738 738 0 1131 1373 242 0 0 0 71 60 11 885 994 1028 143 0 885 34 34 0 -109 34 143 0 0 0 24771 1798 22973 1014 685 329 21959 19309 2650 0 0 885
"195304" 26088 22672 20160 2512 3416 948 1682 1761 570 570 0 1191 1447 256 0 0 0 79 66 13 786 901 937 151 0 786 36 36 0 -115 36 151 0 0 0 25302 1682 23620 948 935 13 22672 20160 2512 0 0 786
"195401" 24573 21824 19194 2630 2749 667 1602 1671 489 489 0 1182 1439 257 0 0 0 69 57 12 480 596 632 152 0 480 36 36 0 -116 36 152 0 0 0 24093 1602 22491 667 535 132 21824 19194 2630 0 0 480
"195402" 24715 21671 19011 2660 3044 589 1606 1693 480 480 0 1213 1479 266 0 0 0 87 73 14 849 969 1005 156 0 849 36 36 0 -120 36 156 0 0 0 23866 1606 22260 589 567 22 21671 19011 2660 0 0 849
"195403" 24516 21161 18331 2830 3355 685 1627 1741 510 510 0 1231 1503 272 0 0 0 114 100 14 1043 1165 1204 161 0 1043 39 39 0 -122 39 161 0 0 0 23473 1627 21846 685 511 174 21161 18331 2830 0 0 1043
"195404" 24629 21345 18876 2469 3284 818 1729 1870 509 509 0 1361 1658 297 0 0 0 141 126 15 737 868 911 174 0 737 43 43 0 -131 43 174 0 0 0 23892 1729 22163 818 808 10 21345 18876 2469 0 0 737
"195501" 24626 21218 18388 2830 3408 1150 1719 1826 511 511 0 1315 1604 289 0 0 0 107 93 14 539 667 708 169 0 539 41 41 0 -128 41 169 0 0 0 24087 1719 22368 1150 552 598 21218 18388 2830 0 0 539
"195502" 24327 20747 18066 2681 3580 925 1820 1948 538 538 0 1410 1714 304 0 0 0 128 113 15 835 971 1014 179 0 835 43 43 0 -136 43 179 0 0 0 23492 1820 21672 925 850 75 20747 18066 2681 0 0 835
"195503" 25623 21435 18475 2960 4188 1437 1832 1939 570 570 0 1369 1665 296 0 0 0 107 92 15 919 1052 1095 176 0 919 43 43 0 -133 43 176 0 0 0 24704 1832 22872 1437 788 649 21435 18475 2960 0 0 919
"195504" 26261 21687 19005 2682 4574 1692 1846 1962 553 553 0 1409 1712 303 0 0 0 116 102 14 1036 1172 1215 179 0 1036 43 43 0 -136 43 179 0 0 0 25225 1846 23379 1692 1585 107 21687 19005 2682 0 0 1036
"195601" 25675 21472 18582 2890 4203 1499 1944 2049 615 615 0 1434 1745 311 0 0 0 105 90 15 760 900 943 183 0 760 43 43 0 -140 43 183 0 0 0 24915 1944 22971 1499 793 706 21472 18582 2890 0 0 760
"195602" 24823 20716 18443 2273 4107 1438 1890 1979 446 446 0 1533 1866 333 0 0 0 89 72 17 779 926 975 196 0 779 49 49 0 -147 49 196 0 0 0 24044 1890 22154 1438 1206 232 20716 18443 2273 0 0 779
"195603" 26630 21756 18656 3100 4874 1633 2159 2305 677 677 0 1628 1982 354 0 0 0 146 127 19 1082 1239 1290 208 0 1082 51 51 0 -157 51 208 0 0 0 25548 2159 23389 1633 1060 573 21756 18656 3100 0 0 1082
"195604" 27328 22320 19059 3261 5008 1690 2196 2280 614 614 0 1666 2029 363 0 0 0 84 64 20 1122 1282 1335 213 0 1122 53 53 0 -160 53 213 0 0 0 26206 2196 24010 1690 1665 25 22320 19059 3261 0 0 1122
"195701" 25279 21260 18350 2910 4019 1399 2097 2191 553 553 0 1638 1997 359 0 0 0 94 70 24 523 681 735 212 0 523 54 54 0 -158 54 212 0 0 0 24756 2097 22659 1399 807 592 21260 18350 2910 0 0 523
"195702" 26196 21578 18628 2950 4618 1853 2074 2178 444 444 0 1734 2108 374 0 0 0 104 76 28 691 850 911 220 0 691 61 61 0 -159 61 220 0 0 0 25505 2074 23431 1853 1029 824 21578 18628 2950 0 0 691
"195703" 26288 21634 18594 3040 4654 1761 2007 2108 391 391 0 1717 2086 369 0 0 0 101 68 33 886 1041 1103 217 0 886 62 62 0 -155 62 217 0 0 0 25402 2007 23395 1761 985 776 21634 18594 3040 0 0 886
