"DATES" "FL793120005.Q" "FL713120005.Q" "FL713123005.Q" "FL713124003.Q" "FL713122605.Q" "FL713125005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL443127005.Q" "FL473127003.Q" "FL793120005.Q" "FL153020005.Q" "FL143020005.Q" "FL103020003.Q" "FL113020003.Q" "FL133020003.Q" "FL213020005.Q" "FL313020005.Q" "FL263020005.Q" "FL263027003.Q" "FL263025003.Q" "FL793020005.Q" "FL743020003.Q" "FL443020005.Q" "FL473020005.Q" "FL513020003.Q" "FL543020003.Q" "FL573020005.Q" "FL223020003.Q" "FL633020000.Q" "FL403020005.Q" "FL613020003.Q" "FL643020003.Q" "FL663020003.Q" "FL903020005.Q"
"195201" 130528 27746 1289 0 548 25909 102782 5560 1147 96075 0 0 130528 60540 42559 24511 10794 7254 7200 8275 1695 1695 0 6186 176 1580 155 1251 1015 330 143 0 79 860 0 597 4073
"195202" 132121 28800 1616 0 554 26630 103321 5837 1264 96220 0 0 132121 58632 43742 25850 10672 7220 7174 8305 1818 1818 0 6426 175 1740 154 1270 1077 321 148 0 89 866 0 586 6024
"195203" 134018 28995 1538 0 740 26717 105023 6180 1562 97281 0 0 134018 61680 44088 26398 10516 7174 6718 8420 2302 2302 0 6184 173 1512 152 1293 1065 312 153 0 81 872 0 571 4626
"195204" 138678 29899 1659 0 560 27680 108779 4941 1390 102448 0 0 138678 63397 44205 26641 10429 7135 7193 7438 1950 1950 0 6565 170 1786 152 1320 1146 310 158 0 96 878 0 549 7930
"195301" 134481 28876 1313 0 513 27050 105605 5530 1268 98807 0 0 134481 64272 41076 23589 10385 7102 7226 8240 1781 1781 0 6315 170 1662 155 1343 990 319 164 0 100 882 0 530 5571
"195302" 132531 29458 1391 0 532 27535 103073 3634 1202 98237 0 0 132531 61005 43125 25710 10350 7065 7522 6017 1734 1734 0 6339 171 1695 159 1361 948 337 173 0 98 887 0 510 6789
"195303" 136105 30067 1925 0 517 27625 106038 5870 1162 99006 0 0 136105 63777 43237 25865 10343 7029 6939 8770 1679 1679 0 6327 172 1556 164 1372 1030 356 182 0 111 892 0 492 5376
"195304" 138710 29806 1107 0 430 28269 108904 4146 1068 103690 0 0 138710 64569 43921 26550 10377 6994 7577 5906 1498 1498 0 6904 173 1904 171 1375 1215 366 189 0 139 897 0 475 8335
"195401" 133696 29113 1541 0 495 27077 104583 5060 1013 98510 0 0 133696 63014 41140 23706 10468 6966 7913 7772 1508 1508 0 6694 173 1880 181 1371 1060 368 193 0 86 906 0 476 5655
"195402" 135866 29501 1686 0 553 27262 106365 5591 1069 99705 0 0 135866 61940 42914 25354 10621 6939 7864 8223 1622 1622 0 6841 172 1958 194 1360 1101 363 195 0 91 915 0 492 6462
"195403" 137222 29169 1565 0 512 27092 108053 4120 850 103083 0 0 137222 66260 44460 26760 10784 6916 6936 6155 1362 1362 0 6778 171 1853 207 1344 1111 358 195 0 115 903 0 521 5271
"195404" 143349 29893 1359 0 494 28040 113456 4172 1214 108070 0 0 143349 66317 46132 28329 10907 6896 7943 5567 1708 1708 0 7238 167 2195 216 1323 1240 357 194 0 112 877 0 557 8444
"195501" 138890 28974 1680 0 386 26908 109916 4070 974 104872 0 0 138890 66141 44704 26814 10998 6892 7894 5564 1360 1360 0 6935 168 2042 221 1316 1061 367 191 0 102 888 0 579 6292
"195502" 140141 29123 1192 0 383 27548 111018 5078 1049 104891 0 0 140141 63684 45722 27756 11065 6901 8354 6987 1432 1432 0 7059 169 2093 223 1319 1089 385 185 0 104 911 0 581 6903
"195503" 140826 29065 1303 0 384 27378 111761 4220 994 106547 0 0 140826 67401 46338 28304 11126 6908 7486 6179 1378 1378 0 6938 171 1858 224 1331 1160 404 179 0 99 948 0 564 5106
"195504" 145680 30046 1161 0 409 28476 115634 3709 1123 110802 0 0 145680 67303 47377 29282 11200 6895 7982 5297 1532 1532 0 7592 174 2331 228 1348 1265 415 174 0 132 995 0 530 8597
"195601" 142244 28996 1299 0 349 27348 113248 6170 1233 105845 0 0 142244 66867 44282 26140 11276 6866 8084 7778 1582 1582 0 7093 178 2084 234 1354 1050 419 175 0 92 999 0 508 6558
"195602" 142494 30038 1290 0 306 28442 112456 5232 1317 105907 0 0 142494 65301 45140 26977 11343 6820 8700 7178 1623 1623 0 7241 183 2215 241 1345 1086 417 178 0 76 998 0 502 7311
"195603" 142444 29258 1363 0 334 27561 113186 5110 1229 106847 0 0 142444 68316 45473 27277 11426 6770 6980 6961 1563 1563 0 6932 189 1896 248 1320 1084 414 183 0 88 997 0 513 6219
"195604" 147602 30070 1216 0 325 28529 117532 3733 1428 112371 0 0 147602 69077 47263 28990 11549 6724 7438 5009 1753 1753 0 7640 195 2356 255 1280 1281 415 190 0 132 998 0 538 9422
"195701" 143972 29212 1301 0 352 27559 114760 6385 1104 107271 0 0 143972 68305 44792 26402 11708 6682 7358 8235 1456 1456 0 7126 202 2059 261 1253 1074 424 200 0 85 1009 0 559 6700
"195702" 143043 29850 1256 0 462 28132 113193 4490 1620 107083 0 0 143043 65998 45624 27100 11895 6629 8347 6467 2082 2082 0 7423 210 2234 267 1242 1142 439 214 0 92 1015 0 568 7102
"195703" 144728 29702 1385 0 380 27937 115026 6330 1618 107078 0 0 144728 68990 46414 27712 12111 6591 6191 7967 1998 1998 0 7119 218 1880 273 1249 1150 454 228 0 81 1022 0 564 6049
"195704" 147124 30106 1242 0 365 28499 117018 3898 1737 111383 0 0 147124 68137 47970 29024 12356 6590 6781 5145 2102 2102 0 7840 223 2382 282 1272 1292 466 237 0 113 1026 0 547 9149
"195801" 143407 29248 1353 0 262 27633 114159 5560 1407 107192 0 0 143407 67994 45295 25972 12675 6648 6402 6857 1669 1669 0 7732 229 2367 294 1298 1170 475 242 0 84 1036 0 537 7458
"195802" 147865 29534 1102 0 277 28155 118331 9460 1668 107203 0 0 147865 64248 47104 27218 13108 6778 7585 10556 1945 1945 0 8047 235 2558 310 1321 1210 482 245 0 109 1040 0 537 8380
"195803" 145579 29532 1176 0 320 28036 116047 4220 1276 110551 0 0 145579 69941 48588 28211 13486 6891 5867 5516 1596 1596 0 7851 239 2327 324 1337 1217 488 245 0 79 1046 0 549 6220
"195804" 152969 30264 1041 0 279 28944 122705 4250 1727 116728 0 0 152969 70481 50622 30083 13641 6898 6564 5453 2006 2006 0 8451 240 2687 330 1345 1366 496 244 0 125 1047 0 571 9392
"195901" 147117 29629 1231 0 315 28083 117354 3590 1635 112129 125 9 147117 70376 47640 27264 13572 6804 7667 4986 1950 1950 0 7973 188 2390 328 1348 1218 505 241 0 83 1082 0 590 6525
"195902" 148412 29889 929 0 306 28654 118386 4420 1816 112150 127 10 148412 69638 48115 28230 13275 6610 7849 5914 2122 2122 0 7962 130 2372 316 1348 1206 516 234 0 120 1118 0 602 6812
"195903" 150588 30007 1081 0 318 28608 120442 6140 1728 112574 129 10 150588 73672 47069 27748 12928 6393 7507 7379 2046 2046 0 7487 74 1975 304 1345 1158 527 227 0 112 1160 0 605 5428
"195904" 154416 30826 895 0 353 29578 123449 5050 1787 116612 131 10 154416 72785 48131 29196 12707 6228 8258 6111 2140 2140 0 8150 66 2423 297 1337 1309 535 221 0 157 1205 0 600 8841
"196001" 146475 29378 947 0 231 28200 116953 4410 1345 111198 133 11 146475 71291 45208 26528 12579 6101 8847 5762 1576 1576 0 7632 67 2125 300 1334 1127 538 223 0 102 1217 0 599 6159
"196002" 149325 29743 899 0 264 28580 119436 7030 1609 110797 135 11 149325 69328 46020 27535 12499 5986 8813 8627 1873 1873 0 8005 71 2362 309 1333 1188 536 229 0 146 1230 0 601 6659
"196003" 151285 29588 958 0 200 28430 121550 7440 1636 112474 136 11 151285 73178 46081 27737 12451 5893 8456 8918 1836 1836 0 7779 77 2130 321 1333 1183 536 236 0 104 1249 0 610 5037
"196004" 156322 30612 862 0 226 29524 125558 5945 1896 117717 140 12 156322 74549 46486 28243 12415 5828 8223 7154 2122 2122 0 8531 83 2616 334 1332 1330 546 243 0 152 1271 0 624 9257
"196101" 149028 29398 926 0 282 28190 119475 4160 2360 112955 143 12 149028 72609 44677 26462 12412 5803 7622 5382 2642 2642 0 8345 91 2484 350 1337 1232 568 251 0 81 1309 0 642 7751
"196102" 151975 30550 787 0 256 29507 121267 6362 2262 112643 146 12 151975 70741 46035 27769 12448 5818 7472 7457 2518 2518 0 8730 101 2665 370 1344 1270 601 260 0 115 1344 0 660 9022
"196103" 155416 30060 901 0 369 28790 125196 7750 2375 115071 148 12 155416 73749 46242 27903 12493 5846 7271 9428 2744 2744 0 8796 111 2557 389 1354 1309 635 269 0 115 1381 0 676 7186
"196104" 162367 31412 887 0 294 30231 130790 5946 2804 122040 152 13 162367 73399 50046 31673 12515 5858 8161 7055 3098 3098 0 9600 119 3072 402 1365 1392 660 277 0 207 1418 0 688 11008
"196201" 154500 30221 899 0 262 29060 124110 6260 3119 114731 156 13 154500 71745 46599 28211 12523 5865 7977 7435 3381 3381 0 9307 124 2972 408 1388 1219 677 285 0 103 1441 0 690 8056
"196202" 158642 31929 991 0 353 30585 126540 9554 3067 113919 159 14 158642 69522 47866 29469 12522 5875 8189 10910 3420 3420 0 9512 127 3066 408 1422 1213 687 294 0 148 1464 0 683 9223
"196203" 157533 30769 916 0 273 29580 126588 8090 2588 115910 162 14 157533 72042 48647 30249 12518 5880 7841 9864 2861 2861 0 9472 129 2905 408 1454 1289 695 302 0 134 1488 0 668 6806
"196204" 167739 32090 977 0 292 30821 135449 7158 2941 125350 185 15 167739 73023 52949 34564 12515 5870 8223 8098 3233 3233 0 10540 131 3669 410 1471 1457 707 307 0 227 1513 0 648 11673
"196301" 159341 31740 1291 0 219 30230 127365 7330 2695 117340 221 15 159341 74491 46130 27771 12515 5844 8097 8646 2914 2914 0 9919 134 3397 416 1473 1230 721 311 0 107 1478 0 652 9144
"196302" 165104 33381 1175 0 219 31987 131478 11060 3031 117387 229 16 165104 73318 47496 29185 12515 5796 8263 12595 3250 3250 0 10029 136 3423 424 1462 1246 735 313 0 193 1442 0 655 10153
"196303" 163696 32798 1328 0 180 31290 130652 8850 2989 118813 230 16 163696 76214 48087 29821 12515 5751 7636 10100 3169 3169 0 9888 138 3231 434 1446 1350 752 314 0 147 1405 0 671 8602
"196304" 172925 34890 1241 0 216 33433 137784 6548 3283 127953 234 17 172925 77735 51672 33427 12515 5730 9153 7671 3499 3499 0 10550 141 3740 447 1432 1466 773 313 0 201 1365 0 672 12645
"196401" 165628 33905 1516 0 174 32215 131465 7870 3399 120196 241 17 165628 75206 47100 28846 12515 5739 9503 9058 3573 3573 0 10158 144 3538 462 1424 1294 802 313 0 126 1361 0 694 11030
"196402" 170747 34721 1330 0 196 33195 135758 10257 3728 121773 250 18 170747 75716 49093 30806 12515 5772 8666 11686 3924 3924 0 10278 147 3560 481 1418 1279 850 313 0 188 1353 0 689 11384
"196403" 172879 34920 1367 0 175 33378 137688 9200 3977 124511 253 18 172879 80761 49324 30996 12515 5813 8649 10996 4152 4152 0 10029 150 3300 500 1411 1314 857 313 0 151 1349 0 684 8968
"196404" 181840 36942 1586 0 269 35087 144621 6510 4189 133922 258 19 181840 80368 51099 32738 12515 5846 10417 8165 8253 4458 3795 10786 151 3820 515 1396 1488 892 311 0 187 1345 0 681 12752
"196501" 173982 35746 1569 0 201 33976 137950 8350 4128 125472 267 19 173982 78321 47791 29399 12515 5877 9506 10202 8010 4329 3681 10103 151 3509 525 1380 1286 752 311 0 123 1379 0 687 10049
"196502" 179426 36375 1419 0 214 34742 142756 11796 4034 126926 275 20 179426 78568 48636 30209 12515 5912 9214 13387 7984 4248 3736 10155 148 3540 532 1358 1279 728 311 0 150 1411 0 698 11482
"196503" 177326 36936 1656 0 233 35047 140093 7370 4227 128496 277 20 177326 84698 47724 29266 12515 5943 8931 9080 8254 4460 3794 10105 146 3419 538 1337 1296 760 312 0 140 1448 0 709 8534
