"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"195201" 214441 49081 165360 214441 66245 49081 17164 17862 0 7680 4186 22228 61805 61120 433 0 252 11507 102 5445 10818 2487 3070 0 0 137 113 0 565 0 191 214649
"195202" 214041 49010 165031 214041 65904 49010 16894 16635 0 8140 4303 22506 61908 61178 471 0 259 11325 103 5348 10363 2483 3148 0 0 141 117 0 496 0 1121 214094
"195203" 216889 49026 167863 216889 67045 49026 18019 17018 0 8218 4668 23215 62302 61610 425 0 267 11462 104 5693 10455 2468 3313 0 0 144 121 0 483 0 180 217290
"195204" 220792 49173 171619 220792 67389 49173 18216 17647 0 8538 4468 24034 64034 63318 445 0 271 11238 106 5774 10252 2479 3374 0 0 130 125 0 495 0 709 221418
"195301" 217712 49521 168191 217712 66956 49521 17435 18164 0 8826 4609 23269 61156 60470 415 0 271 11478 107 5877 10120 2513 3465 0 0 140 129 0 695 0 208 218440
"195302" 217839 49258 168581 217839 69312 49258 20054 16454 0 8988 4823 24146 59336 58644 423 0 269 11491 108 5884 10090 2567 3655 0 0 134 132 0 574 0 145 218122
"195303" 224281 49263 175018 224281 69128 49263 19865 18232 0 9114 5056 24635 62882 62200 416 0 266 11436 109 5957 9987 2620 3830 0 0 141 136 0 592 0 426 224706
"195304" 226185 49371 176814 226185 68038 49371 18667 19240 0 9342 5035 25317 64124 63426 435 0 263 11129 112 6025 9829 2636 3860 0 0 129 140 0 589 0 640 228438
"195401" 221621 49421 172200 221621 68196 49421 18775 17887 0 9402 5306 24232 61338 60650 423 0 265 11109 114 5986 9720 2652 4043 0 0 148 144 0 901 0 443 224532
"195402" 221460 49545 171915 221460 67555 49545 18010 14874 0 9466 5192 24737 64218 63508 440 0 270 11007 116 5993 9399 2644 4234 0 0 137 147 0 872 0 869 223462
"195403" 224748 49703 175045 224748 66201 49703 16498 16366 0 9638 5537 23946 68054 67330 449 0 275 10872 118 6057 9138 2647 4310 0 0 143 151 0 896 0 674 225285
"195404" 228498 49966 178532 228498 66087 49966 16121 17523 0 9789 5466 24888 69748 68981 490 0 277 10788 120 6137 9070 2675 4383 0 0 154 155 0 849 0 666 230836
"195501" 224138 50165 173973 224138 67640 50165 17475 17543 0 9978 5472 23505 64911 64180 456 0 275 11019 123 6022 9136 2735 4438 0 0 152 160 0 982 0 322 226733
"195502" 223181 50184 172997 223181 68240 50184 18056 16788 0 10248 5558 23407 64015 63271 475 0 269 10990 127 5964 9086 2839 4478 0 0 179 165 0 869 0 228 224731
"195503" 225369 50178 175191 225369 69181 50178 19003 18619 0 10550 5746 23402 62744 62020 461 0 263 11027 131 6045 9164 2936 4566 0 0 233 170 0 637 0 218 226277
"195504" 228418 50229 178189 228418 68843 50229 18614 21281 0 10936 5803 24391 62316 61592 465 0 259 10869 135 6000 8576 2972 4666 0 0 255 175 0 936 0 264 230029
"195601" 224121 50397 173724 224121 70474 50397 20077 18878 0 11198 6189 23303 59313 58600 453 0 260 11103 139 5834 8077 2949 4879 0 0 238 180 0 1256 0 111 225738
"195602" 218822 50320 168502 218822 70183 50320 19863 15667 0 11531 6244 23457 57366 56620 481 0 265 11001 143 5683 7954 2895 4903 0 0 221 185 0 1267 0 122 219973
