"DATES" "FL893065005.Q" "FL893065105.Q" "FL893065405.Q" "FL893065505.Q" "FL893065603.Q" "FL893065005.Q" "FL153165005.Q" "FL143165005.Q" "FL103165005.Q" "FL113165003.Q" "FL893065603.Q" "FL313165403.Q" "FL643165005.Q" "FL893065005.Q" "FL153065005.Q" "FL103065003.Q" "FL113065005.Q" "FL213065005.Q" "FL313065005.Q" "FL763065005.Q" "FL443065005.Q" "FL473065105.Q" "FL513065503.Q" "FL543065000.Q" "FL573065005.Q" "FL223065003.Q" "FL403065005.Q" "FL413065005.Q" "FL673065005.Q" "FL613065000.Q" "FL643065005.Q"
"195201" 84449 53102 10820 13713 6814 84449 54643 29806 13320 9672 6814 0 0 84449 18605 27 0 334 2649 14860 25820 357 120 19889 126 113 1028 45 0 476 0
"195202" 86817 54832 11037 13927 7021 86817 56446 30372 13190 10161 7021 0 0 86817 18865 28 0 359 2685 15177 26969 404 121 20349 133 122 1046 47 0 512 0
"195203" 89241 56671 11275 14161 7134 89241 58372 30869 13165 10570 7134 0 0 89241 19076 29 0 385 2751 15590 28156 360 122 20812 141 131 1068 50 0 570 0
"195204" 91547 58433 11481 14397 7236 91547 60214 31333 13365 10732 7236 0 0 91547 19236 30 0 409 2933 15867 29276 390 123 21251 149 141 1091 53 0 598 0
"195301" 93666 60023 11587 14660 7396 93666 61873 31793 13654 10743 7396 0 0 93666 19569 31 0 430 3118 16080 30216 395 125 21741 159 152 1114 55 0 481 0
"195302" 96535 62243 11766 14939 7587 96535 64135 32400 13620 11193 7587 0 0 96535 19836 32 0 451 3267 16387 31681 428 129 22253 170 163 1136 56 0 546 0
"195303" 99035 64222 11934 15212 7667 99035 66236 32799 13626 11506 7667 0 0 99035 19970 32 0 471 3355 16640 33076 386 134 22736 181 175 1158 58 0 663 0
"195304" 101372 65950 12121 15564 7737 101372 68023 33349 14030 11582 7737 0 0 101372 20232 32 0 492 3323 16850 34355 383 139 23322 192 188 1180 60 0 624 0
"195401" 103333 67363 12174 15880 7916 103333 69512 33822 14315 11591 7916 0 0 103333 20439 32 0 514 3255 16970 35472 361 143 23817 203 202 1211 61 0 653 0
"195402" 106931 70179 12312 16324 8116 106931 72432 34499 14167 12216 8116 0 0 106931 20762 32 0 538 3799 17382 36966 456 145 24432 213 217 1242 62 0 685 0
"195403" 109702 72281 12452 16782 8187 109702 74622 35080 14081 12812 8187 0 0 109702 21052 32 0 561 3316 17920 38610 416 145 25083 224 233 1262 70 0 778 0
"195404" 113524 75300 12665 17313 8246 113524 77619 35905 14536 13123 8246 0 0 113524 21367 33 0 582 3425 18574 40326 407 143 25976 238 249 1281 78 0 845 0
"195501" 117199 78180 12782 17765 8472 117199 80520 36679 14829 13378 8472 0 0 117199 21739 36 0 599 3457 19125 41930 505 144 26768 255 266 1344 86 0 945 0
"195502" 121597 81638 12989 18263 8707 121597 83700 37897 15140 14050 8707 0 0 121597 22030 40 0 613 3551 19940 44033 543 146 27518 274 283 1417 95 0 1114 0
"195503" 125837 84973 13179 18819 8866 125837 87064 38774 15299 14609 8866 0 0 125837 22256 44 0 626 3572 20540 46303 526 149 28277 296 301 1483 105 0 1359 0
"195504" 129765 87878 13490 19375 9022 129765 89745 40020 16270 14728 9022 0 0 129765 22667 47 0 641 3622 21004 47953 524 152 29445 321 318 1583 116 0 1372 0
"195601" 133196 90294 13657 19954 9291 133196 92508 40688 16407 14990 9291 0 0 133196 23137 49 0 657 3625 21390 49441 522 156 30396 349 336 1724 127 0 1287 0
"195602" 137257 93259 13827 20582 9589 137257 95609 41648 16492 15567 9589 0 0 137257 23606 50 0 671 3634 21990 51183 649 159 31292 381 352 1872 138 0 1280 0
"195603" 141041 96111 13972 21199 9759 141041 98773 42268 16478 16031 9759 0 0 141041 23913 51 0 690 3631 22500 53061 596 161 32112 415 371 2041 143 0 1356 0
"195604" 144388 98686 14064 21803 9835 144388 101360 43028 17053 16140 9835 0 0 144388 24268 54 0 721 3644 22719 54588 593 161 32989 449 395 2390 149 0 1268 0
"195701" 147230 100791 14085 22321 10033 147230 103440 43790 17595 16162 10033 0 0 147230 24811 58 0 762 3695 22670 55760 678 161 33679 482 425 2835 157 0 1057 0
"195702" 150188 102981 14182 22794 10231 150188 105594 44594 17746 16617 10231 0 0 150188 25275 63 0 814 3737 22760 57285 686 161 34181 514 460 3117 166 0 969 0
"195703" 153545 105340 14379 23478 10348 153545 108187 45310 17815 17147 10348 48 0 153545 25786 68 0 871 3813 23105 58870 651 161 34695 547 499 3338 170 0 971 0
"195704" 156584 107317 14611 24259 10397 156584 110319 46169 18401 17371 10397 96 0 156584 26226 72 0 923 3925 23337 60320 592 161 35236 583 540 3553 173 0 943 0
"195801" 159279 108918 15025 24812 10524 159279 112416 46641 18513 17604 10524 222 0 159279 26693 76 0 975 3993 23400 61517 666 161 35693 619 584 3670 175 0 1057 0
"195802" 162852 111085 15517 25496 10754 162852 114930 47575 18661 18160 10754 347 0 162852 27482 80 0 1026 4050 23960 63418 631 161 36029 655 631 3381 177 0 1171 0
"195803" 167161 113980 16020 26204 10957 167161 117832 48890 18984 18949 10957 439 0 167161 28113 84 0 1079 4103 24700 65604 665 161 36438 695 681 3370 183 0 1285 0
"195804" 172020 117124 16565 27222 11109 172020 120818 50670 20035 19526 11109 532 0 172020 28834 87 0 1135 4335 25523 67729 619 160 37062 742 736 3468 190 0 1400 0
"195901" 176132 119882 17132 27761 11357 176132 123904 51647 19958 20332 11357 581 0 176132 29277 74 0 1196 4759 26130 69418 723 160 37461 796 792 3637 195 0 1514 0
"195902" 181268 123292 17679 28553 11744 181268 127435 53201 20005 21452 11744 632 0 181268 29885 62 0 1263 5183 27060 71883 730 158 37849 856 847 3834 201 0 1457 0
"195903" 186396 126953 18212 29283 11948 186396 131126 54531 20034 22549 11948 739 0 186396 30260 21 0 1329 5481 27635 74638 780 155 38413 921 911 4087 202 0 1563 0
"195904" 191073 130044 18700 30228 12101 191073 134195 56031 20846 23084 12101 847 0 191073 30746 21 0 1390 5605 28145 76840 752 146 39197 989 992 4400 203 0 1647 0
"196001" 194895 132526 19199 30899 12271 194895 137235 56713 20668 23774 12271 947 0 194895 31288 22 0 1442 5529 28228 78574 930 145 39905 1063 1091 4794 204 0 1680 0
"196002" 199242 135313 19702 31668 12559 199242 140025 58168 20892 24717 12559 1049 0 199242 32057 23 0 1485 5573 28464 80835 906 145 40518 1145 1209 5087 206 0 1589 0
"196003" 204050 138529 20293 32531 12697 204050 143382 59518 21108 25713 12697 1150 0 204050 32767 24 0 1529 5671 28693 83499 875 147 41076 1227 1333 5332 204 0 1673 0
"196004" 208355 141324 20786 33407 12838 208355 146190 60913 21732 26343 12838 1252 0 208355 33521 24 0 1582 5800 28806 85819 853 149 41771 1301 1450 5467 201 0 1611 0
"196101" 212203 143595 21424 34121 13063 212203 148664 62233 21561 27609 13063 1306 0 212203 34375 26 0 1643 5885 28864 87785 993 153 42321 1369 1564 5416 201 0 1608 0
"196102" 217105 146552 21943 35173 13437 217105 151551 64194 22025 28732 13437 1360 0 217105 35202 28 0 1712 5977 29383 90535 926 156 42941 1430 1680 5250 200 0 1685 0
"196103" 222740 150128 22790 36085 13737 222740 155305 66018 22208 30073 13737 1417 0 222740 35959 30 0 1783 6108 29920 93522 1015 157 43381 1491 1793 5384 244 0 1953 0
"196104" 228918 153976 23622 37403 13917 228918 159243 68201 23221 31063 13917 1474 0 228918 36783 33 0 1849 6249 30442 96429 1083 155 44203 1560 1896 5700 290 0 2246 0
"196201" 233251 156437 24218 38374 14222 233251 161816 69881 23574 32085 14222 1554 0 233251 37326 38 0 1914 6300 30844 98908 1134 154 44606 1634 1990 5921 312 0 2170 0
"196202" 239381 160186 24937 39584 14674 239381 165734 72012 23972 33366 14674 1635 0 239381 37924 44 0 1979 6295 32194 102195 1095 150 45119 1713 2074 5839 336 0 2424 0
"196203" 245739 164293 25769 40733 14944 245739 169976 74080 24477 34659 14944 1683 0 245739 38354 50 0 2042 6294 33430 105731 1158 144 45670 1794 2155 5858 373 0 2686 0
"196204" 252387 168256 26732 42206 15193 252387 174044 76609 25544 35872 15193 1734 0 252387 38955 54 0 2100 6321 34476 109091 1227 134 46902 1876 2242 5899 413 0 2697 0
"196301" 257392 171301 27382 43148 15561 257392 177304 78329 25907 36861 15561 1759 0 257392 39273 56 0 2154 6272 35243 112325 1327 131 47527 1957 2331 5654 453 0 2689 0
"196302" 264596 175751 28202 44492 16151 264596 181781 81029 26528 38350 16151 1786 0 264596 40043 56 0 2202 5929 36939 116401 1321 128 48313 2035 2420 5337 495 0 2977 0
"196303" 272013 180611 28994 45835 16573 272013 186862 83361 27035 39753 16573 1790 0 272013 40268 56 0 2249 5867 38360 120669 1395 126 49206 2119 2512 5334 509 0 3343 0
"196304" 279204 185054 30024 47304 16822 279204 191370 86038 28192 41024 16822 1796 0 279204 40476 60 0 2297 5922 39414 124640 1482 121 50544 2220 2612 5361 525 0 3530 0
"196401" 284825 188724 30936 47831 17334 284825 195243 87790 28682 41774 17334 1793 0 284825 40828 65 0 2353 5934 40200 127882 1486 120 51455 2357 2716 5447 551 0 3431 0
"196402" 292150 193315 32095 48672 18068 292150 199826 90537 29327 43142 18068 1787 0 292150 41105 72 0 2413 5877 41648 131816 1428 120 52489 2506 2822 5537 581 0 3736 0
"196403" 299720 198023 33313 49848 18536 299720 204798 93117 30018 44563 18536 1805 0 299720 41560 79 0 2471 5874 42948 135987 1485 120 53524 2640 2937 5600 602 0 3893 0
"196404" 306981 202282 34578 51179 18942 306981 208970 96185 31516 45727 18942 1826 0 306981 42045 84 0 2524 5873 43976 139650 1450 120 55152 2778 3070 5715 624 0 3920 0
"196501" 312679 205839 35384 51982 19474 312679 212849 97980 32074 46432 19474 1850 0 312679 42123 86 0 2574 5839 44799 142514 1589 124 56317 2919 3221 5918 676 0 3980 0
"196502" 319959 210278 36300 53197 20184 319959 217470 100613 32464 47965 20184 1876 0 319959 42429 86 0 2622 5726 46548 145906 1586 130 57347 3175 3389 6118 730 0 4167 0
"196503" 327343 214990 37243 54413 20697 327343 222447 103035 32880 49458 20697 1861 0 327343 42339 86 0 2667 5757 48353 149564 1505 137 58413 3298 3567 6335 797 0 4525 0
"196504" 334458 219397 38213 55661 21187 334458 226865 105748 33986 50575 21187 1845 0 334458 42559 88 0 2713 5854 49675 152725 1426 142 60013 3385 3746 6801 869 0 4462 0
"196601" 341206 223305 39187 57017 21697 341206 231175 108201 34315 52189 21697 1830 0 341206 42547 93 0 2758 6069 50650 155487 1672 140 61232 3508 3936 7774 949 0 4391 0
"196602" 348371 227179 40075 58796 22321 348371 234892 111664 35757 53586 22321 1815 0 348371 43374 100 0 2805 6281 52306 157716 1623 140 62509 3591 4143 8434 1033 0 4316 0
"196603" 354019 230219 40708 60317 22775 354019 238242 113977 36570 54632 22775 1800 0 354019 43937 108 0 2848 6574 53606 159343 1502 140 63565 3710 4344 8919 1167 0 4256 0
