"DATES" "FL893065105.Q" "FL153165105.Q" "FL103165105.Q" "FL113165105.Q" "FL893065105.Q" "FL153065103.Q" "FL103065105.Q" "FL113065103.Q" "FL213065103.Q" "FL313065105.Q" "FL763065105.Q" "FL443065105.Q" "FL473065105.Q" "FL543065105.Q" "FL573065103.Q" "FL223065103.Q" "FL403065105.Q" "FL413065105.Q" "FL673065105.Q" "FL613065105.Q" "FL643065103.Q" "FL893065125.Q" "FL763065125.Q" "FL443065125.Q" "FL473065125.Q" "FL673065123.Q" "FL613065123.Q"
"195201" 53102 53102 0 0 53102 7834 0 0 301 2279 10380 20496 357 10948 54 56 0 0 0 397 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195202" 54832 54832 0 0 54832 7907 0 0 321 2303 10640 21502 404 11210 57 61 0 0 0 427 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195203" 56671 56671 0 0 56671 7975 0 0 341 2351 11015 22538 360 11488 61 66 0 0 0 476 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195204" 58433 58433 0 0 58433 8000 0 0 360 2523 11250 23516 390 11757 65 71 0 0 0 501 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195301" 60023 60023 0 0 60023 8153 0 0 376 2681 11395 24378 395 12095 69 77 0 0 0 404 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195302" 62243 62243 0 0 62243 8233 0 0 391 2800 11625 25710 428 12440 74 83 0 0 0 459 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195303" 64222 64222 0 0 64222 8239 0 0 405 2840 11857 26981 386 12785 80 90 0 0 0 559 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195304" 65950 65950 0 0 65950 8322 0 0 420 2770 12025 28126 383 13195 85 97 0 0 0 527 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195401" 67363 67363 0 0 67363 8290 0 0 436 2731 12090 29158 361 13550 90 104 0 0 0 553 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195402" 70179 70179 0 0 70179 8348 0 0 454 3244 12370 30524 456 13995 95 112 0 0 0 581 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195403" 72281 72281 0 0 72281 8452 0 0 471 2689 12800 32085 416 14483 100 122 0 0 0 663 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195404" 75300 75300 0 0 75300 8523 0 0 485 2770 13300 33702 407 15153 107 131 0 0 0 722 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195501" 78180 78180 0 0 78180 8572 0 0 496 2860 13695 35264 505 15723 116 140 0 0 0 809 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195502" 81638 81638 0 0 81638 8621 0 0 504 2919 14295 37261 543 16253 125 150 9 0 0 958 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195503" 84973 84973 0 0 84973 8578 0 0 512 2929 14735 39405 526 16790 136 161 30 0 0 1171 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195504" 87878 87878 0 0 87878 8652 0 0 523 2929 15075 40926 524 17661 148 170 86 0 0 1184 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195601" 90294 90294 0 0 90294 8785 0 0 536 2914 15290 42287 522 18351 161 180 156 0 0 1112 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195602" 93259 93259 0 0 93259 8865 0 0 548 2902 15710 43928 649 18950 176 189 233 0 0 1109 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195603" 96111 96111 0 0 96111 8847 0 0 565 2889 16080 45703 596 19510 192 200 352 0 0 1177 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195604" 98686 98686 0 0 98686 8931 0 0 594 2885 16245 47136 593 20130 208 213 649 0 0 1102 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195701" 100791 100791 0 0 100791 9166 0 0 633 2894 16150 48249 678 20615 224 230 1031 0 0 921 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195702" 102981 102981 0 0 102981 9336 0 0 684 2923 16160 49696 686 20914 239 249 1249 0 0 845 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195703" 105340 105340 0 0 105340 9431 0 0 739 2974 16330 51193 651 21203 255 271 1445 0 0 848 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195704" 107317 107317 0 0 107317 9490 0 0 789 3051 16385 52546 592 21441 271 293 1636 0 0 823 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195801" 108918 108918 0 0 108918 9503 0 0 837 3103 16336 53540 666 21688 288 316 1718 0 0 923 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195802" 111085 111085 0 0 111085 9686 0 0 883 3130 16627 55208 631 21859 304 341 1394 0 0 1022 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195803" 113980 113980 0 0 113980 9761 0 0 931 3157 17150 57125 665 22045 323 368 1333 0 0 1122 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195804" 117124 117124 0 0 117124 9889 0 0 983 3281 17628 59005 619 22374 344 398 1381 0 0 1222 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195901" 119882 119882 0 0 119882 9865 0 0 1040 3598 17985 60483 723 22607 369 428 1464 0 0 1320 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195902" 123292 123292 0 0 123292 9825 0 0 1104 3931 18545 62656 730 22801 397 458 1574 0 0 1271 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195903" 126953 126953 0 0 126953 9616 0 0 1167 4139 18940 65129 780 23120 428 493 1777 0 0 1364 0 " NA" " NA" " NA" " NA" " NA" " NA"
"195904" 130044 130044 0 0 130044 9501 0 0 1222 4206 19200 67108 752 23583 459 536 2040 0 0 1437 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196001" 132526 132526 0 0 132526 9558 0 0 1269 4083 19176 68607 930 23986 493 589 2370 0 0 1465 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196002" 135313 135313 0 0 135313 9800 0 0 1309 4093 19216 70536 906 24283 531 653 2600 0 0 1386 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196003" 138529 138529 0 0 138529 10000 0 0 1347 4148 19277 72803 875 24525 569 720 2806 0 0 1459 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196004" 141324 141324 0 0 141324 10263 0 0 1388 4235 19242 74775 853 24879 602 782 2901 0 0 1404 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196101" 143595 143595 0 0 143595 10661 0 0 1433 4290 19138 76328 993 25110 632 842 2768 0 0 1400 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196102" 146552 146552 0 0 146552 10899 0 0 1481 4336 19458 78565 926 25337 660 903 2520 0 0 1467 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196103" 150128 150128 0 0 150128 11114 0 0 1527 4378 19783 80947 1015 25413 687 962 2604 0 0 1698 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196104" 153976 153976 0 0 153976 11242 0 0 1564 4448 20038 83272 1083 25776 717 1015 2870 0 0 1951 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196201" 156437 156437 0 0 156437 11677 0 0 1595 4506 20050 84936 1134 25825 749 1062 3020 0 0 1883 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196202" 160186 160186 0 0 160186 11920 0 0 1620 4476 20828 87425 1095 25966 784 1106 2863 0 0 2103 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196203" 164293 164293 0 0 164293 12176 0 0 1640 4463 21560 90100 1158 26059 820 1148 2840 0 0 2329 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196204" 168256 168256 0 0 168256 12568 0 0 1656 4496 22129 92592 1227 26374 855 1190 2835 0 0 2334 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196301" 171301 171301 0 0 171301 12882 0 0 1668 4453 22479 94986 1327 26538 890 1235 2517 0 0 2326 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196302" 175751 175751 0 0 175751 13427 0 0 1674 4123 23517 98074 1321 26707 925 1281 2127 0 0 2575 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196303" 180611 180611 0 0 180611 13594 0 0 1677 4078 24359 101354 1395 26902 962 1329 2070 0 0 2891 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196304" 185054 185054 0 0 185054 13780 0 0 1681 4124 24910 104272 1482 27331 1006 1379 2040 0 0 3049 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196401" 188724 188724 0 0 188724 14285 0 0 1686 4097 25326 106787 1486 27574 1067 1433 2023 0 0 2960 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196402" 193315 193315 0 0 193315 14550 0 0 1690 3997 26126 109865 1428 27810 1133 1487 2010 0 0 3219 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196403" 198023 198023 0 0 198023 14978 0 0 1693 4004 26757 113011 1485 28038 1192 1544 1972 0 0 3349 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196404" 202282 202282 0 0 202282 15436 0 0 1696 4023 27220 115721 1450 28525 1250 1609 1986 0 0 3366 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196501" 205839 205839 0 0 205839 15725 0 0 1698 3996 27625 117921 1589 28853 1312 1686 2019 0 0 3415 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196502" 210278 210278 0 0 210278 16165 0 0 1699 3900 28560 120527 1586 29020 1425 1772 2049 0 0 3575 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196503" 214990 214990 0 0 214990 16265 0 0 1700 3888 29640 123386 1505 29207 1479 1863 2154 23 0 3880 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196504" 219397 219397 0 0 219397 16683 0 0 1705 3900 30401 125840 1426 29589 1516 1954 2510 50 0 3823 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196601" 223305 223305 0 0 223305 16655 0 0 1714 3995 30816 127886 1672 29849 1567 2047 3261 84 0 3759 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196602" 227179 227179 0 0 227179 17142 0 0 1728 4121 31762 129519 1623 30026 1598 2147 3699 122 0 3692 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196603" 230219 230219 0 0 230219 17508 0 0 1741 4329 32401 130872 1502 30083 1645 2244 4068 188 0 3638 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196604" 232689 232689 0 0 232689 18097 0 0 1749 4537 32803 131797 1434 30233 1730 2327 4386 266 0 3330 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196701" 234169 234169 0 0 234169 18410 0 0 1751 4687 32797 132443 1435 30243 1761 2405 4592 356 0 3289 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196702" 237025 237025 0 0 237025 18632 0 0 1748 4775 33340 134133 1428 30072 1750 2484 4582 458 0 3623 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196703" 241435 241435 0 0 241435 18969 0 0 1744 5000 34372 136512 1425 29847 1784 2522 4983 551 0 3726 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196704" 245857 245857 0 0 245857 19505 0 0 1741 5253 35275 138760 1384 29763 1793 2560 5513 652 0 3658 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196801" 249262 249262 0 0 249262 20133 0 0 1742 5521 35753 140301 1319 29644 1794 2630 6154 761 0 3510 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196802" 253560 253560 0 0 253560 20552 0 0 1743 5760 36649 142365 1311 29450 1773 2688 6612 878 0 3769 10 " NA" " NA" " NA" " NA" " NA" " NA"
"196803" 258066 258066 0 0 258066 21158 0 0 1746 5994 37695 144825 1279 29198 1780 2686 6830 936 0 3914 25 " NA" " NA" " NA" " NA" " NA" " NA"
"196804" 262817 262817 0 0 262817 21622 0 0 1751 6155 38765 147339 1276 29030 1774 2724 7151 994 0 4201 35 " NA" " NA" " NA" " NA" " NA" " NA"
"196901" 264740 264740 0 0 264740 19531 0 0 1758 6263 39510 149460 1259 28929 1778 2755 7671 1052 0 4724 50 " NA" " NA" " NA" " NA" " NA" " NA"
"196902" 269621 269621 0 0 269621 19350 0 0 1767 6290 40583 152231 1182 28746 1772 2762 8155 1108 0 5591 84 " NA" " NA" " NA" " NA" " NA" " NA"
"196903" 274395 274395 0 0 274395 19749 0 0 1784 6331 41263 155281 1087 28502 1799 2725 9298 1236 0 5211 129 " NA" " NA" " NA" " NA" " NA" " NA"
