"DATES" "FL893065505.Q" "FL163165505.Q" "FL103165505.Q" "FL113165505.Q" "FL643165503.Q" "FL893065505.Q" "FL153065505.Q" "FL103065503.Q" "FL113065503.Q" "FL213065503.Q" "FL313065505.Q" "FL763065505.Q" "FL443065505.Q" "FL513065503.Q" "FL543065505.Q" "FL573065505.Q" "FL223065505.Q" "FL413065505.Q" "FL673065505.Q" "FL613065503.Q" "FL643065503.Q"
"195201" 13713 1541 9906 2266 0 13713 5036 27 0 0 5 2480 1728 120 4256 34 13 0 0 14 0
"195202" 13927 1614 9604 2710 0 13927 5076 28 0 0 5 2512 1784 121 4337 36 13 0 0 15 0
"195203" 14161 1701 9458 3002 0 14161 5125 29 0 0 5 2560 1830 122 4422 37 14 0 0 17 0
"195204" 14397 1781 9651 2965 0 14397 5171 30 0 0 6 2621 1874 123 4501 39 15 0 0 17 0
"195301" 14660 1850 10037 2773 0 14660 5238 31 0 0 6 2680 1918 125 4590 42 16 0 0 14 0
"195302" 14939 1892 9840 3207 0 14939 5303 32 0 0 7 2738 1973 129 4679 45 17 0 0 16 0
"195303" 15212 2014 9754 3444 0 15212 5366 32 0 0 10 2780 2039 134 4766 47 19 0 0 19 0
"195304" 15564 2073 10186 3305 0 15564 5462 32 0 0 17 2843 2105 139 4878 50 20 0 0 18 0
"195401" 15880 2149 10564 3168 0 15880 5567 32 0 0 12 2905 2164 143 4963 53 22 0 0 19 0
"195402" 16324 2253 10214 3857 0 16324 5700 32 0 0 16 3010 2250 145 5072 56 23 0 0 20 0
"195403" 16782 2341 9940 4501 0 16782 5846 32 0 0 9 3115 2335 145 5194 59 25 0 0 22 0
"195404" 17313 2319 10362 4632 0 17313 6016 33 0 0 9 3263 2366 143 5371 62 26 0 0 24 0
"195501" 17765 2340 10704 4721 0 17765 6114 36 0 0 14 3385 2444 144 5507 66 28 0 0 27 0
"195502" 18263 2062 10800 5401 0 18263 6248 40 0 0 24 3549 2493 146 5631 71 30 0 0 31 0
"195503" 18819 2091 10810 5919 0 18819 6407 44 0 0 26 3700 2573 149 5774 77 31 0 0 38 0
"195504" 19375 1867 11865 5643 0 19375 6589 47 0 0 30 3819 2625 152 5959 83 33 0 0 38 0
"195601" 19954 2214 12188 5552 0 19954 6738 49 0 0 32 3980 2708 156 6130 90 35 0 0 36 0
"195602" 20582 2350 12108 6124 0 20582 6916 50 0 0 37 4137 2782 159 6329 99 37 0 0 36 0
"195603" 21199 2662 11989 6548 0 21199 7093 51 0 0 35 4282 2866 161 6526 108 39 0 0 38 0
"195604" 21803 2674 12621 6508 0 21803 7262 54 0 0 37 4379 2952 161 6763 117 42 0 0 36 0
"195701" 22321 2649 13320 6352 0 22321 7427 58 0 0 38 4440 3010 161 6985 126 46 0 0 30 0
"195702" 22794 2613 13345 6836 0 22794 7558 63 0 0 52 4500 3076 161 7172 135 49 0 0 28 0
"195703" 23478 2847 13276 7355 0 23478 7782 68 0 0 52 4660 3154 161 7376 143 54 0 0 28 0
"195704" 24259 3002 13881 7376 0 24259 8022 72 0 0 56 4823 3224 161 7660 154 59 0 0 28 0
"195801" 24812 3498 14134 7180 0 24812 8181 76 0 0 55 4880 3344 161 7856 163 65 0 0 31 0
"195802" 25496 3845 14158 7493 0 25496 8390 80 0 0 56 5060 3481 161 7990 173 70 0 0 35 0
"195803" 26204 3852 14259 8093 0 26204 8595 84 0 0 55 5190 3633 161 8189 183 76 0 0 38 0
"195804" 27222 3694 15216 8312 0 27222 8885 87 0 0 54 5461 3780 160 8474 196 83 0 0 42 0
"195901" 27761 4022 15092 8647 0 27761 9054 74 0 0 51 5605 3921 160 8551 210 89 0 0 46 0
"195902" 28553 4143 15093 9317 0 28553 9302 62 0 0 50 5875 4105 158 8636 226 95 0 0 44 0
"195903" 29283 4173 15077 10033 0 29283 9540 21 0 0 48 6010 4268 155 8849 243 102 0 0 47 0
"195904" 30228 4151 15845 10232 0 30228 9826 21 0 0 47 6237 4405 146 9121 262 113 0 0 50 0
"196001" 30899 4709 15625 10565 0 30899 10017 22 0 0 46 6345 4549 145 9319 281 124 0 0 51 0
"196002" 31668 4712 15809 11147 0 31668 10225 23 0 0 45 6484 4717 145 9539 303 138 0 0 49 0
"196003" 32531 4853 15983 11695 0 32531 10464 24 0 0 45 6651 4906 147 9765 325 153 0 0 51 0
"196004" 33407 4866 16559 11982 0 33407 10708 24 0 0 45 6796 5076 149 10045 346 168 0 0 50 0
