"DATES" "FL153040005.Q" "FL313140003.Q" "FL543140003.Q" "FL153040005.Q" "FL153050005.Q" "FL543150005.Q" "FL573150005.Q" "FL223150005.Q" "FL344090005.Q" "FL153050005.Q"
"195201" 58445 6157 52288 58445 29583 6845 9314 5872 7552 29583
"195202" 59153 6177 52976 59153 30860 7129 9727 6066 7938 30860
"195203" 59892 6185 53707 59892 32292 7417 10090 6422 8363 32292
"195204" 60665 6185 54480 60665 33476 7700 10723 6642 8411 33476
"195301" 61439 6193 55246 61439 34586 7980 11199 6936 8471 34586
"195302" 62199 6211 55988 62199 36124 8259 11730 7331 8804 36124
"195303" 62937 6236 56701 62937 37389 8539 12232 7716 8902 37389
"195304" 63647 6259 57388 63647 38505 8825 12773 7966 8941 38505
"195401" 64339 6246 58093 64339 39764 9113 13315 8375 8961 39764
"195402" 65018 6187 58831 65018 41204 9401 13729 8801 9273 41204
"195403" 65687 6087 59600 65687 42347 9695 14248 9123 9281 42347
"195404" 66349 5960 60389 66349 43858 10000 15045 9454 9359 43858
"195501" 67031 5861 61170 67031 45342 10322 15915 9758 9347 45342
"195502" 67740 5809 61931 67740 47818 10663 17378 10075 9702 47818
"195503" 68498 5810 62688 68498 50186 11004 18759 10448 9975 50186
"195504" 69254 5795 63459 69254 51966 11325 19762 10831 10048 51966
"195601" 70104 5853 64251 70104 53886 11624 20879 11322 10061 53886
"195602" 71013 5943 65070 71013 55095 11895 21252 11571 10377 55095
"195603" 71904 6029 65875 71904 56680 12175 21771 11816 10918 56680
"195604" 72724 6098 66626 72724 58241 12500 22759 12071 10911 58241
"195701" 73468 6144 67324 73468 59600 12868 23337 12471 10924 59600
"195702" 74135 6166 67969 74135 62266 13279 24838 12925 11224 62266
"195703" 74784 6178 68606 74784 63406 13700 25035 13401 11270 63406
"195704" 75462 6185 69277 75462 64590 14100 25349 13795 11346 64590
"195801" 76183 6192 69991 76183 66698 14475 26369 14343 11511 66698
"195802" 76958 6203 70755 76958 69111 14826 27771 14655 11859 69111
"195803" 77752 6219 71533 77752 71972 15189 29504 15109 12170 71972
"195804" 78535 6241 72294 78535 74947 15600 31460 15607 12280 74947
"195901" 79331 6268 73063 79331 77007 16068 32444 16082 12413 77007
"195902" 80133 6299 73834 80133 80082 16602 34195 16487 12798 80082
"195903" 80994 6327 74667 80994 82234 17129 34927 17057 13121 82234
"195904" 81956 6350 75606 81956 85033 17575 36736 17558 13164 85033
"196001" 82895 6371 76524 82895 86259 17946 36919 18143 13251 86259
"196002" 83772 6389 77383 83772 89296 18248 38425 18687 13936 89296
"196003" 84539 6406 78133 84539 90160 18532 38502 19088 14038 90160
"196004" 85184 6426 78758 85184 93865 18850 41195 19730 14090 93865
"196101" 85872 6447 79425 85872 97898 19191 44055 20511 14141 97898
"196102" 86665 6469 80196 86665 100808 19544 45227 21110 14927 100808
"196103" 87588 6493 81095 87588 103423 19900 46820 21707 14996 103423
"196104" 88631 6519 82112 88631 107215 20250 49700 22259 15006 107215
"196201" 89663 6548 83115 89663 108989 20591 50308 23036 15054 108989
"196202" 90651 6579 84072 90651 106318 20920 46121 23369 15908 106318
"196203" 91563 6612 84951 91563 109271 21258 48117 23973 15923 109271
"196204" 92398 6644 85754 92398 113731 21625 51589 24518 15999 113731
"196301" 93355 6677 86678 93355 117121 22016 53907 25150 16048 117121
"196302" 94378 6711 87667 94378 121414 22427 55988 25999 17000 121414
"196303" 95473 6744 88729 95473 124643 22856 58021 26693 17073 124643
"196304" 96635 6775 89860 96635 127964 23300 60135 27369 17160 127964
"196401" 97719 6803 90916 97719 132524 23764 63146 28346 17268 132524
"196402" 98806 6827 91979 98806 137404 24250 65671 29304 18179 137404
"196403" 99913 6851 93062 99913 141251 24748 68118 30037 18348 141251
"196404" 101051 6879 94172 101051 144772 25250 70477 30636 18409 144772
"196501" 102149 6910 95239 102149 148653 25837 72656 31680 18480 148653
"196502" 103382 6944 96438 103382 151419 26341 73065 32463 19550 151419
"196503" 104656 6979 97677 104656 157541 26818 77694 33301 19728 157541
"196504" 105876 7013 98863 105876 161999 27325 80872 34078 19724 161999
"196601" 107050 7042 100008 107050 165194 27846 82403 35198 19747 165194
"196602" 108192 7070 101122 108192 167435 28367 82181 36052 20835 167435
"196603" 109349 7096 102253 109349 166801 28892 79917 37057 20935 166801
"196604" 110570 7120 103450 110570 172487 29425 83969 38116 20977 172487
"196701" 111835 7144 104691 111835 181081 29976 90880 39300 20925 181081
"196702" 113072 7168 105904 113072 185670 30617 92716 40294 22043 185670
"196703" 114314 7188 107126 114314 192242 31276 97449 41443 22074 192242
"196704" 115535 7200 108335 115535 195629 31939 98754 42644 22292 195629
"196801" 116737 7202 109535 116737 195262 32612 97030 43286 22334 195262
"196802" 117921 7194 110727 117921 207230 33300 105285 45042 23603 207230
"196803" 119110 7186 111924 119110 212779 33797 108948 46440 23594 212779
"196804" 120324 7186 113138 120324 218721 34696 112350 48047 23628 218721
"196901" 121561 7197 114364 121561 220281 35300 112086 49140 23755 220281
"196902" 122814 7217 115597 122814 223828 36003 112541 50413 24871 223828
"196903" 124083 7239 116844 124083 226278 36718 112473 51911 25176 226278
"196904" 125362 7252 118110 125362 230936 37561 114981 53247 25147 230936
"197001" 126703 7321 119382 126703 233842 38343 115687 54627 25185 233842
"197002" 127979 7333 120646 127979 225789 39123 104996 54760 26910 225789
"197003" 129295 7344 121951 129295 241214 39971 116374 57823 27046 241214
"197004" 130703 7358 123345 130703 253749 40960 124958 60303 27528 253749
"197101" 132202 7375 124827 132202 267832 42102 134734 63270 27726 267832
"197102" 133786 7393 126393 133786 274414 43385 136512 64934 29583 274414
"197103" 135417 7412 128005 135417 282431 44749 141119 66749 29814 282431
"197104" 137055 7429 129626 137055 293492 46131 148018 68972 30371 293492
"197201" 138724 7459 131265 138724 308275 47585 158246 72155 30289 308275
"197202" 140430 7498 132932 140430 319267 49169 163417 74258 32423 319267
"197203" 142166 7540 134626 142166 331095 50718 170943 76741 32693 331095
"197204" 143930 7581 136349 143930 349329 52063 183316 80586 33364 349329
"197301" 145734 7624 138110 145734 349273 53212 181659 81220 33182 349273
"197302" 147589 7671 139918 147589 349081 54172 177701 81711 35497 349081
"197303" 149452 7717 141735 149452 366497 55084 190676 85544 35193 366497
"197304" 151278 7756 143522 151278 358451 56089 182208 84655 35499 358451
"197401" 153061 7789 145272 153061 367676 57019 188647 86897 35113 367676
"197402" 154793 7816 146977 154793 367681 57733 183906 87130 38912 367681
"197403" 156548 7842 148706 156548 348136 58695 166895 84420 38126 348136
"197404" 158399 7871 150528 158399 367498 60372 181175 87713 38238 367498
"197501" 161446 9015 152431 161446 400150 62694 205777 93732 37947 400150
"197502" 163796 9394 154402 163796 441607 65593 232741 100230 43043 441607
"197503" 165855 9433 156422 165855 443098 68877 232562 99697 41962 443098
