"DATES" "FL893190005.Q" "FL543077003.Q" "FL103190005.Q" "FL113190005.Q" "FL313190005.Q" "FL263190005.Q" "FL713190005.Q" "FL763190005.Q" "FL443190005.Q" "FL473193005.Q" "FL513190005.Q" "FL543190005.Q" "FL403190005.Q" "FL613190005.Q" "FL643193005.Q" "FL663190005.Q" "FL503190005.Q" "FL893090005.Q" "FL153090005.Q" "FL103090005.Q" "FL113090003.Q" "FL133090005.Q" "FL213093005.Q" "FL313090005.Q" "FL263090005.Q" "FL713090005.Q" "FL763090005.Q" "FL443090005.Q" "FL473090005.Q" "FL513092003.Q" "FL543090005.Q" "FL573090005.Q" "FL223093003.Q" "FL343150005.Q" "FL633093005.Q" "FL653093003.Q" "FL403093005.Q" "FL613090005.Q" "FL643093005.Q" "FL663090005.Q" "FL503094505.Q" "FL903090005.Q"
"195201" 52952 1105 5162 80 10747 15642 258 1344 1100 65 8488 4994 1428 1356 0 1107 76 46253 9456 14873 1591 1147 -250 1208 4824 206 998 1382 -25 86 1820 742 0 7552 0 0 216 427 0 0 0 6699
"195202" 55233 1123 5545 81 11033 16504 361 1440 1110 72 8750 5175 1386 1479 0 1109 65 48211 9633 15372 1644 1170 0 1208 4997 233 1164 1477 -27 88 1862 776 0 7938 0 0 218 458 0 0 0 7022
"195203" 56986 1142 5821 82 11376 16997 220 1568 1315 80 9011 5335 1328 1579 0 1071 60 49569 9811 15813 1698 1193 0 1200 5162 307 1007 1507 -29 90 1903 808 0 8363 0 0 222 514 0 0 0 7417
"195204" 58296 1162 5866 84 11342 17630 524 1606 1030 87 9267 5508 1384 1676 0 1064 66 51467 10648 16279 1748 1214 0 1211 5635 207 1075 1588 -31 90 1942 832 0 8411 0 0 81 537 0 0 0 6829
"195301" 59237 1184 5723 85 11355 18037 431 1608 1267 93 9492 5670 1514 1650 0 1057 70 52764 10829 16796 1797 1234 0 1222 5775 224 1200 1680 -32 92 1979 849 0 8471 0 0 229 419 0 0 0 6473
"195302" 60692 1207 6013 87 11622 18406 281 1741 1256 101 9708 5822 1543 1793 0 1052 60 53841 10996 17322 1842 1254 0 1194 5768 148 1118 1759 -35 94 2012 858 0 8804 0 0 228 479 0 0 0 6851
"195303" 62373 1231 6293 89 11674 18740 443 1907 1476 110 9911 5934 1537 1924 0 1046 58 55004 11146 17911 1890 1273 0 1184 5921 244 971 1761 -37 96 2047 867 0 8902 0 0 233 595 0 0 0 7369
"195304" 62405 1254 6255 91 11632 18967 572 1613 1169 123 10107 6038 1621 1849 0 1036 78 55810 11293 18159 1938 1291 0 1179 6055 205 1064 1881 -39 96 2087 876 0 8941 0 0 228 556 0 0 0 6595
"195401" 63434 1275 6090 93 11608 19287 458 1640 1426 140 10268 6264 1856 1924 0 1031 74 56640 11408 18593 1987 1309 0 1146 6110 219 833 2174 -40 98 2132 891 0 8961 0 0 234 585 0 0 0 6794
"195402" 65403 1294 6559 95 11844 19883 465 1735 1436 156 10400 6492 1900 2041 0 1035 68 58217 11487 18975 2037 1327 0 1184 6159 150 1236 2377 -43 100 2182 905 0 9273 0 0 252 616 0 0 0 7186
"195403" 66951 1315 6975 97 11835 20205 477 1884 1784 172 10529 6616 1855 2107 0 1029 71 58889 11573 19265 2087 1344 0 1251 6132 232 1164 2405 -45 102 2234 923 0 9281 0 0 233 708 0 0 0 8062
"195404" 68065 1341 7027 99 11840 20586 546 1839 1519 190 10721 6701 2024 2512 0 1043 77 59942 11668 19566 2133 1364 0 1350 6150 192 1289 2475 -48 113 2283 954 0 9359 0 0 321 773 0 0 0 8123
"195501" 69745 1371 6985 101 11839 21280 529 1681 1937 203 10891 6805 2115 2866 0 1047 94 61436 11810 20034 2173 1389 0 1447 6653 199 1187 2625 -49 115 2329 999 0 9347 0 0 306 872 0 0 0 8309
"195502" 73491 1405 7523 104 12063 22147 528 2154 1982 218 11075 6994 2161 3995 0 1052 91 63800 11918 20674 2209 1418 0 1538 7049 197 1358 2892 -52 117 2372 1057 0 9702 0 0 319 1032 0 0 0 9691
"195503" 76009 1442 7886 106 12232 22834 500 2404 2312 234 11265 7148 2025 4460 0 1057 104 65191 12009 21126 2246 1446 0 1604 7333 208 1360 2689 -55 119 2418 1123 0 9975 0 0 317 1273 0 0 0 10818
"195504" 77904 1482 7795 109 12270 23682 646 2603 1730 252 11484 7345 2027 5336 0 1052 91 66166 12173 21592 2283 1472 0 1661 7526 221 1286 2577 -58 123 2477 1191 0 10048 0 0 313 1281 0 0 0 11738
"195601" 78645 1525 7455 111 12187 24419 449 2732 2160 272 11667 7570 2149 4767 0 1047 135 68102 12247 22628 2315 1495 0 1766 7803 182 1385 2841 -61 125 2548 1263 0 10061 0 0 311 1193 0 0 0 10543
"195602" 80868 1573 7830 113 12466 25418 451 2959 2031 292 11843 7797 2198 4759 0 1040 98 70103 12356 23298 2346 1514 0 1881 7943 292 1592 2951 -64 128 2633 1344 0 10377 0 0 328 1184 0 0 0 10765
"195603" 83088 1622 8123 115 12971 26656 354 2909 2417 314 12028 7865 2088 4463 0 1043 120 72267 12433 24162 2377 1532 0 2098 8082 353 1712 2814 -66 131 2719 1425 0 10918 0 0 316 1261 0 0 0 10821
