"DATES" "FL893193005.Q" "FL103193005.Q" "FL113193003.Q" "FL313193013.Q" "FL263193005.Q" "FL713193005.Q" "FL763193005.Q" "FL723193005.Q" "FL753193005.Q" "FL733193005.Q" "FL743193005.Q" "FL443193005.Q" "FL473193005.Q" "FL543193005.Q" "FL403193005.Q" "FL613193005.Q" "FL643193005.Q" "FL663193005.Q" "FL503193005.Q" "FL893093005.Q" "FL103093005.Q" "FL113093005.Q" "FL213093005.Q" "FL313093003.Q" "FL263093005.Q" "FL713093005.Q" "FL763093005.Q" "FL723093005.Q" "FL753093005.Q" "FL733093005.Q" "FL743093005.Q" "FL443093005.Q" "FL473093005.Q" "FL543093005.Q" "FL573093005.Q" "FL223093003.Q" "FL653093003.Q" "FL633093005.Q" "FL403093005.Q" "FL613093005.Q" "FL643093005.Q" "FL663093005.Q" "FL903090005.Q"
"195201" 11226 2387 0 418 1316 16 1156 1399 -230 0 -13 1100 65 2008 414 1334 0 936 76 4527 350 0 -250 0 1108 206 706 526 -40 0 220 747 -25 589 603 0 0 0 216 356 0 -79 6699
"195202" 12066 2695 0 367 1582 116 1249 1482 -220 0 -13 1110 72 2120 298 1456 0 936 65 5044 233 0 0 0 1203 233 867 669 -24 0 222 770 -27 611 631 0 0 0 218 384 0 -79 7022
"195203" 12746 2920 0 333 1772 -27 1374 1605 -219 0 -12 1315 80 2208 260 1555 0 896 60 5329 343 0 0 0 1313 307 706 515 -33 0 224 821 -29 631 657 0 0 0 222 437 0 -79 7417
"195204" 12422 2900 0 275 1937 271 1407 1648 -229 0 -12 1030 87 1644 266 1653 0 886 66 5593 352 0 0 0 1690 207 763 580 -44 0 227 853 -31 645 672 0 0 0 81 454 0 -93 6829
"195301" 12425 2666 0 266 1946 174 1406 1665 -247 0 -12 1267 93 1713 322 1626 0 876 70 5952 461 0 0 0 1735 224 882 438 218 0 226 873 -32 658 682 0 0 0 229 333 0 -93 6473
"195302" 12749 2923 0 251 1906 21 1535 1771 -223 0 -13 1256 101 1763 299 1768 0 866 60 5898 528 0 0 0 1689 148 795 593 -20 0 222 900 -35 666 683 0 0 0 228 389 0 -93 6851
"195303" 13604 3116 0 263 1869 181 1697 1934 -224 0 -13 1476 110 1772 308 1898 0 856 58 6235 716 0 0 0 1748 244 643 458 -36 0 221 920 -37 675 685 0 0 0 233 501 0 -93 7369
"195304" 12837 2998 0 226 1774 307 1406 1648 -229 0 -13 1169 123 1770 305 1825 0 856 78 6242 638 0 0 0 1804 205 730 570 -62 0 222 955 -39 688 685 0 0 0 228 458 0 -110 6595
"195401" 13031 2757 0 232 1808 188 1429 1674 -232 0 -13 1426 140 1901 331 1899 0 846 74 6237 749 0 0 0 1776 219 492 294 -28 0 226 1032 -40 710 692 0 0 0 234 483 0 -110 6794
"195402" 13834 3129 0 216 1919 193 1521 1769 -234 0 -14 1436 156 2037 298 2015 0 846 68 6648 702 0 0 0 1721 150 890 666 -6 0 230 1138 -43 738 700 0 0 0 252 510 0 -110 7186
"195403" 14817 3450 0 250 1948 201 1667 1920 -240 0 -13 1784 172 2068 290 2080 0 836 71 6755 761 0 0 0 1594 232 811 561 14 0 236 1205 -45 766 710 0 0 0 233 598 0 -110 8062
"195404" 14968 3503 0 242 1908 258 1606 1929 -310 0 -13 1519 190 2020 324 2485 0 836 77 6845 664 0 0 0 1517 192 920 690 -18 0 248 1235 -48 787 730 0 0 0 321 657 0 -130 8123
"195501" 15764 3354 0 292 2192 235 1445 1757 -299 0 -13 1937 203 2015 323 2838 0 836 94 7455 799 0 0 0 1912 199 809 560 -1 0 250 1295 -49 800 762 0 0 0 306 752 0 -130 8309
"195502" 18130 3761 0 254 2443 233 1914 2203 -277 0 -12 1982 218 2086 346 3966 0 836 91 8439 893 0 0 0 2184 197 976 735 -9 0 250 1541 -52 806 798 0 0 0 319 907 0 -130 9691
"195503" 19743 4019 0 260 2681 202 2160 2459 -288 0 -11 2312 234 2121 384 4430 0 836 104 8925 933 0 0 0 2367 208 971 779 -59 0 251 1516 -55 812 843 0 0 0 317 1143 0 -130 10818
"195504" 20466 3884 0 238 2929 343 2348 2652 -293 0 -11 1730 252 2180 339 5306 0 826 91 8728 836 0 0 0 2450 221 888 702 -69 0 255 1363 -58 828 896 0 0 0 313 1145 0 -154 11738
"195601" 19984 3421 0 233 2975 139 2473 2773 -288 0 -12 2160 272 2294 330 4736 0 816 135 9441 1224 0 0 0 2604 182 977 683 36 0 258 1501 -61 853 952 0 0 0 311 1052 0 -154 10543
"195602" 20672 3694 0 231 3158 135 2697 2993 -285 0 -11 2031 292 2416 387 4727 0 806 98 9907 1121 0 0 0 2637 292 1174 788 125 0 261 1622 -64 887 1027 0 0 0 328 1037 0 -154 10765
"195603" 20966 3897 0 261 3318 34 2644 2955 -299 0 -12 2417 314 2381 344 4430 0 806 120 10145 1039 0 0 0 2682 353 1286 818 202 0 266 1559 -66 921 1101 0 0 0 316 1108 0 -154 10821
"195604" 20371 3687 0 263 3326 225 2530 2862 -320 0 -12 1831 336 2410 500 4349 0 806 108 10436 896 0 0 0 3242 325 1340 832 234 0 274 1477 -70 947 1153 0 0 0 296 1011 0 -181 9935
"195701" 20431 3304 0 311 3366 118 2480 2809 -317 0 -12 2305 359 2451 428 4393 0 796 120 10262 1024 0 0 0 3277 220 1275 752 235 0 288 1459 -73 967 1200 0 0 0 300 794 0 -181 10169
"195702" 20894 3434 0 400 3371 -134 2831 3146 -303 0 -12 2138 384 2540 435 4573 0 796 126 10656 827 0 0 0 3396 212 1563 977 278 0 308 1712 -76 982 1223 0 0 0 301 697 0 -181 10238
"195703" 21505 3671 0 386 3284 77 2941 3330 -377 0 -12 2551 412 2530 425 4313 0 796 119 11064 880 0 0 0 3676 210 1636 1049 258 0 329 1667 -78 996 1260 0 0 0 308 690 0 -181 10441
"195704" 20650 3611 0 296 3126 67 2925 3361 -423 0 -13 1952 443 2590 476 4255 0 786 123 11000 849 0 0 0 3712 308 1566 926 288 0 352 1601 -83 1011 1298 0 0 0 300 652 0 -214 9650
"195801" 20123 3314 0 294 3205 101 2784 3198 -400 0 -14 2404 478 2581 478 3545 0 786 153 11047 807 0 0 0 3870 259 1502 829 311 0 362 1508 -86 1028 1322 0 0 0 298 760 0 -221 9076
"195802" 20757 3501 0 308 3000 526 3084 3406 -308 0 -14 2344 511 2811 474 3229 0 786 183 12451 1021 0 0 0 3931 259 2142 1382 393 0 367 1855 -89 1043 1335 0 0 0 314 869 0 -229 8306
"195803" 21796 3903 0 335 2768 135 3300 3636 -322 0 -14 2954 544 2862 448 3600 0 776 171 12041 1016 0 0 0 3846 244 1748 913 465 0 370 1813 -91 1061 1345 0 0 0 318 978 0 -237 9755
"195804" 21918 3950 0 317 2609 236 3470 3843 -358 0 -15 2468 577 2767 477 4155 0 776 116 12234 805 0 0 0 3789 240 1897 1073 448 0 376 1992 -96 1083 1366 0 0 0 320 1083 0 -245 9684
"195901" 22762 4036 0 317 2599 363 3577 3944 -352 0 -15 3133 604 2652 612 3955 0 765 149 13115 1268 0 0 0 3846 245 2045 1091 591 0 363 2048 -99 1112 1410 0 0 0 308 1186 0 -254 9647
"195902" 22629 4019 0 317 2541 131 3913 4275 -348 0 -14 3207 630 2601 531 3825 0 764 150 13209 1483 0 0 0 2998 279 2136 999 791 0 346 2643 -103 1149 1455 0 0 0 316 1116 0 -263 9420
"195903" 23858 4101 0 317 2719 173 4150 4555 -391 0 -14 3721 657 2494 481 4105 0 754 186 14202 1512 0 0 0 3225 319 2819 1561 953 0 305 2447 -106 1187 1518 0 0 0 342 1211 0 -272 9656
"195904" 23808 4188 0 317 2781 498 3818 4270 -437 0 -15 2871 686 2554 559 4628 0 756 152 13060 1041 0 0 0 3264 363 2052 1288 440 0 324 2299 -111 1220 1570 0 0 0 363 1280 0 -281 10748
"196001" 23080 4166 0 317 2861 127 3626 4126 -483 0 -17 3422 719 2733 575 3608 0 746 180 14811 2202 0 0 0 3647 365 2306 1396 580 0 330 2154 -114 1248 1652 0 0 0 343 1299 0 -291 8269
"196002" 22929 4095 0 317 2880 626 3031 3453 -403 0 -19 3220 750 2870 563 3642 0 746 189 14681 1519 0 0 0 3757 535 2311 1279 696 0 336 2430 -118 1270 1725 0 0 0 360 1193 0 -301 8248
