"DATES" "FL894104005.Q" "FL893111005.Q" "FL713014003.Q" "FL313112003.Q" "FL263191003.Q" "FL774110005.Q" "FL793120005.Q" "FL793131005.Q" "FL793135005.Q" "FL634000005.Q" "FL792150005.Q" "FL654090005.Q" "FL893167005.Q" "FL153040005.Q" "FL153050005.Q" "FL893170005.Q" "FL893178005.Q" "FL893190005.Q" "FL894190005.Q" "FL883011203.Q" "FL893064105.Q" "FL152090205.Q" "FL903012005.Q" "FL903091005.Q" "FL904010005.Q" "FL902050005.Q" "FL903078005.Q" "FL903090005.Q" "FL903028003.Q" "FL903023005.Q" "FL903029200.Q" "FL903070005.Q" "FL894090005.Q"
"195201" 452386 1466 0 2413 84 25922 130528 73989 4621 0 -926 3612 4704 58445 29583 45475 20151 52952 905405 23428 170033 323343 -2162 0 521 -1466 10040 6699 1500 -1426 3999 -10294 1414798
"195202" 461312 1446 0 2420 102 24849 132121 76228 4731 0 -933 3696 5511 59153 30860 43494 17866 55233 918089 23533 177569 323942 -2178 0 499 -1652 7902 7022 1500 -852 5376 -11229 1436745
"195203" 471623 1456 0 2429 98 26878 134018 77811 4654 0 -1131 3837 5026 59892 32292 46490 18659 56986 941018 23526 177773 324710 -2196 0 948 -2460 8583 7417 1514 -702 3814 -12824 1462933
"195204" 484881 1462 0 2435 75 26264 138678 80183 4858 0 -1081 3932 5661 60665 33476 48947 18815 58296 967547 23252 168555 322399 -2221 0 709 -2152 8612 6829 1559 -838 7209 -10294 1472340
"195301" 487071 1460 0 2438 102 26541 134481 82113 4908 0 -955 3867 5433 61439 34586 48368 17283 59237 968372 22649 165387 320704 -2232 0 601 -1975 9170 6473 1606 -1397 5362 -13203 1472707
"195302" 494643 1418 0 2451 74 25254 132531 84736 5132 0 -1065 3778 5665 62199 36124 48776 16363 60692 978771 22521 155600 319269 -2247 0 665 -1822 8360 6851 1655 -992 6126 -11835 1469400
"195303" 508018 1439 0 2458 85 25656 136105 86346 5157 0 -1025 3753 5830 62937 37389 50030 18802 62373 1005353 22220 151067 320171 -2258 0 885 -2595 10670 7369 1711 -975 4640 -12263 1491627
"195304" 516899 1367 0 2469 114 26088 138710 88467 5803 0 -1165 4146 6513 63647 38505 49460 19889 62405 1023317 22091 164584 322141 -2269 0 786 -2113 11672 6595 1780 -653 7208 -9337 1518464
"195401" 515024 1323 0 2491 115 24573 133696 90512 6435 0 -1256 4512 6104 64339 39764 48504 16006 63434 1015576 22035 178055 322501 -2288 0 480 -1613 10813 6794 1839 -1171 4987 -11712 1530038
"195402" 520464 1303 0 2501 128 24715 135866 93406 6878 0 -1232 4895 7085 65018 41204 48736 12623 65403 1028993 22027 196162 322721 -2302 0 849 -1702 7562 7186 1865 -946 5543 -10935 1562783
"195403" 528225 1175 0 2503 150 24516 137222 95052 7280 0 -1192 5469 7606 65687 42347 51009 14743 66951 1048743 21863 217910 324003 -2312 0 1043 -2473 9572 8062 1846 -470 3895 -11455 1604811
"195404" 542025 1185 0 2505 158 24629 143349 97834 6985 0 -1545 6110 8647 66349 43858 53753 16401 68065 1080308 21793 224300 325853 -2324 0 737 -1945 11101 8123 1765 -36 6715 -8784 1636902
"195501" 544096 1141 0 2508 147 24626 138890 99965 6945 0 -1551 6525 8645 67031 45342 54003 14300 69745 1082358 21763 232079 328187 -2333 0 539 -2259 7658 8309 1704 186 4402 -11712 1657893
"195502" 554500 1121 0 2507 127 24327 140141 102541 7025 0 -1730 7186 9013 67740 47818 56181 13060 73491 1105048 21730 258468 328843 -2339 0 835 -2140 6482 9691 1739 -717 5881 -10555 1705212
"195503" 566623 1108 0 2507 123 25623 140826 104096 6880 0 -1680 7257 9008 68498 50186 60883 16468 76009 1134415 21745 276004 331600 -2343 0 919 -3371 9724 10818 1878 -656 3884 -10459 1753370
"195504" 582326 1044 0 2507 129 26261 145680 106606 6668 0 -1979 7839 9628 69254 51966 64939 19690 77904 1170462 21753 281765 335009 -2345 0 1036 -3362 12766 11738 2117 -427 6907 -7294 1787853
"195601" 585015 1048 0 2509 95 25675 142244 108798 6588 0 -1841 8555 9205 70104 53886 64385 16302 78645 1171213 21765 302590 340007 -2350 0 760 -3019 10029 10543 2376 -309 4491 -9987 1823041
"195602" 590097 979 0 2512 141 24823 142494 111792 6775 0 -1970 8613 9055 71013 55095 66624 13110 80868 1182021 21868 292672 344970 -2364 0 779 -2556 6953 10765 2575 -656 5392 -9289 1829932
"195603" 598853 1052 0 2517 119 26630 142444 113421 6639 0 -1660 8506 8750 71904 56680 69135 15539 83088 1203617 22032 286758 348339 -2373 0 1082 -4138 9233 10821 2721 -488 3986 -10975 1850877
"195604" 611787 1608 0 2526 138 27328 147602 116243 6459 0 -1901 9046 8991 72724 58241 71309 18206 84024 1234331 22058 307024 351265 -2384 0 1122 -3825 11729 9935 2821 -60 6661 -8437 1897116
"195701" 616521 1588 0 2533 198 25279 143972 119536 6696 0 -1513 9106 8167 73468 59600 70726 15570 85513 1236960 22406 291995 354718 -2396 0 523 -3342 9970 10169 2928 -549 4321 -11159 1895614
"195702" 620403 1649 0 2544 176 26196 143043 123078 6703 0 -1702 9687 8712 74135 62266 70598 13118 88302 1248908 22732 313429 357274 -2407 0 691 -2420 7673 10238 3095 -721 4728 -10927 1932393
"195703" 632314 1898 0 2552 153 26288 144728 124998 6738 0 -1540 9001 8628 74784 63406 71971 14921 89774 1270614 22759 284196 360871 -2418 0 886 -4499 9327 10441 3338 -252 2963 -11417 1930071
"195704" 643033 1975 0 2562 131 26590 147124 128323 6677 0 -1933 8714 8712 75462 64590 74349 16256 89999 1292564 22857 279633 363222 -2428 0 788 -4622 10525 9650 3675 -5 5479 -6654 1941868
"195801" 645315 2042 0 2578 160 24165 143407 131906 8778 0 -2168 9463 9096 76183 66698 71629 13257 90905 1293414 22487 297466 369611 -2448 0 -72 -4692 8909 9076 3985 56 3417 -11395 1976142
"195802" 654369 2084 0 2590 132 24558 147865 136089 10048 0 -2128 10610 10856 76958 69111 73335 10433 93193 1320103 21412 316492 373090 -2457 0 -255 -2825 6263 8306 4146 6 4228 -9708 2023393
"195803" 661800 2031 0 2593 172 25294 145579 139021 9584 0 -1717 11791 9430 77752 71972 77184 11910 95224 1339620 20929 351866 376338 -2470 0 491 -4397 7583 9755 4182 -120 2158 -11014 2082585
"195804" 681959 1958 0 2600 149 26094 152969 142594 9268 0 -2081 13242 10447 78535 74947 80719 13724 96462 1383586 20582 370936 378101 -2478 0 888 -3920 9199 9684 4120 -162 5434 -7493 2137933
"195901" 688658 1793 0 2606 143 25690 147117 145217 9185 0 -1807 14132 9888 79331 77007 81693 13226 98621 1392500 20486 380046 379147 -2484 0 818 -2441 6530 9647 3981 -165 2709 -8922 2162506
"195902" 705203 2111 0 2621 137 26533 148412 149108 8804 0 -1381 14973 10053 80133 80082 83743 13825 100537 1424894 19746 396439 378470 -2502 0 1140 -1820 7138 9420 3785 -565 3592 -8650 2208011
"195903" 721878 2085 0 2626 145 25678 150588 151384 8045 0 -1601 14747 9935 80994 82234 84684 14645 102887 1450954 19579 390321 377788 -2527 0 1312 -3083 7966 9656 3473 -158 2113 -9817 2229707
"195904" 739030 1997 0 2639 132 26573 154416 154121 7527 0 -1878 15818 10510 81956 85033 87081 15537 104001 1484493 19507 413667 378788 -2516 0 1212 -2914 8862 10748 2979 -166 6028 -6175 2278397
"196001" 743537 1888 0 2652 121 25893 146475 156063 7463 0 -869 15312 8980 82895 86259 88551 14203 104623 1484046 19457 389055 381409 -2532 0 805 -1573 8169 8269 2536 -405 4028 -9028 2263698
"196002" 755365 1807 0 2661 140 25841 149325 159640 7929 0 -1453 16097 9383 83772 89296 89411 13391 106438 1509043 19363 399948 382290 -2537 0 950 -2122 7340 8248 2376 -698 4981 -7926 2300032
"196003" 765214 1705 0 2673 191 27298 151285 162772 8733 0 -1677 15640 10230 84539 90160 90959 13743 107700 1531165 18725 371099 385269 -2546 0 1142 -2632 7675 8654 2605 -520 2952 -9613 2298541
"196004" 780495 1555 0 2686 148 26568 156322 165847 11090 0 -2095 17026 10864 85184 93865 92767 14924 107726 1564972 17804 420273 388749 -2556 0 1288 -2794 8848 8007 3208 -347 6396 -6347 2376095
"196101" 781683 1555 0 2691 189 24535 149028 171051 11431 0 -1813 19440 10419 85872 97898 92168 13223 111209 1570579 17433 470438 391274 -2562 0 829 -2726 7109 10670 3830 -296 4217 -8973 2437626
"196102" 792944 1705 0 2707 213 25149 151975 176434 12637 0 -1964 20003 11795 86665 100808 93559 12313 112895 1599838 17603 471181 394806 -2574 0 771 -2718 6202 8004 4117 -308 5213 -10025 2474746
"196103" 808152 2064 0 2723 238 26326 155416 179040 13743 0 -1727 21007 11775 87588 103423 95733 13156 115440 1634097 17457 484154 399824 -2683 0 1202 -3047 7053 10110 4099 -777 3864 -11742 2527453
"196104" 828772 1806 0 2740 236 28555 162367 184140 13536 0 -2120 22875 13113 88631 107215 97560 14666 117023 1681115 16947 521094 405285 -2689 0 1977 -2708 8478 9479 3804 -222 7426 -8247 2607143
"196201" 835937 1686 0 2748 234 26010 154500 190451 15569 0 -1831 23048 11923 89663 108989 97262 14624 119324 1690137 16643 510450 410429 -2684 0 887 -2729 7832 10553 3470 -276 4862 -10465 2616209
"196202" 852433 1963 0 2757 296 26141 158642 197269 16208 0 -1950 18436 11381 90651 106318 98036 14611 121763 1714955 16527 390218 413057 -2685 0 883 -2812 7850 9107 3331 -365 6257 -10316 2523507
"196203" 864455 1528 0 2749 788 28648 157533 202547 15579 0 -1635 19088 12055 91563 109271 101407 15911 123315 1744802 16082 412673 417498 -2645 0 1532 -3495 9179 9741 3366 -858 4298 -11280 2581217
"196204" 888365 1163 0 2760 790 29196 167739 209944 16374 0 -2068 21271 13761 92398 113731 102538 16302 123777 1798041 16057 503823 421515 -2651 0 1302 -3592 9590 8633 3541 37 8095 -8052 2722533
"196301" 895534 1242 0 2769 828 26160 159341 216743 18160 0 -1762 22549 12709 93355 117121 102625 15799 126763 1809936 15946 532830 423227 -2653 0 560 -2777 7899 9743 3735 -25 5434 -10767 2770790
"196302" 915366 1235 0 2779 1065 26328 165104 223877 18457 0 -1945 23693 14474 94378 121414 103549 15416 130541 1855731 15830 558992 422381 -2652 0 719 -2839 7503 8484 3820 -360 6693 -11504 2843070
"196303" 928827 1204 0 2788 1000 27677 163696 228467 18781 0 -2050 24496 15745 95473 124643 106095 16422 133600 1886864 15634 582272 421073 -2644 0 1140 -3853 8495 10348 3815 78 4709 -12278 2896033
"196304" 954452 1247 0 2806 731 28421 172925 235539 20313 0 -2554 25215 16414 96635 127964 109947 17292 134450 1941797 15596 558475 426078 -2616 0 1249 -2628 9366 9534 3729 118 8798 -7714 2922110
"196401" 963659 1344 0 2825 867 26861 165628 241251 22067 0 -2251 26881 15373 97719 132524 107747 17015 136898 1956408 15550 593215 426300 -2598 0 726 -2390 9028 10919 4135 328 6567 -11814 2976572
"196402" 985025 968 0 2841 978 27137 170747 248397 22631 0 -2247 27682 16486 98806 137404 109359 16342 141199 2003755 15623 612252 431135 -2581 0 622 -3597 8281 10956 3603 -99 7880 -11981 3049681
"196403" 1002111 878 0 2855 1243 28443 172879 253848 23209 0 -2658 29131 16184 99913 141251 113131 17073 144686 2044177 15643 633228 435766 -2542 0 1303 -4367 9037 12505 3628 -429 5769 -14139 3118049
