DATES,FL664090005.Q,FL663020003.Q,FL664004005.Q,FL663069103.Q,FL663061105.Q,FL663061703.Q,FL663062003.Q,FL663063005.Q,FL663069803.Q,FL663064003.Q,FL663067003.Q,FL663090005.Q,FL664190005.Q,FL662150005.Q,FL664104005.Q,FL663163003.Q,FL663168005.Q,FL663170003.Q,FL663167005.Q,FL663167003.Q,FL763067005.Q,FL663178003.Q,FL663190005.Q,FL663192003.Q,FL663194005.Q,FL663193005.Q,tot_asset,tot_liabilities,Leverage,LevFac,LogLev,Z-LevFac,Z-LogLev,No Seasonal-Adj LevFac,No Seasonal-Adj LogLev
1968Q1,13602,1124,2509,0,968,0,454,1087,0,1376,8593,0,13000,-3566,0,0,0,460,15085,5535,9550,201,820,250,0,570,13602,13000,22.59468438538206,0.010282843804204633,3.1177146744267628,-0.1498576602632038,0.5489154566402019,-1.1516439215626724,0.5489154566402019
1968Q2,15112,1274,2305,0,905,0,669,731,0,1019,10514,0,14439,-3770,0,0,0,480,16732,6655,10077,194,803,252,0,551,15112,14439,22.454680534918275,0.037532904123219746,3.1114990795366175,0.052167497804119084,0.5393658860490914,0.014206498849649448,0.5393658860490914
1968Q3,17661,1398,4211,0,2543,0,663,1005,0,1293,10759,0,16925,-3712,0,0,0,500,19115,6865,12250,225,797,262,0,535,17661,16925,23.995923913043477,0.22672286370356343,3.1778839789674946,1.4547747229447776,0.6413589043366964,0.508721819465309,0.6413589043366964
1968Q4,18513,1465,3534,0,1766,0,548,1220,0,1509,12005,0,17690,-4130,0,0,0,510,20329,7675,12654,199,782,255,0,527,18513,17690,22.49453219927096,-0.06327864190013543,3.113272266312107,-0.695224188010528,0.54209019041304,-0.383556287333293,0.54209019041304
1969Q1,14615,1487,1823,0,733,0,345,745,0,1034,10271,0,13739,-4550,0,0,0,520,16783,7133,9650,209,777,256,0,521,14615,13739,16.6837899543379,-0.08894087220454153,2.814437586608955,-0.8854775699448789,0.08296392505399929,-1.9789565215660927,0.08296392505399929
1969Q2,15847,1470,2851,0,1120,0,336,1395,0,1685,9841,0,14953,-4212,0,0,0,540,17721,6586,11135,144,760,260,0,500,15847,14953,17.725950782997764,0.08347249933896332,2.8750297117692942,0.3927522112454016,0.17605698962959876,0.4692645726181657,0.17605698962959876
1969Q3,12890,1427,2087,0,866,0,350,871,0,1160,8216,0,12030,-4141,0,0,0,560,14704,5654,9050,163,744,263,0,481,12890,12030,14.988372093023257,-0.005933632648742582,2.7072747066856797,-0.270082576477998,-0.0816799271694674,-1.086112637693154,-0.0816799271694674
1969Q4,15402,1386,3670,0,1728,0,361,1581,0,1870,8476,0,14553,-4027,0,0,0,580,17200,5655,11545,147,653,196,0,457,15402,14553,18.141342756183747,0.15380146228593664,2.898193463787848,0.9141536206271882,0.21164551960391764,1.3569791368537276,0.21164551960391764
1970Q1,13071,1322,3436,0,2155,0,557,724,0,1015,7298,0,12285,-3816,0,0,0,590,14748,5098,9650,119,644,196,0,448,13071,12285,16.629770992366414,0.10241238838925623,2.8111945223563453,0.533167829940123,0.07798131734561947,-0.5360459875681712,0.07798131734561947
1970Q2,11741,1225,2351,0,620,0,390,1341,0,1633,6532,0,10996,-3565,0,0,0,600,13221,4494,8727,108,632,194,0,438,11741,10996,15.759731543624161,-0.025713414939224025,2.7574580502506523,-0.41672495440269297,-0.004578798421281848,-0.3094800276948309,-0.004578798421281848
1970Q3,13298,1131,3850,0,2007,0,612,1231,0,1522,6795,0,12576,-3601,0,0,0,600,14813,4663,10150,135,629,192,0,437,13298,12576,18.418282548476455,0.264755925211495,2.9133437880695743,1.7367423653269283,0.23492230867457364,1.1183531478021254,0.23492230867457364
1970Q4,16246,1073,6003,0,3398,0,915,1690,0,1982,7188,0,15509,-3536,0,0,0,610,17689,4703,12986,150,596,169,0,427,16246,15509,22.043419267299864,0.11879419044646354,3.0930141114215624,0.6546184289953296,0.5109657874247392,1.2803608868760032,0.5109657874247392
1971Q1,14861,1040,4520,0,1924,0,890,1706,0,1999,7302,0,14097,-3461,0,0,0,620,16189,5339,10850,160,589,174,0,415,14861,14097,19.451570680628272,0.05513574856392495,2.967927821592049,0.18267060087748851,0.31878460833906,-0.7954764154266853,0.31878460833906
1971Q2,14332,1059,3394,0,1477,0,489,1428,0,1720,8159,0,13510,-3493,0,0,0,630,15669,5123,10546,120,584,181,0,403,14332,13510,17.43552311435523,-0.06976721233449906,2.8585096833686645,-0.7433288326346925,0.15067580244362433,-0.6887534366450386,0.15067580244362433
1971Q3,14491,1087,3579,0,1884,0,946,749,0,1040,8785,0,13607,-3530,0,0,0,650,15787,4937,10850,130,570,188,0,382,14491,13607,16.392533936651585,0.040445560656162144,2.7968259834082807,0.07376120767392447,0.055905654532843116,-0.3636122476930926,0.055905654532843116
1971Q4,17610,1097,4642,0,1799,0,1028,1815,0,2107,9764,0,16700,-3659,0,0,0,670,18958,5197,13761,140,591,224,0,367,17610,16700,19.35164835164835,0.09006470199904365,2.962777601979356,0.44162515937187713,0.3108718684291424,1.1869164860270662,0.3108718684291424
1972Q1,17309,1101,3316,250,1397,0,714,955,0,1246,11646,0,16242,-3748,0,0,0,690,18394,5544,12850,150,756,229,0,527,17309,16242,16.22211808809747,0.00334255384638657,2.7863756251246454,-0.20131124089189883,0.039849840745783606,-1.1450111349792809,0.039849840745783606
1972Q2,18628,1106,3303,500,1107,0,767,929,0,1219,13000,0,17428,-4012,0,0,0,710,19683,5235,14448,123,924,232,0,692,18628,17428,15.523333333333333,-0.0038328770458859254,2.742344268326176,-0.2545080978251277,-0.027799444222260317,-0.24337402865655805,-0.027799444222260317
1972Q3,18761,1104,3569,750,1770,0,644,405,0,694,13394,0,17547,-5032,0,0,0,730,20594,5044,15550,151,1104,235,0,869,18761,17547,15.453871499176277,0.08543897837522,2.7378595544241673,0.4073311968874485,-0.03468970858876029,0.02599632445346765,-0.03468970858876029
1972Q4,22935,1081,5958,1000,2012,0,912,2034,0,2411,13485,0,21739,-4457,0,0,0,750,23959,5388,18571,165,1322,285,0,1037,22935,21739,19.176421404682273,0.12244312633393437,2.9536814725206955,0.6816707305614079,0.29689667668859293,1.5266060072854244,0.29689667668859293
1973Q1,18448,1040,3920,1250,1365,0,595,710,0,1087,12401,0,16977,-4549,0,0,0,760,19368,5158,14210,180,1218,260,0,958,18448,16977,12.541128484024473,-0.21770970658861832,2.5290135219074026,-1.840137626327766,-0.3555584211482405,-2.8360647394949496,-0.3555584211482405
1973Q2,17755,975,4587,1500,1430,0,687,970,0,1348,10845,0,16017,-4724,0,0,0,770,18700,4836,13864,144,1127,243,250,634,17755,16017,10.215765247410816,-0.14656258009152717,2.323932139551851,-1.3126705562244088,-0.6706431672329525,-1.3403597416100226,-0.6706431672329525
1973Q3,16902,907,4897,1750,1889,0,718,540,0,917,10181,0,14907,-4444,0,0,0,780,17349,4993,12356,156,1066,236,500,330,16902,14907,8.47218045112782,-0.08641825732814098,2.1367879077804637,-0.8667755317408689,-0.9581694754313032,-1.2181815683755903,-0.9581694754313032
1973Q4,20294,854,7526,2000,2008,0,1130,2388,0,2765,9149,0,18067,-4275,0,0,0,790,20350,5199,15151,153,1049,254,750,45,20294,18067,9.112707678491244,-0.018219388410130682,2.2096698875816605,-0.3611661087936674,-0.846194415403678,0.5529764187272319,-0.846194415403678
1974Q1,16459,818,5287,2250,971,0,590,1476,0,1852,8502,0,13966,-4712,0,0,0,810,16729,4992,11737,140,999,238,1000,-239,16459,13966,6.602085840352989,-0.10379340723282804,1.8873856355205103,-0.9955905642524998,-1.3413483419153305,-2.1386823319943264,-1.3413483419153305
1974Q2,17469,791,6092,2500,827,0,588,2177,0,2553,8033,0,14790,-4170,0,0,0,830,17020,4647,12373,82,1028,302,1250,-524,17469,14790,6.520716685330347,0.04150571193372145,1.874984290960621,0.0816209051174101,-1.3604016292341536,-0.02792748398049214,-1.3604016292341536
1974Q3,17444,771,6822,2750,1723,0,605,1744,0,2119,7732,0,14578,-4080,0,0,0,850,16674,4325,12349,68,1066,365,1500,-799,17444,14578,6.086531751570132,0.028638093651448898,1.80607842057454,-0.013776410961633387,-1.4662678391502908,-0.4128057684398295,-1.4662678391502908
1974Q4,18249,752,7750,3000,2256,0,705,1789,0,2164,7583,0,15289,-5137,0,0,0,870,18287,4184,14103,45,1224,521,1750,-1047,18249,15289,6.165202702702703,-0.07043289580364262,1.818921015670709,-0.7482640440251307,-1.4465366194341602,0.14402058647504665,-1.4465366194341602
1975Q1,17450,740,7625,3250,2713,0,532,1130,0,1504,7581,0,14255,-3520,0,0,0,890,16106,4203,11903,61,718,536,2000,-1818,17450,14255,5.461658841940532,0.08847489997868296,1.697752560818938,0.4298387632795721,-1.6326984806032885,-0.7687902414790164,-1.6326984806032885
1975Q2,18318,730,7695,3500,1813,0,573,1809,0,2184,7709,0,14888,-3221,0,0,0,910,16937,4353,12584,15,247,551,2500,-2804,18318,14888,5.340524781341108,0.02861674316147267,1.6753239218029472,-0.013934698175010772,-1.6671575911681236,-0.09622799321587935,-1.6671575911681236
